iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,16,1,0,0.8,fixed,C,C,1,153,11903,12056,"[""C""]",12,0.011683358972482072,0.0325562467298412,59.21124005317688
2,index_1,16,1,0,0.8,fixed,D,B,0,160,15269,15429,"[""B""]",12,0.01713387748083361,0.0307540259287251,166.2806580066681
3,index_2,16,1,0,0.8,fixed,C,C,1,184,20246,20430,"[""C""]",22,0.020490267853330153,0.0472065577582698,79.53391003608704
4,index_3,16,1,0,0.8,fixed,B,D,0,158,13020,13178,"[""D""]",11,0.011981545195117385,0.0390674960758095,75.35911750793457
5,index_4,16,1,0,0.8,fixed,C,C,1,390,21976,22366,"[""C""]",24,0.030198320383480057,0.0626707749549444,69.86464738845825
6,index_5,16,1,0,0.8,fixed,C,C,1,204,12564,12768,"[""C""]",11,0.01259225107708514,0.0381373175978141,64.48049759864807
7,index_6,16,1,0,0.8,fixed,C,C,1,196,11307,11503,"[""C""]",9,0.011372707339495455,0.0372071391198186,59.841681718826294
8,index_7,16,1,0,0.8,fixed,D,D,1,476,19498,19974,"[""D""]",15,0.021566423007817553,0.0723795128190221,98.52305102348328
9,index_8,16,1,0,0.8,fixed,A,A,1,267,10491,10758,"[""A""]",14,0.014037290613755467,0.0392419045404337,41.06875991821289
10,index_9,16,1,0,0.8,fixed,C,C,1,153,11233,11386,"[""C""]",13,0.010913836496948043,0.0302308005348526,75.9015302658081
11,index_10,16,2,0,0.8,fixed,A,A,1,404,12088,12492,"[""A"", ""A""]",16,0.020879050404398927,0.0423812569036683,40.38836979866028
12,index_11,16,1,0,0.8,fixed,D,D,1,179,26682,26861,"[""D""]",27,0.023047663567271028,0.0537178071042381,147.17379188537598
13,index_12,16,1,0,0.8,fixed,A,A,1,345,17935,18280,"[""A""]",10,0.021623588915829058,0.0436021161560374,223.39624309539795
14,index_13,16,1,0,0.8,fixed,D,A,0,153,10913,11066,"[""A""]",12,0.010588363163921158,0.0340096506017092,72.04379057884216
15,index_14,16,2,0,0.8,fixed,C,C,1,307,13583,13890,"[""C"", ""C""]",19,0.01630610203790908,0.0382535899075635,67.22088956832886
16,index_15,16,1,0,0.8,fixed,B,D,0,226,18355,18581,"[""D""]",8,0.022576099064623545,0.04203243997442,255.63859868049622
17,index_16,16,2,0,0.8,fixed,C,C,1,163,11335,11498,"[""C"", ""C""]",13,0.013568731637448522,0.0362769606418231,41.5401976108551
18,index_17,16,1,0,0.8,fixed,B,A,0,250,18688,18938,"[""A""]",18,0.017972801008670967,0.050462182431254,93.10869431495667
19,index_18,16,1,0,0.8,fixed,A,B,0,548,21638,22186,"[""B""]",16,0.026004836841065956,0.0619150049415732,263.32677721977234
20,index_19,16,14,0,0.8,fixed,A,A,1,203,16223,16426,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",14,0.030601143333507507,0.0539503517237369,29.922106981277466
21,index_20,16,1,0,0.8,fixed,B,B,1,282,14364,14646,"[""B""]",10,0.015989749315496037,0.0382535899075635,137.17686986923218
22,index_21,16,2,0,0.8,fixed,D,D,1,4036,13215,17251,"[""C"", ""D""]",12,0.012037552295768668,0.0362769606418231,59.24704670906067
23,index_22,16,1,0,0.8,fixed,C,B,0,280,15848,16128,"[""B""]",9,0.01756546381537104,0.0427882099877914,156.75324392318726
24,index_23,16,1,0,0.8,fixed,B,A,0,230,27820,28050,"[""A""]",22,0.030077045495194507,0.0540666240334863,353.09930086135864
25,index_24,16,1,0,0.8,fixed,B,B,1,368,21581,21949,"[""B""]",18,0.022817609246287972,0.0531945817103657,211.51042652130127
26,index_25,16,1,0,0.8,fixed,D,A,0,377,15682,16059,"[""A""]",11,0.01780081076371545,0.0474391023777687,148.5412187576294
27,index_26,16,1,0,0.8,fixed,A,A,1,169,10848,11017,"[""A""]",12,0.013146991328961194,0.0362769606418231,37.67461156845093
28,index_27,16,1,0,0.8,fixed,A,A,1,332,21809,22141,"[""A""]",19,0.022449518851514763,0.0539503517237369,202.1664571762085
29,index_28,16,1,0,0.8,fixed,A,B,0,408,20884,21292,"[""B""]",11,0.026460989737512715,0.0492994593337596,302.11405992507935
