iteration,question_id,num_detected_t0.65,num_same_answer_t0.65,same_answer_perc_t0.65,num_detected_t0.70,num_same_answer_t0.70,same_answer_perc_t0.70,num_detected_t0.75,num_same_answer_t0.75,same_answer_perc_t0.75,num_detected_t0.80,num_same_answer_t0.80,same_answer_perc_t0.80,num_detected_t0.85,num_same_answer_t0.85,same_answer_perc_t0.85,num_detected_t0.90,num_same_answer_t0.90,same_answer_perc_t0.90,num_detected_t0.95,num_same_answer_t0.95,same_answer_perc_t0.95
1,index_0,171,171,100.00,171,171,100.00,164,164,100.00,158,158,100.00,140,140,100.00,72,72,100.00,8,8,100.00
5,index_4,264,264,100.00,263,263,100.00,255,255,100.00,240,240,100.00,196,196,100.00,91,91,100.00,19,19,100.00
9,index_8,292,108,36.99,291,108,37.11,287,106,36.93,280,105,37.50,249,95,38.15,160,63,39.38,12,6,50.00
15,index_14,228,135,59.21,226,134,59.29,224,134,59.82,220,131,59.55,212,123,58.02,170,99,58.24,58,34,58.62
17,index_16,139,139,100.00,138,138,100.00,137,137,100.00,128,128,100.00,107,107,100.00,65,65,100.00,27,27,100.00
32,index_31,390,343,87.95,390,343,87.95,388,341,87.89,385,338,87.79,369,323,87.53,301,262,87.04,112,95,84.82
34,index_33,465,261,56.13,465,261,56.13,465,261,56.13,461,259,56.18,445,250,56.18,353,196,55.52,84,47,55.95
35,index_34,278,278,100.00,277,277,100.00,270,270,100.00,261,261,100.00,247,247,100.00,192,192,100.00,63,63,100.00
39,index_38,124,124,100.00,124,124,100.00,124,124,100.00,118,118,100.00,108,108,100.00,77,77,100.00,16,16,100.00
41,index_40,237,203,85.65,236,202,85.59,224,193,86.16,219,188,85.84,200,172,86.00,151,131,86.75,35,30,85.71
44,index_43,168,110,65.48,167,110,65.87,166,110,66.27,166,110,66.27,156,105,67.31,114,79,69.30,16,10,62.50
52,index_51,274,225,82.12,269,220,81.78,262,213,81.30,244,198,81.15,217,174,80.18,137,109,79.56,27,21,77.78
58,index_57,101,66,65.35,99,64,64.65,99,64,64.65,98,64,65.31,90,60,66.67,66,47,71.21,14,11,78.57
62,index_61,468,244,52.14,468,244,52.14,467,243,52.03,463,242,52.27,436,228,52.29,268,143,53.36,30,14,46.67
