iteration,question_id,correct_answer,final_answer,score,num_chains_generated,total_tokens_generated,window_size,individual_answers_str,correct_answer_in_chains,time_taken,max_kv_cache_usage
1,index_0,C,C,1,1,5473,1,['C'],True,168.85978956415195,2.8322584017020347
2,index_1,D,D,1,1,16957,1,['D'],True,168.85978956415195,2.8322584017020347
3,index_2,C,C,1,1,3313,1,['C'],True,168.85978956415195,2.8322584017020347
4,index_3,B,D,0,1,2911,1,['D'],False,168.85978956415195,2.8322584017020347
5,index_4,C,C,1,1,2996,1,['C'],True,168.85978956415195,2.8322584017020347
6,index_5,C,C,1,1,17040,1,['C'],True,168.85978956415195,2.8322584017020347
7,index_6,C,C,1,1,2531,1,['C'],True,168.85978956415195,2.8322584017020347
8,index_7,D,D,1,1,4477,1,['D'],True,168.85978956415195,2.8322584017020347
9,index_8,A,B,0,1,8699,1,['B'],False,168.85978956415195,2.8322584017020347
10,index_9,C,C,1,1,3117,1,['C'],True,168.85978956415195,2.8322584017020347
11,index_10,A,A,1,1,3196,1,['A'],True,168.85978956415195,2.8322584017020347
12,index_11,D,D,1,1,4640,1,['D'],True,168.85978956415195,2.8322584017020347
13,index_12,A,A,1,1,9597,1,['A'],True,168.85978956415195,2.8322584017020347
14,index_13,D,A,0,1,3938,1,['A'],False,168.85978956415195,2.8322584017020347
15,index_14,C,C,1,1,2732,1,['C'],True,168.85978956415195,2.8322584017020347
16,index_15,B,B,1,1,11489,1,['B'],True,168.85978956415195,2.8322584017020347
17,index_16,C,C,1,1,1933,1,['C'],True,168.85978956415195,2.8322584017020347
18,index_17,B,A,0,1,4402,1,['A'],False,168.85978956415195,2.8322584017020347
19,index_18,A,B,0,1,4043,1,['B'],False,168.85978956415195,2.8322584017020347
20,index_19,A,A,1,1,940,1,['A'],True,168.85978956415195,2.8322584017020347
21,index_20,B,B,1,1,7708,1,['B'],True,168.85978956415195,2.8322584017020347
22,index_21,D,D,1,1,879,1,['D'],True,168.85978956415195,2.8322584017020347
23,index_22,C,B,0,1,10839,1,['B'],False,168.85978956415195,2.8322584017020347
24,index_23,B,A,0,1,13273,1,['A'],False,168.85978956415195,2.8322584017020347
25,index_24,B,B,1,1,8144,1,['B'],True,168.85978956415195,2.8322584017020347
26,index_25,D,D,1,1,11127,1,['D'],True,168.85978956415195,2.8322584017020347
27,index_26,A,A,1,1,1403,1,['A'],True,168.85978956415195,2.8322584017020347
28,index_27,A,C,0,1,9368,1,['C'],False,168.85978956415195,2.8322584017020347
29,index_28,A,D,0,1,15066,1,['D'],False,168.85978956415195,2.8322584017020347
30,index_29,A,C,0,1,5664,1,['C'],False,168.85978956415195,2.8322584017020347
31,index_30,C,A,0,1,8691,1,['A'],False,168.85978956415195,2.8322584017020347
32,index_31,C,C,1,1,21720,1,['C'],True,168.85978956415195,2.8322584017020347
33,index_32,C,A,0,1,4858,1,['A'],False,168.85978956415195,2.8322584017020347
34,index_33,A,A,1,1,13102,1,['A'],True,168.85978956415195,2.8322584017020347
35,index_34,C,C,1,1,1730,1,['C'],True,168.85978956415195,2.8322584017020347
36,index_35,B,B,1,1,8481,1,['B'],True,168.85978956415195,2.8322584017020347
37,index_36,D,A,0,1,11657,1,['A'],False,168.85978956415195,2.8322584017020347
38,index_37,C,C,1,1,10241,1,['C'],True,168.85978956415195,2.8322584017020347
39,index_38,B,B,1,1,1424,1,['B'],True,168.85978956415195,2.8322584017020347
40,index_39,A,A,1,1,4263,1,['A'],True,168.85978956415195,2.8322584017020347
41,index_40,A,A,1,1,2669,1,['A'],True,168.85978956415195,2.8322584017020347
42,index_41,D,D,1,1,3124,1,['D'],True,168.85978956415195,2.8322584017020347
43,index_42,A,D,0,1,3425,1,['D'],False,168.85978956415195,2.8322584017020347
44,index_43,A,A,1,1,1093,1,['A'],True,168.85978956415195,2.8322584017020347
45,index_44,D,D,1,1,8683,1,['D'],True,168.85978956415195,2.8322584017020347
46,index_45,C,D,0,1,9472,1,['D'],False,168.85978956415195,2.8322584017020347
47,index_46,D,D,1,1,6402,1,['D'],True,168.85978956415195,2.8322584017020347
48,index_47,A,D,0,1,12808,1,['D'],False,168.85978956415195,2.8322584017020347
49,index_48,B,C,0,1,15276,1,['C'],False,168.85978956415195,2.8322584017020347
50,index_49,D,D,1,1,1372,1,['D'],True,168.85978956415195,2.8322584017020347
51,index_50,D,D,1,1,15503,1,['D'],True,168.85978956415195,2.8322584017020347
52,index_51,C,C,1,1,5039,1,['C'],True,168.85978956415195,2.8322584017020347
53,index_52,D,D,1,1,14536,1,['D'],True,168.85978956415195,2.8322584017020347
54,index_53,A,C,0,1,6936,1,['C'],False,168.85978956415195,2.8322584017020347
55,index_54,B,D,0,1,10767,1,['D'],False,168.85978956415195,2.8322584017020347
56,index_55,A,B,0,1,21371,1,['B'],False,168.85978956415195,2.8322584017020347
57,index_56,D,D,1,1,17823,1,['D'],True,168.85978956415195,2.8322584017020347
58,index_57,A,D,0,1,6487,1,['D'],False,168.85978956415195,2.8322584017020347
59,index_58,A,A,1,1,3709,1,['A'],True,168.85978956415195,2.8322584017020347
60,index_59,C,C,1,1,7400,1,['C'],True,168.85978956415195,2.8322584017020347
61,index_60,C,C,1,1,5306,1,['C'],True,168.85978956415195,2.8322584017020347
62,index_61,C,C,1,1,12486,1,['C'],True,168.85978956415195,2.8322584017020347
63,index_62,D,D,1,1,6730,1,['D'],True,168.85978956415195,2.8322584017020347
64,index_63,C,A,0,1,17605,1,['A'],False,168.85978956415195,2.8322584017020347
65,index_64,A,A,1,1,10375,1,['A'],True,168.85978956415195,2.8322584017020347
66,index_65,C,C,1,1,823,1,['C'],True,168.85978956415195,2.8322584017020347
67,index_66,D,D,1,1,2379,1,['D'],True,168.85978956415195,2.8322584017020347
68,index_67,B,B,1,1,13051,1,['B'],True,168.85978956415195,2.8322584017020347
69,index_68,A,A,1,1,12720,1,['A'],True,168.85978956415195,2.8322584017020347
70,index_69,D,D,1,1,11388,1,['D'],True,168.85978956415195,2.8322584017020347
71,index_70,C,C,1,1,2752,1,['C'],True,168.85978956415195,2.8322584017020347
72,index_71,B,B,1,1,6627,1,['B'],True,168.85978956415195,2.8322584017020347
73,index_72,C,C,1,1,1855,1,['C'],True,168.85978956415195,2.8322584017020347
74,index_73,A,A,1,1,4274,1,['A'],True,168.85978956415195,2.8322584017020347
75,index_74,B,B,1,1,6564,1,['B'],True,168.85978956415195,2.8322584017020347
76,index_75,D,D,1,1,3148,1,['D'],True,168.85978956415195,2.8322584017020347
77,index_76,A,C,0,1,8490,1,['C'],False,168.85978956415195,2.8322584017020347
78,index_77,C,C,1,1,5115,1,['C'],True,168.85978956415195,2.8322584017020347
79,index_78,A,A,1,1,10421,1,['A'],True,168.85978956415195,2.8322584017020347
80,index_79,A,A,1,1,21329,1,['A'],True,168.85978956415195,2.8322584017020347
81,index_80,D,B,0,1,10144,1,['B'],False,168.85978956415195,2.8322584017020347
82,index_81,A,A,1,1,6755,1,['A'],True,168.85978956415195,2.8322584017020347
83,index_82,A,A,1,1,8352,1,['A'],True,168.85978956415195,2.8322584017020347
84,index_83,D,D,1,1,792,1,['D'],True,168.85978956415195,2.8322584017020347
85,index_84,C,C,1,1,5575,1,['C'],True,168.85978956415195,2.8322584017020347
86,index_85,A,C,0,1,5015,1,['C'],False,168.85978956415195,2.8322584017020347
87,index_86,C,C,1,1,3049,1,['C'],True,168.85978956415195,2.8322584017020347
88,index_87,A,A,1,1,1526,1,['A'],True,168.85978956415195,2.8322584017020347
89,index_88,B,B,1,1,8797,1,['B'],True,168.85978956415195,2.8322584017020347
90,index_89,B,C,0,1,12833,1,['C'],False,168.85978956415195,2.8322584017020347
91,index_90,B,C,0,1,9328,1,['C'],False,168.85978956415195,2.8322584017020347
92,index_91,C,A,0,1,17371,1,['A'],False,168.85978956415195,2.8322584017020347
93,index_92,B,B,1,1,6126,1,['B'],True,168.85978956415195,2.8322584017020347
94,index_93,D,C,0,1,4184,1,['C'],False,168.85978956415195,2.8322584017020347
95,index_94,C,B,0,1,14115,1,['B'],False,168.85978956415195,2.8322584017020347
96,index_95,A,A,1,1,6406,1,['A'],True,168.85978956415195,2.8322584017020347
97,index_96,A,A,1,1,1465,1,['A'],True,168.85978956415195,2.8322584017020347
98,index_97,D,C,0,1,5878,1,['C'],False,168.85978956415195,2.8322584017020347
99,index_98,A,D,0,1,13139,1,['D'],False,168.85978956415195,2.8322584017020347
100,index_99,B,C,0,1,13813,1,['C'],False,168.85978956415195,2.8322584017020347
101,index_100,A,A,1,1,3629,1,['A'],True,168.85978956415195,2.8322584017020347
102,index_101,D,D,1,1,7429,1,['D'],True,168.85978956415195,2.8322584017020347
103,index_102,C,A,0,1,15788,1,['A'],False,168.85978956415195,2.8322584017020347
104,index_103,A,A,1,1,5329,1,['A'],True,168.85978956415195,2.8322584017020347
105,index_104,D,D,1,1,4263,1,['D'],True,168.85978956415195,2.8322584017020347
106,index_105,C,B,0,1,7766,1,['B'],False,168.85978956415195,2.8322584017020347
107,index_106,A,B,0,1,1010,1,['B'],False,168.85978956415195,2.8322584017020347
108,index_107,C,C,1,1,2213,1,['C'],True,168.85978956415195,2.8322584017020347
109,index_108,D,D,1,1,10019,1,['D'],True,168.85978956415195,2.8322584017020347
110,index_109,B,B,1,1,6103,1,['B'],True,168.85978956415195,2.8322584017020347
111,index_110,D,C,0,1,11193,1,['C'],False,168.85978956415195,2.8322584017020347
112,index_111,A,A,1,1,6748,1,['A'],True,168.85978956415195,2.8322584017020347
113,index_112,C,C,1,1,9443,1,['C'],True,168.85978956415195,2.8322584017020347
114,index_113,C,A,0,1,3092,1,['A'],False,168.85978956415195,2.8322584017020347
115,index_114,C,C,1,1,2933,1,['C'],True,168.85978956415195,2.8322584017020347
116,index_115,B,A,0,1,10975,1,['A'],False,168.85978956415195,2.8322584017020347
117,index_116,D,D,1,1,18790,1,['D'],True,168.85978956415195,2.8322584017020347
118,index_117,B,A,0,1,6307,1,['A'],False,168.85978956415195,2.8322584017020347
119,index_118,A,C,0,1,6493,1,['C'],False,168.85978956415195,2.8322584017020347
120,index_119,A,A,1,1,2008,1,['A'],True,168.85978956415195,2.8322584017020347
121,index_120,C,B,0,1,8524,1,['B'],False,168.85978956415195,2.8322584017020347
122,index_121,A,B,0,1,18919,1,['B'],False,168.85978956415195,2.8322584017020347
123,index_122,D,D,1,1,5119,1,['D'],True,168.85978956415195,2.8322584017020347
124,index_123,A,A,1,1,4606,1,['A'],True,168.85978956415195,2.8322584017020347
125,index_124,A,A,1,1,2381,1,['A'],True,168.85978956415195,2.8322584017020347
126,index_125,A,D,0,1,10771,1,['D'],False,168.85978956415195,2.8322584017020347
127,index_126,A,D,0,1,5427,1,['D'],False,168.85978956415195,2.8322584017020347
128,index_127,A,D,0,1,21457,1,['D'],False,168.85978956415195,2.8322584017020347
129,index_128,A,D,0,1,11539,1,['D'],False,168.85978956415195,2.8322584017020347
130,index_129,D,C,0,1,2478,1,['C'],False,168.85978956415195,2.8322584017020347
