iteration,question_id,correct_answer,final_answer,score,num_chains_generated,total_tokens_generated,window_size,individual_answers_str,correct_answer_in_chains
1,index_0,C,C,1,1,5486,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True
2,index_1,D,D,1,1,12742,1,"['D', 'C', 'D', 'B', 'D', 'A', 'D', 'D']",True
3,index_2,C,C,1,1,2759,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True
4,index_3,B,B,1,1,8292,1,"['B', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True
5,index_4,C,C,1,1,4224,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True
6,index_5,C,C,1,1,1594,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True
7,index_6,C,C,1,1,20394,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True
8,index_7,D,D,1,1,7163,1,"['D', 'D', 'D', 'D', 'C', 'D', 'D', 'D']",True
9,index_8,A,B,0,1,6431,1,"['B', 'B', 'D', 'A', 'D', 'B', 'D', 'A']",False
10,index_9,C,C,1,1,3007,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True
11,index_10,A,A,1,1,2200,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
12,index_11,D,D,1,1,6180,1,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True
13,index_12,A,B,0,1,10358,1,"['B', 'A', 'B', 'B', 'A', 'A', 'A', 'B']",False
14,index_13,D,D,1,1,3399,1,"['D', 'A', 'A', 'A', 'A', 'A', 'A', 'D']",True
15,index_14,C,C,1,1,2867,1,"['C', 'C', 'D', 'D', 'C', 'C', 'C', 'C']",True
16,index_15,B,D,0,1,13418,1,"['D', 'B', 'B', 'D', 'D', 'D', 'B', 'D']",False
17,index_16,C,C,1,1,1748,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True
18,index_17,B,A,0,1,4656,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",False
19,index_18,A,B,0,1,7964,1,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",False
20,index_19,A,A,1,1,1002,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
21,index_20,B,B,1,1,5083,1,"['B', 'B', 'B', 'B', 'B', 'B', 'A', 'B']",True
22,index_21,D,D,1,1,1775,1,"['D', 'C', 'D', 'C', 'D', 'D', 'D', 'D']",True
23,index_22,C,D,0,1,14109,1,"['D', 'B', 'C', 'B', 'B', 'B', 'B', 'B']",False
24,index_23,B,C,0,1,13140,1,"['C', 'A', 'A', 'A', 'A', 'B', 'A', 'B']",False
25,index_24,B,B,1,1,9954,1,"['B', 'B', 'B', 'B', 'A', 'B', 'C', 'C']",True
26,index_25,D,A,0,1,9437,1,"['A', 'A', 'A', 'A', 'A', 'A', 'D', 'D']",False
27,index_26,A,A,1,1,3012,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
28,index_27,A,A,1,1,7327,1,"['A', 'A', 'A', 'B', 'A', 'A', 'A', 'A']",True
29,index_28,A,A,1,1,6377,1,"['A', 'A', 'A', 'D', 'A', 'A', 'A', 'A']",True
30,index_29,A,C,0,1,5418,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",False
31,index_30,C,A,0,1,14644,1,"['A', 'A', 'A', 'B', 'A', 'A', 'A', 'A']",False
32,index_31,C,C,1,1,17819,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True
33,index_32,C,A,0,1,4415,1,"['A', 'A', 'B', 'A', 'A', 'A', 'A', 'A']",False
34,index_33,A,C,0,1,12364,1,"['C', 'A', 'C', 'A', 'C', 'C', 'D', 'C']",False
35,index_34,C,C,1,1,1261,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True
36,index_35,B,C,0,1,1750,1,"['C', 'B', 'D', 'B', 'B', 'C', 'B', 'B']",False
37,index_36,D,C,0,1,10186,1,"['C', 'C', 'B', 'C', 'C', 'A', 'B', 'B']",False
38,index_37,C,C,1,1,4402,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True
39,index_38,B,B,1,1,1553,1,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True
40,index_39,A,A,1,1,4532,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
41,index_40,A,A,1,1,1349,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
42,index_41,D,D,1,1,6033,1,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True
43,index_42,A,A,1,1,10831,1,"['A', 'A', 'D', 'D', 'A', 'A', 'A', 'B']",True
44,index_43,A,A,1,1,1386,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
45,index_44,D,D,1,1,5344,1,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True
46,index_45,C,A,0,1,9503,1,"['A', 'A', 'B', 'C', 'A', 'A', 'C', 'A']",False
47,index_46,D,D,1,1,10543,1,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True
48,index_47,A,D,0,1,10955,1,"['D', 'D', 'D', 'B', 'D', 'D', 'A', 'D']",False
49,index_48,B,C,0,1,13739,1,"['C', 'D', 'C', 'B', 'B', 'A', 'A', 'C']",False
50,index_49,D,D,1,1,1105,1,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True
51,index_50,D,D,1,1,15969,1,"['D', 'D', 'D', 'D', 'D', 'D', 'D']",True
52,index_51,C,C,1,1,4064,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True
53,index_52,D,B,0,1,11235,1,"['B', 'D', 'A', 'B', 'B', 'B', 'B', 'B']",False
54,index_53,A,C,0,1,8124,1,"['C', 'A', 'A', 'A', 'C', 'A', 'C', 'A']",False
55,index_54,B,D,0,1,11228,1,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",False
56,index_55,A,A,1,1,12691,1,"['A', 'A', 'A', 'B', 'A', 'A', 'B', 'A']",True
