iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,10,3,0,0.76,33,33,1,189,21933,22122,"[""33"", ""33"", ""33""]",21,0.0361492198609053,0.069939475453934,76.55778217315674
2,index_1,10,1,0,0.76,23,5,0,221,35740,35961,"[""5""]",29,0.0521008210074243,0.0934020772621982,458.66741394996643
3,index_2,10,2,0,0.76,116,116,1,167,15476,15643,"[""116"", ""116""]",18,0.027542569067836947,0.0537995965030262,49.048890829086304
4,index_3,10,1,0,0.76,809,809,1,140,8626,8766,"[""809""]",7,0.012327497061861509,0.0321303145781962,69.05615973472595
5,index_4,10,1,0,0.76,197,2929,0,136,17004,17140,"[""2929""]",12,0.027466423774530336,0.0514085033251139,212.3371820449829
6,index_5,10,1,0,0.76,385,12,0,123,28217,28340,"[""12""]",29,0.0362596366645265,0.056937906299036,255.47953414916992
7,index_6,10,1,0,0.76,371,129,0,118,18496,18614,"[""129""]",11,0.030797736283979894,0.0587312261824702,251.43203234672546
8,index_7,10,1,0,0.76,601,7,0,114,28211,28325,"[""7""]",29,0.035049692436022455,0.0621684226257192,189.56845927238464
9,index_8,10,1,0,0.76,25,25,1,92,18091,18183,"[""25""]",22,0.022610225072141346,0.0428902338788014,102.57862639427185
10,index_9,10,1,0,0.76,55,55,1,103,11492,11595,"[""55""]",15,0.015758074133038057,0.0298886647239035,59.27635979652405
11,index_10,10,1,0,0.76,540,540,1,91,24375,24466,"[""540""]",23,0.029712314891133764,0.0679967122468804,121.95036363601685
12,index_11,10,1,0,0.76,45,45,1,181,21403,21584,"[""45""]",25,0.029578063349071232,0.0567884629754166,99.45591473579407
13,index_12,10,2,0,0.76,204,204,1,176,12794,12970,"[""204"", ""204""]",15,0.021421086540644854,0.0434880071732795,47.72712182998657
14,index_13,10,1,0,0.76,699,699,1,113,36481,36594,"[""699""]",36,0.04471335387192848,0.0857804677576029,219.5816993713379
15,index_14,10,1,0,0.76,294,294,1,96,10688,10784,"[""294""]",10,0.013907882879270734,0.0304864380183815,71.73678851127625
16,index_15,10,2,0,0.76,110,70,0,107,41346,41453,"[""110"", ""70""]",38,0.0625156947385653,0.1129044309945452,555.0230069160461
17,index_16,10,1,0,0.76,721,721,1,140,29623,29763,"[""721""]",25,0.03908331628373667,0.063139804229246,275.9739284515381
18,index_17,10,1,0,0.76,315,31,0,95,23451,23546,"[""31""]",11,0.04036549077867086,0.078308301576627,356.0077290534973
19,index_18,10,1,0,0.76,468,468,1,95,18625,18720,"[""468""]",10,0.02776084999104029,0.0513337816633041,211.66376185417175
20,index_19,10,1,0,0.76,902,1022,0,142,16401,16543,"[""1022""]",7,0.027382254364057567,0.0518568332959724,213.51886701583862
21,index_20,10,1,0,0.76,211,211,1,165,22940,23105,"[""211""]",19,0.03297450236390368,0.0582828962116117,250.80742478370667
22,index_21,10,1,0,0.76,80,80,1,104,20500,20604,"[""80""]",9,0.03594724868429586,0.0697153104685047,315.1999759674072
23,index_22,10,1,0,0.76,480,480,1,126,14566,14692,"[""480""]",14,0.020101672917687125,0.0349697377269671,120.01855778694153
24,index_23,10,1,0,0.76,236,246,0,113,21007,21120,"[""246""]",16,0.030680383566465887,0.0555929163864604,237.0970630645752
25,index_24,10,1,0,0.76,73,73,1,154,12147,12301,"[""73""]",9,0.018192741734827527,0.0321303145781962,112.19003915786743
26,index_25,10,1,0,0.76,113,113,1,397,17120,17517,"[""113""]",16,0.027069829734375647,0.0512590600014943,170.41602683067322
27,index_26,10,1,0,0.76,127,7,0,203,23208,23411,"[""7""]",12,0.03845027730776889,0.0727041769408951,328.11173391342163
28,index_27,10,1,0,0.76,104,104,1,194,18943,19137,"[""104""]",16,0.02591430818506145,0.0450571620712845,162.68207359313965
29,index_28,10,1,0,0.76,104,104,1,119,22387,22506,"[""104""]",15,0.03538251839717236,0.0666517223343047,291.4023349285126
30,index_29,10,1,0,0.76,321,321,1,104,15830,15934,"[""321""]",13,0.022222175027682957,0.0389299858028842,146.89673948287964
