iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,aqua_rat_test_0,16,16,0,0.95,fixed,A,A,1,173,42507,42680,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",20,0.08899627471533883,0.1578121497422102,65.31671595573425
2,aqua_rat_test_1,16,16,0,0.95,fixed,E,E,1,153,36030,36183,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",29,0.0526280422194826,0.1176866173503699,82.73434734344482
3,aqua_rat_test_2,16,16,0,0.95,fixed,A,A,1,95,26452,26547,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",19,0.03679216107890736,0.0854815811103638,62.06956648826599
4,aqua_rat_test_3,16,16,0,0.95,fixed,B,B,1,141,26493,26634,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",18,0.04013258031415391,0.0910109840842859,58.28321933746338
5,aqua_rat_test_4,16,16,0,0.95,fixed,B,B,1,106,10141,10247,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",5,0.028108939889745128,0.0448329970858552,13.24849271774292
6,aqua_rat_test_5,16,16,0,0.95,fixed,D,D,1,164,21925,22089,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",13,0.05069217222857395,0.0954942837928715,32.41230845451355
7,aqua_rat_test_6,16,16,0,0.95,fixed,D,D,1,122,32022,32144,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",24,0.03532595363223647,0.084510199506837,114.45549201965332
8,aqua_rat_test_7,16,16,0,0.95,fixed,C,C,1,137,14755,14892,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",10,0.031862793264480556,0.0626914742583875,24.057175636291504
9,aqua_rat_test_8,16,16,0,0.95,fixed,E,E,1,128,30148,30276,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",18,0.06436805303852661,0.107748636329672,45.34464502334595
10,aqua_rat_test_9,16,16,0,0.95,fixed,D,D,1,115,13840,13955,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",7,0.034995247153097424,0.0596278861241874,18.863430976867676
11,aqua_rat_test_10,16,16,0,0.95,fixed,B,C,0,158,61878,62036,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",36,0.11485302345606228,0.2086976014346558,107.3403673171997
12,aqua_rat_test_11,16,16,0,0.95,fixed,A,A,1,146,20131,20277,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",16,0.04249752442422244,0.0851826944631248,32.058528423309326
13,aqua_rat_test_12,16,16,0,0.95,fixed,C,C,1,118,27022,27140,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",18,0.047359093840959626,0.0840618695359785,50.27397298812866
14,aqua_rat_test_13,16,16,0,0.95,fixed,D,D,1,81,6312,6393,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",9,0.016505644337438403,0.026302024957035,9.379274606704712
15,aqua_rat_test_14,16,16,0,0.95,fixed,C,C,1,99,12043,12142,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",16,0.021053444052771514,0.0460285436748113,23.94133949279785
16,aqua_rat_test_15,16,16,0,0.95,fixed,A,A,1,109,10815,10924,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",5,0.029228781418657084,0.0537995965030262,14.520751714706421
17,aqua_rat_test_16,16,10,0,0.95,fixed,A,A,1,143,56291,56434,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",34,0.10556334778529494,0.1945752073526114,94.63523650169373
18,aqua_rat_test_17,16,16,0,0.95,fixed,D,D,1,151,16300,16451,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",8,0.042620263704522966,0.0765149816931928,21.93173122406006
19,aqua_rat_test_18,16,16,0,0.95,fixed,D,D,1,183,12451,12634,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",6,0.02977388608875234,0.0582828962116117,20.842435836791992
20,aqua_rat_test_19,16,16,0,0.95,fixed,C,C,1,106,17387,17493,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",10,0.03230008883963988,0.0669506089815437,30.437631845474243
21,aqua_rat_test_20,16,1,0,0.95,fixed,C,E,0,122,62531,62653,"[""E""]",28,0.07574523488057998,0.2642157961593065,168.67698001861572
22,aqua_rat_test_21,16,16,0,0.95,fixed,A,A,1,141,62980,63121,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""B""]",34,0.1052556958448749,0.2199805723679294,118.84846258163452
23,aqua_rat_test_22,16,16,0,0.95,fixed,E,E,1,142,34154,34296,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",20,0.06293853744226609,0.1221699170589554,58.907710552215576
24,aqua_rat_test_23,16,16,0,0.95,fixed,A,A,1,144,27728,27872,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",12,0.05280540605367259,0.112082492714638,46.55378079414368
25,aqua_rat_test_24,16,16,0,0.95,fixed,D,D,1,137,12364,12501,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",6,0.03341288802137279,0.0585817828588507,16.902020692825317
26,aqua_rat_test_25,16,16,0,0.95,fixed,D,D,1,123,13160,13283,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",15,0.028882391903717924,0.0552193080774116,21.15265917778015
