iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,16,16,33,33,1,189,52049,39698,12319,52238,"[""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""41"", ""33"", ""33"", ""33""]",0.12143237341094788,0.2104161996562803,71.31949710845947
2,index_1,16,16,23,23,1,221,101961,94069,7860,102182,"[""23"", ""23"", ""823"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""4"", ""23"", ""23"", ""23"", ""23"", ""23""]",0.11618569961784142,0.278935963535829,425.0217216014862
3,index_2,16,16,116,116,1,167,40243,32656,7555,40410,"[""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116""]",0.08806411864843149,0.1546738399462004,59.6356098651886
4,index_3,16,16,809,809,1,140,73341,67323,5986,73481,"[""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809""]",0.09784043840525783,0.2620488679668236,187.4206576347351
5,index_4,16,16,197,254,0,136,232341,226460,5849,232477,"[""287"", ""254"", ""2075"", ""2026"", ""254"", ""287"", ""273"", ""35"", ""835"", ""35"", ""35"", ""254"", ""2503"", ""197"", ""118"", ""477""]",0.38265130080785337,0.7424344317417619,591.6612424850464
6,index_5,16,16,385,16,0,123,193024,183843,9149,193147,"[""16"", ""16"", ""12"", ""24"", ""24"", ""16"", ""24"", ""64"", ""16"", ""24"", ""16"", ""16"", ""16"", ""72"", ""36"", ""16""]",0.4266969903082127,0.7806919225883584,333.319073677063
7,index_6,16,16,371,139,0,118,242838,238652,4154,242956,"[""137"", ""17"", ""135"", ""139"", ""33"", ""35"", ""17"", ""139"", ""67"", ""163"", ""341"", ""139"", ""135"", ""131"", ""171"", ""3""]",0.4427350013093119,0.8509302846895315,546.1762645244598
8,index_7,16,16,601,601,1,114,224438,264389,6355,224552,"[""601"", ""601"", ""601"", ""601"", ""401"", ""601"", ""201"", ""601"", ""601"", ""201"", ""601"", ""601"", ""401"", ""601"", ""601"", ""601""]",0.25129561682401574,0.6904281551221699,1017.6438982486725
9,index_8,16,16,25,25,1,92,87937,81271,6634,88029,"[""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25""]",0.13013440970384754,0.2391093177912276,229.04047417640686
10,index_9,16,16,55,55,1,103,51884,45849,6003,51987,"[""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55""]",0.09991084536915627,0.1936785474108944,83.36034560203552
11,index_10,16,16,540,540,1,91,54253,47350,6871,54344,"[""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540""]",0.09342985747964899,0.1781364417544646,99.89937663078308
12,index_11,16,16,45,45,1,181,113461,105261,8168,113642,"[""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""37"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45""]",0.1616147341943784,0.3187626092804304,332.5713539123535
13,index_12,16,16,204,204,1,176,47854,37797,10025,48030,"[""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204""]",0.0782475382538676,0.1748486886348352,94.14808297157288
14,index_13,16,16,699,699,1,113,172827,165556,7239,172940,"[""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""629"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699""]",0.3006069579544503,0.4479563625495031,405.57218194007874
15,index_14,16,16,294,294,1,96,58313,52007,6274,58409,"[""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294""]",0.10532855834435988,0.1748486886348352,104.0686285495758
16,index_15,16,16,110,110,1,107,154447,148826,5589,154554,"[""110"", ""134"", ""110"", ""110"", ""110"", ""110"", ""110"", ""155"", ""110"", ""110"", ""110"", ""110"", ""155"", ""155"", ""110"", ""110""]",0.22120327191049402,0.4686542628708062,436.98987221717834
17,index_16,16,16,721,721,1,140,197580,188635,8913,197720,"[""721"", ""721"", ""721"", ""721"", ""721"", ""721"", ""721"", ""721"", ""721"", ""721"", ""55"", ""721"", ""721"", ""721"", ""721"", ""721""]",0.32669858505822247,0.5648957632817754,521.5193662643433
18,index_17,16,16,315,1194,0,95,237259,229589,7638,237354,"[""105"", ""90"", ""128"", ""1194"", ""58"", ""1194"", ""12"", ""9"", ""117"", ""3"", ""216"", ""1194"", ""36"", ""540"", ""36"", ""15""]",0.4233957617663594,0.8540685944855414,546.5654413700104
19,index_18,16,16,468,468,1,95,123292,110546,12714,123387,"[""468"", ""468"", ""468"", ""468"", ""468"", ""468"", ""468"", ""429"", ""429"", ""468"", ""468"", ""468"", ""468"", ""468"", ""468"", ""468""]",0.16077173110106976,0.3474557274153776,378.69288396835327
20,index_19,16,16,902,1922,0,142,226302,221616,4654,226444,"[""1021"", ""4653"", ""2"", ""1024"", ""190"", ""31424"", ""14528"", ""1922"", ""59048"", ""1024"", ""2"", ""1022"", ""52"", ""1922"", ""1922"", ""126""]",0.3551525348461147,0.7071658073675559,587.9217736721039
21,index_20,16,16,211,211,1,165,261339,396707,8922,261504,"[""61"", ""211"", ""61"", ""211"", ""211"", ""121"", ""121"", ""121"", ""122"", ""121"", ""109"", ""101"", ""211"", ""101"", ""211"", ""211""]",0.2964245807064997,1.0,1489.4057989120483
22,index_21,16,16,80,80,1,104,166923,160838,6053,167027,"[""80"", ""80"", ""80"", ""80"", ""80"", ""80"", ""80"", ""80"", ""80"", ""80"", ""80"", ""80"", ""80"", ""80"", ""80"", ""80""]",0.2943136239336979,0.5628035567511022,362.6157965660095
