token,frequency
 the,8
 n,5
 but,4
 let,3
 Take,3
 so,3
But,3
",",2
 ,2
:,2
 by,1
 remove,1
The,1
 if,1
 clarify,1
 If,1
 player,1
 maybe,1
Result,1
as,1
 Options,1
 both,1
 check,1
 Player,1
 tab,1
 L,1
 loses,1
))<newline>,1
 from,1
 here,1
Hmm,1
 +,1
 losing,1
 it,1
n,1
 possible,1
 for,1
 meaning,1
 how,1
 numbers,1
2,1
 Setting,1
 there,1
 ≤,1
 confirm,1
 two,1
So,1
 else,1
 no,1
 up,1
In,1
losing,1
 in,1
 and,1
 using,1
 making,1
 A,1
 By,1
