token,frequency
So,15
But,7
 the,7
Wait,6
 but,6
Which,5
 perhaps,5
Hmm,5
 m,5
 is,4
 let,4
 So,3
 since,3
Therefore,3
 for,3
Let,2
S,2
 so,2
 as,2
 two,2
 that,2
This,2
 I,2
 maybe,2
 to,2
 ,2
 divides,2
 div,2
 wait,2
?,2
 <newline><newline>,1
 That,1
=>,1
 make,1
 factor,1
 Let,1
 can,1
 not,1
 better,1
:<newline><newline>,1
Now,1
 rearr,1
Given,1
 about,1
R,1
 also,1
",",1
 a,1
 an,1
 n,1
That,1
 formula,1
And,1
 sqrt,1
~,1
 process,1
5,1
 rewrite,1
We,1
 =>,1
.<newline><newline>,1
 -,1
Thus,1
 b,1
 k,1
 another,1
 p,1
 equation,1
 find,1
 work,1
 write,1
Then,1
 there,1
 because,1
 actually,1
 in,1
 (,1
 check,1
:,1
2,1
What,1
 giving,1
 confirm,1
 verify,1
 which,1
Count,1
