iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,64,1,0,0.5,C,C,1,148,36352,36500,"[""C""]",12,0.0382120281573369,0.1829186281102891,50.71021771430969
2,index_1,64,1,0,0.5,D,D,1,155,37072,37227,"[""D""]",12,0.02841219019277314,0.1849361129791527,112.09480166435242
3,index_2,64,1,0,0.5,C,C,1,179,51828,52007,"[""C""]",18,0.05611572698150996,0.2160203242920122,58.41124963760376
4,index_3,64,1,0,0.5,B,B,1,153,44462,44615,"[""B""]",17,0.03684544748082948,0.1954718672943286,77.14486145973206
5,index_4,64,2,0,0.5,C,C,1,385,52103,52488,"[""C"", ""C""]",24,0.04321951855043524,0.2294702234177688,180.37762260437012
6,index_5,64,1,0,0.5,C,C,1,199,35980,36179,"[""C""]",12,0.04586144981445384,0.1868788761862063,44.07831335067749
7,index_6,64,1,0,0.5,C,C,1,191,40683,40874,"[""C""]",15,0.05405472418117253,0.1980124037958603,46.23938512802124
8,index_7,64,1,0,0.5,D,D,1,471,66325,66796,"[""D""]",25,0.052797412522852624,0.3145034745572741,193.4902458190918
9,index_8,64,1,0,0.5,A,D,0,262,43445,43707,"[""D""]",14,0.0343752411254092,0.1874019278188746,120.91887736320496
10,index_9,64,1,0,0.5,C,C,1,148,37331,37479,"[""C""]",12,0.027899999647758043,0.1775386684599865,116.94598293304443
11,index_10,64,3,0,0.5,A,A,1,399,42600,42999,"[""A"", ""A"", ""A""]",14,0.04934717686169865,0.2355226780243592,71.18757176399231
12,index_11,64,1,0,0.5,D,D,1,174,51133,51307,"[""D""]",27,0.041525564413834704,0.182320854815811,97.27608442306519
13,index_12,64,1,0,0.5,A,A,1,340,40884,41224,"[""A""]",14,0.03489655180448572,0.233131584846447,152.69589757919312
14,index_13,64,1,0,0.5,D,D,1,148,39391,39539,"[""D""]",22,0.030518029201982065,0.1895688560113576,116.81882786750793
15,index_14,64,3,0,0.5,C,C,1,302,41992,42294,"[""C"", ""C"", ""C""]",18,0.04546375893230248,0.2165433759246805,81.17074751853943
16,index_15,64,1,0,0.5,B,B,1,221,39618,39839,"[""B""]",12,0.03253614940783203,0.1913621758947918,162.5852656364441
