iteration,question_id,num_detected_t0.10,num_same_answer_t0.10,same_answer_perc_t0.10,num_detected_t0.20,num_same_answer_t0.20,same_answer_perc_t0.20,num_detected_t0.30,num_same_answer_t0.30,same_answer_perc_t0.30,num_detected_t0.40,num_same_answer_t0.40,same_answer_perc_t0.40,num_detected_t0.50,num_same_answer_t0.50,same_answer_perc_t0.50,num_detected_t0.60,num_same_answer_t0.60,same_answer_perc_t0.60,num_detected_t0.70,num_same_answer_t0.70,same_answer_perc_t0.70,num_detected_t0.75,num_same_answer_t0.75,same_answer_perc_t0.75,num_detected_t0.80,num_same_answer_t0.80,same_answer_perc_t0.80,num_detected_t0.90,num_same_answer_t0.90,same_answer_perc_t0.90
1,index_0,23,23,100.00,23,23,100.00,23,23,100.00,23,23,100.00,23,23,100.00,23,23,100.00,23,23,100.00,23,23,100.00,23,23,100.00,14,14,100.00
2,index_1,28,10,35.71,28,10,35.71,28,10,35.71,28,10,35.71,28,10,35.71,28,10,35.71,28,10,35.71,28,10,35.71,28,10,35.71,27,9,33.33
3,index_2,19,19,100.00,19,19,100.00,19,19,100.00,19,19,100.00,19,19,100.00,19,19,100.00,19,19,100.00,19,19,100.00,16,16,100.00,7,7,100.00
4,index_3,25,18,72.00,25,18,72.00,25,18,72.00,25,18,72.00,25,18,72.00,25,18,72.00,25,18,72.00,25,18,72.00,25,18,72.00,20,13,65.00
5,index_4,23,23,100.00,23,23,100.00,23,23,100.00,23,23,100.00,23,23,100.00,23,23,100.00,23,23,100.00,23,23,100.00,20,20,100.00,7,7,100.00
6,index_5,17,17,100.00,17,17,100.00,17,17,100.00,17,17,100.00,17,17,100.00,17,17,100.00,17,17,100.00,17,17,100.00,17,17,100.00,14,14,100.00
7,index_6,22,22,100.00,22,22,100.00,22,22,100.00,22,22,100.00,22,22,100.00,22,22,100.00,22,22,100.00,22,22,100.00,21,21,100.00,4,4,100.00
8,index_7,23,17,73.91,23,17,73.91,23,17,73.91,23,17,73.91,23,17,73.91,23,17,73.91,23,17,73.91,23,17,73.91,23,17,73.91,15,10,66.67
9,index_8,28,7,25.00,28,7,25.00,28,7,25.00,28,7,25.00,28,7,25.00,28,7,25.00,28,7,25.00,28,7,25.00,28,7,25.00,23,6,26.09
10,index_9,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,27,27,100.00,26,26,100.00
11,index_10,23,23,100.00,23,23,100.00,23,23,100.00,23,23,100.00,23,23,100.00,23,23,100.00,23,23,100.00,23,23,100.00,23,23,100.00,16,16,100.00
12,index_11,22,22,100.00,22,22,100.00,22,22,100.00,22,22,100.00,22,22,100.00,22,22,100.00,22,22,100.00,22,22,100.00,22,22,100.00,9,9,100.00
13,index_12,28,12,42.86,28,12,42.86,28,12,42.86,28,12,42.86,28,12,42.86,28,12,42.86,28,12,42.86,28,12,42.86,28,12,42.86,24,12,50.00
14,index_13,28,16,57.14,28,16,57.14,28,16,57.14,28,16,57.14,28,16,57.14,28,16,57.14,28,16,57.14,26,14,53.85,26,14,53.85,15,9,60.00
15,index_14,21,10,47.62,21,10,47.62,21,10,47.62,21,10,47.62,21,10,47.62,21,10,47.62,21,10,47.62,21,10,47.62,20,9,45.00,17,7,41.18
16,index_15,28,13,46.43,28,13,46.43,28,13,46.43,28,13,46.43,28,13,46.43,28,13,46.43,28,13,46.43,28,13,46.43,28,13,46.43,26,13,50.00
17,index_16,20,20,100.00,20,20,100.00,20,20,100.00,20,20,100.00,20,20,100.00,20,20,100.00,20,20,100.00,20,20,100.00,19,19,100.00,9,9,100.00
18,index_17,26,26,100.00,26,26,100.00,26,26,100.00,26,26,100.00,26,26,100.00,26,26,100.00,26,26,100.00,26,26,100.00,25,25,100.00,22,22,100.00
19,index_18,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,25,25,100.00
20,index_19,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
21,index_20,28,21,75.00,28,21,75.00,28,21,75.00,28,21,75.00,28,21,75.00,28,21,75.00,28,21,75.00,28,21,75.00,28,21,75.00,25,18,72.00
22,index_21,21,12,57.14,21,12,57.14,21,12,57.14,21,12,57.14,21,12,57.14,21,12,57.14,21,12,57.14,19,11,57.89,17,9,52.94,7,3,42.86
23,index_22,28,15,53.57,28,15,53.57,28,15,53.57,28,15,53.57,28,15,53.57,28,15,53.57,28,15,53.57,28,15,53.57,28,15,53.57,27,14,51.85
24,index_23,28,11,39.29,28,11,39.29,28,11,39.29,28,11,39.29,28,11,39.29,28,11,39.29,28,11,39.29,28,11,39.29,28,11,39.29,17,7,41.18
25,index_24,28,11,39.29,28,11,39.29,28,11,39.29,28,11,39.29,28,11,39.29,28,11,39.29,28,11,39.29,28,11,39.29,28,11,39.29,20,9,45.00
26,index_25,28,16,57.14,28,16,57.14,28,16,57.14,28,16,57.14,28,16,57.14,28,16,57.14,28,16,57.14,28,16,57.14,28,16,57.14,28,16,57.14
27,index_26,25,25,100.00,25,25,100.00,25,25,100.00,25,25,100.00,25,25,100.00,25,25,100.00,25,25,100.00,25,25,100.00,25,25,100.00,20,20,100.00
28,index_27,27,20,74.07,27,20,74.07,27,20,74.07,27,20,74.07,27,20,74.07,27,20,74.07,27,20,74.07,27,20,74.07,27,20,74.07,8,6,75.00
29,index_28,28,21,75.00,28,21,75.00,28,21,75.00,28,21,75.00,28,21,75.00,28,21,75.00,28,21,75.00,28,21,75.00,28,21,75.00,27,21,77.78
30,index_29,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,24,24,100.00
31,index_30,27,20,74.07,27,20,74.07,27,20,74.07,27,20,74.07,27,20,74.07,27,20,74.07,27,20,74.07,27,20,74.07,26,19,73.08,10,10,100.00
32,index_31,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,27,27,100.00
33,index_32,28,21,75.00,28,21,75.00,28,21,75.00,28,21,75.00,28,21,75.00,28,21,75.00,28,21,75.00,27,20,74.07,26,19,73.08,13,8,61.54
34,index_33,28,11,39.29,28,11,39.29,28,11,39.29,28,11,39.29,28,11,39.29,28,11,39.29,28,11,39.29,28,11,39.29,28,11,39.29,23,7,30.43
35,index_34,14,14,100.00,14,14,100.00,14,14,100.00,14,14,100.00,14,14,100.00,14,14,100.00,14,14,100.00,14,14,100.00,13,13,100.00,10,10,100.00
36,index_35,23,9,39.13,23,9,39.13,23,9,39.13,23,9,39.13,23,9,39.13,23,9,39.13,22,9,40.91,22,9,40.91,19,7,36.84,3,2,66.67
37,index_36,28,9,32.14,28,9,32.14,28,9,32.14,28,9,32.14,28,9,32.14,28,9,32.14,27,9,33.33,27,9,33.33,27,9,33.33,10,3,30.00
38,index_37,26,26,100.00,26,26,100.00,26,26,100.00,26,26,100.00,26,26,100.00,26,26,100.00,26,26,100.00,26,26,100.00,26,26,100.00,22,22,100.00
