iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,2,0,0.4,fixed,33,33,1,189,13112,13301,"[""33"", ""33""]",17,0.021997226996106126,0.0388552641410745,58.92245841026306
2,index_1,8,1,0,0.4,fixed,23,5,0,221,25056,25277,"[""5""]",13,0.043096487114522034,0.0817454980198759,370.8271014690399
3,index_2,8,1,0,0.4,fixed,116,116,1,167,11335,11502,"[""116""]",16,0.01745496220979495,0.0340730777852499,56.63433527946472
4,index_3,8,1,0,0.4,fixed,809,809,1,140,8856,8996,"[""809""]",7,0.01329698549387442,0.0245834267354105,75.2502863407135
5,index_4,8,1,0,0.4,fixed,197,254,0,136,17854,17990,"[""254""]",7,0.033661718151496677,0.0654561757453485,279.9192838668823
6,index_5,8,1,0,0.4,fixed,385,16,0,123,18907,19030,"[""16""]",16,0.029603922380037045,0.0540237614884555,215.17366409301758
7,index_6,8,1,0,0.4,fixed,371,139,0,118,20668,20786,"[""139""]",9,0.03893687031216178,0.0760666517223342,335.7360188961029
8,index_7,8,1,0,0.4,fixed,601,603,0,114,30232,30346,"[""603""]",19,0.05203042517937148,0.1000523051632668,464.36177921295166
9,index_8,8,1,0,0.4,fixed,25,25,1,92,10895,10987,"[""25""]",14,0.015137061961478172,0.0266756332660837,79.8570249080658
10,index_9,8,1,0,0.4,fixed,55,55,1,103,7634,7737,"[""55""]",9,0.010883071669143506,0.0245087050736008,49.764161348342896
11,index_10,8,1,0,0.4,fixed,540,540,1,91,14697,14788,"[""540""]",18,0.019874301904806546,0.0430396772024209,80.96818661689758
12,index_11,8,1,0,0.4,fixed,45,45,1,181,13790,13971,"[""45""]",15,0.02055239250826442,0.0337741911380109,118.95707130432129
13,index_12,8,1,0,0.4,fixed,204,204,1,176,7835,8011,"[""204""]",12,0.01443209136696551,0.0268997982515131,35.181225061416626
14,index_13,8,1,0,0.4,fixed,699,699,1,113,17628,17741,"[""699""]",28,0.025453638227420063,0.0360905626541134,106.66116905212402
15,index_14,8,1,0,0.4,fixed,294,294,1,96,7687,7783,"[""294""]",11,0.01110004577212175,0.0239109317791227,52.69289803504944
16,index_15,8,1,0,0.4,fixed,110,110,1,107,29491,29598,"[""110""]",12,0.0579879069668339,0.1143988642307405,542.5410935878754
17,index_16,8,1,0,0.4,fixed,721,11737,0,140,22827,22967,"[""11737""]",12,0.04244627925127365,0.0825674362997833,381.2177903652191
18,index_17,8,1,0,0.4,fixed,315,144,0,95,18080,18175,"[""144""]",7,0.0343193172481777,0.067174773966973,294.6128191947937
19,index_18,8,1,0,0.4,fixed,468,468,1,95,9994,10089,"[""468""]",7,0.014958359730165786,0.0260778599716057,93.74078392982483
20,index_19,8,1,0,0.4,fixed,902,18,0,142,20405,20547,"[""18""]",9,0.03873130948119567,0.0755436000896659,339.67301654815674
21,index_20,8,1,0,0.4,fixed,211,2311,0,165,24779,24944,"[""2311""]",13,0.04364815141834074,0.0839124262123589,389.9661159515381
22,index_21,8,1,0,0.4,fixed,80,80,1,104,16638,16742,"[""80""]",9,0.029312290444167482,0.0564148546663677,238.32730865478516
23,index_22,8,1,0,0.4,fixed,480,80,0,126,12793,12919,"[""80""]",10,0.022177346889917165,0.0418441306134648,158.21543717384338
24,index_23,8,1,0,0.4,fixed,236,236,1,113,16482,16595,"[""236""]",11,0.027296157183145753,0.0514085033251139,209.36755561828613
25,index_24,8,1,0,0.4,fixed,73,73,1,154,9386,9540,"[""73""]",10,0.014727476634198955,0.0249570350444593,87.83534812927246
26,index_25,8,1,0,0.4,fixed,113,113,1,397,23611,24008,"[""113""]",11,0.04663570499377868,0.089441829186281,404.42795491218567
27,index_26,8,1,0,0.4,fixed,127,55,0,203,21680,21883,"[""55""]",9,0.04091402272848607,0.0792049615183442,348.6592433452606
28,index_27,8,1,0,0.4,fixed,104,104,1,194,12898,13092,"[""104""]",13,0.019950013982805166,0.0337741911380109,117.74414348602295
29,index_28,8,1,0,0.4,fixed,104,104,1,119,14573,14692,"[""104""]",10,0.025136527055397956,0.047672420234626,185.14921236038208
30,index_29,8,1,0,0.4,fixed,321,321,1,104,13795,13899,"[""321""]",17,0.020280547277903523,0.033101696181723,116.74075317382812
