token,frequency
 the,9
",",5
 Take,4
.<newline><newline>,4
 n,3
 So,3
So,3
Wait,3
 Wait,2
n,2
 yes,2
.,2
 +,2
:,2
But,2
 so,2
 numbers,2
 ,2
 losing,2
 allow,1
 probably,1
 by,1
 can,1
The,1
 it,1
 The,1
 If,1
 because,1
.<newline>,1
"),",1
 write,1
Result,1
as,1
 Options,1
 to,1
 both,1
 if,1
 tab,1
 let,1
 L,1
 loses,1
 (,1
Looking,1
Hmm,1
 etc,1
 which,1
 Let,1
 W,1
 take,1
 meaning,1
2,1
 last,1
 How,1
 there,1
 terms,1
 check,1
Total,1
 confirm,1
 two,1
 positions,1
 else,1
 no,1
 up,1
Which,1
 blocks,1
In,1
not,1
 in,1
 and,1
 using,1
Ident,1
 By,1
 valid,1
