iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,10,1,1,0.65,C,C,1,148,7156,7304,"[""C""]",14,0.02348108214136999,0.039303594111933,35.279669523239136
5,index_4,10,1,2,0.65,C,C,1,385,15021,15406,"[""C""]",18,0.014206908218262423,0.0236120451318837,166.14782786369324
9,index_8,10,1,0,0.65,A,C,0,262,7870,8132,"[""C""]",10,0.016265251016976998,0.0277964581932301,56.55063772201538
15,index_14,10,1,0,0.65,C,C,1,302,7667,7969,"[""C""]",8,0.02139160076989073,0.0375102742284988,48.86354732513428
17,index_16,10,1,0,0.65,C,C,1,158,6463,6621,"[""C""]",8,0.027390832278255072,0.0340730777852499,30.545474767684937
32,index_31,10,0,1,0.65,C,,0,151,19259,19410,[],11,0.025658582554653402,0.045505492042143,295.56304383277893
34,index_33,10,1,0,0.65,A,C,0,472,14800,15272,"[""C""]",10,0.014074329833336303,0.0310842113128595,178.73777747154236
35,index_34,10,1,0,0.65,C,C,1,318,8372,8690,"[""C""]",10,0.018067250589928783,0.0326533662108645,53.41383099555969
39,index_38,10,1,0,0.65,B,B,1,243,5811,6054,"[""B""]",6,0.019710693147142327,0.0309347679892401,34.16448450088501
41,index_40,10,1,0,0.65,A,A,1,147,5568,5715,"[""A""]",4,0.034683626993902476,0.0444593887768064,40.08351755142212
44,index_43,10,2,0,0.65,A,B,0,313,8546,8859,"[""B"", ""B""]",9,0.03948520345441165,0.043637450496899,48.288130044937134
52,index_51,10,1,1,0.65,C,C,1,252,17471,17723,"[""C""]",11,0.032412503822389506,0.0669506089815437,232.02866792678833
58,index_57,10,1,0,0.65,A,D,0,87,6491,6578,"[""D""]",8,0.016990574714731286,0.026302024957035,16.07103395462036
62,index_61,10,1,0,0.65,C,D,0,252,15848,16100,"[""D""]",12,0.04323917458497105,0.0722558469700366,176.3740553855896
