iteration,question_id,num_detected_t0.70,num_same_answer_t0.70,same_answer_perc_t0.70,num_detected_t0.80,num_same_answer_t0.80,same_answer_perc_t0.80,num_detected_t0.90,num_same_answer_t0.90,same_answer_perc_t0.90,num_detected_t0.92,num_same_answer_t0.92,same_answer_perc_t0.92,num_detected_t0.95,num_same_answer_t0.95,same_answer_perc_t0.95,num_detected_t0.98,num_same_answer_t0.98,same_answer_perc_t0.98
1,index_0,4,4,100.00,3,3,100.00,3,3,100.00,1,1,100.00,1,1,100.00,1,1,100.00
2,index_1,6,6,100.00,6,6,100.00,3,3,100.00,2,2,100.00,0,0,,0,0,
3,index_2,6,6,100.00,6,6,100.00,5,5,100.00,4,4,100.00,4,4,100.00,2,2,100.00
4,index_3,6,6,100.00,6,6,100.00,6,6,100.00,6,6,100.00,4,4,100.00,0,0,
5,index_4,3,0,0.00,3,0,0.00,3,0,0.00,3,0,0.00,2,0,0.00,0,0,
6,index_5,6,6,100.00,6,6,100.00,6,6,100.00,3,3,100.00,0,0,,0,0,
7,index_6,1,0,0.00,1,0,0.00,1,0,0.00,0,0,,0,0,,0,0,
8,index_7,6,6,100.00,6,6,100.00,3,3,100.00,2,2,100.00,0,0,,0,0,
9,index_8,6,6,100.00,6,6,100.00,4,4,100.00,3,3,100.00,0,0,,0,0,
10,index_9,6,6,100.00,6,6,100.00,4,4,100.00,3,3,100.00,1,1,100.00,0,0,
11,index_10,5,5,100.00,4,4,100.00,3,3,100.00,2,2,100.00,1,1,100.00,0,0,
12,index_11,6,6,100.00,6,6,100.00,5,5,100.00,2,2,100.00,0,0,,0,0,
13,index_12,3,3,100.00,3,3,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
14,index_13,6,6,100.00,6,6,100.00,5,5,100.00,3,3,100.00,1,1,100.00,0,0,
15,index_14,6,6,100.00,6,6,100.00,3,3,100.00,2,2,100.00,0,0,,0,0,
16,index_15,6,1,16.67,6,1,16.67,2,1,50.00,2,1,50.00,2,1,50.00,1,0,0.00
17,index_16,6,6,100.00,6,6,100.00,1,1,100.00,0,0,,0,0,,0,0,
18,index_17,3,1,33.33,3,1,33.33,3,1,33.33,0,0,,0,0,,0,0,
19,index_18,6,6,100.00,6,6,100.00,6,6,100.00,5,5,100.00,0,0,,0,0,
20,index_19,6,0,0.00,6,0,0.00,6,0,0.00,5,0,0.00,1,0,0.00,0,0,
21,index_20,6,6,100.00,6,6,100.00,2,2,100.00,1,1,100.00,0,0,,0,0,
22,index_21,6,3,50.00,6,3,50.00,6,3,50.00,6,3,50.00,3,2,66.67,0,0,
23,index_22,6,6,100.00,6,6,100.00,3,3,100.00,3,3,100.00,2,2,100.00,0,0,
24,index_23,6,6,100.00,6,6,100.00,6,6,100.00,5,5,100.00,2,2,100.00,1,1,100.00
25,index_24,6,6,100.00,6,6,100.00,4,4,100.00,3,3,100.00,0,0,,0,0,
26,index_25,6,6,100.00,6,6,100.00,5,5,100.00,4,4,100.00,2,2,100.00,0,0,
27,index_26,3,1,33.33,3,1,33.33,3,1,33.33,2,0,0.00,0,0,,0,0,
28,index_27,6,6,100.00,6,6,100.00,5,5,100.00,5,5,100.00,1,1,100.00,0,0,
29,index_28,6,6,100.00,6,6,100.00,6,6,100.00,6,6,100.00,0,0,,0,0,
30,index_29,6,6,100.00,6,6,100.00,6,6,100.00,6,6,100.00,4,4,100.00,1,1,100.00
