iteration,question_id,num_detected_t0.70,num_same_answer_t0.70,same_answer_perc_t0.70,num_detected_t0.80,num_same_answer_t0.80,same_answer_perc_t0.80,num_detected_t0.90,num_same_answer_t0.90,same_answer_perc_t0.90,num_detected_t0.92,num_same_answer_t0.92,same_answer_perc_t0.92,num_detected_t0.95,num_same_answer_t0.95,same_answer_perc_t0.95,num_detected_t0.98,num_same_answer_t0.98,same_answer_perc_t0.98
1,index_0,23,23,100.00,23,23,100.00,14,14,100.00,12,12,100.00,0,0,,0,0,
2,index_1,28,10,35.71,28,10,35.71,27,9,33.33,26,9,34.62,17,5,29.41,3,1,33.33
3,index_2,19,19,100.00,16,16,100.00,7,7,100.00,2,2,100.00,1,1,100.00,0,0,
4,index_3,25,18,72.00,25,18,72.00,20,13,65.00,12,6,50.00,1,0,0.00,0,0,
5,index_4,23,23,100.00,20,20,100.00,7,7,100.00,3,3,100.00,0,0,,0,0,
6,index_5,17,17,100.00,17,17,100.00,14,14,100.00,10,10,100.00,9,9,100.00,0,0,
7,index_6,22,22,100.00,21,21,100.00,4,4,100.00,3,3,100.00,0,0,,0,0,
8,index_7,23,17,73.91,23,17,73.91,15,10,66.67,8,5,62.50,0,0,,0,0,
9,index_8,28,7,25.00,28,7,25.00,23,6,26.09,10,3,30.00,2,1,50.00,0,0,
10,index_9,28,28,100.00,27,27,100.00,26,26,100.00,17,17,100.00,2,2,100.00,0,0,
11,index_10,23,23,100.00,23,23,100.00,16,16,100.00,11,11,100.00,0,0,,0,0,
12,index_11,22,22,100.00,22,22,100.00,9,9,100.00,7,7,100.00,2,2,100.00,0,0,
13,index_12,28,12,42.86,28,12,42.86,24,12,50.00,18,9,50.00,5,1,20.00,0,0,
14,index_13,28,16,57.14,26,14,53.85,15,9,60.00,5,2,40.00,0,0,,0,0,
15,index_14,21,10,47.62,20,9,45.00,17,7,41.18,16,7,43.75,9,4,44.44,1,0,0.00
16,index_15,28,13,46.43,28,13,46.43,26,13,50.00,25,12,48.00,7,4,57.14,0,0,
17,index_16,20,20,100.00,19,19,100.00,9,9,100.00,7,7,100.00,2,2,100.00,1,1,100.00
18,index_17,26,26,100.00,25,25,100.00,22,22,100.00,14,14,100.00,3,3,100.00,0,0,
19,index_18,28,28,100.00,28,28,100.00,25,25,100.00,15,15,100.00,4,4,100.00,0,0,
20,index_19,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
21,index_20,28,21,75.00,28,21,75.00,25,18,72.00,19,13,68.42,5,3,60.00,0,0,
22,index_21,21,12,57.14,17,9,52.94,7,3,42.86,5,3,60.00,1,0,0.00,0,0,
23,index_22,28,15,53.57,28,15,53.57,27,14,51.85,24,13,54.17,8,5,62.50,1,0,0.00
24,index_23,28,11,39.29,28,11,39.29,17,7,41.18,8,4,50.00,2,0,0.00,0,0,
25,index_24,28,11,39.29,28,11,39.29,20,9,45.00,14,6,42.86,5,2,40.00,3,1,33.33
26,index_25,28,16,57.14,28,16,57.14,28,16,57.14,24,15,62.50,5,4,80.00,0,0,
27,index_26,25,25,100.00,25,25,100.00,20,20,100.00,14,14,100.00,3,3,100.00,2,2,100.00
28,index_27,27,20,74.07,27,20,74.07,8,6,75.00,3,3,100.00,0,0,,0,0,
29,index_28,28,21,75.00,28,21,75.00,27,21,77.78,22,18,81.82,2,1,50.00,0,0,
30,index_29,28,28,100.00,28,28,100.00,24,24,100.00,23,23,100.00,10,10,100.00,1,1,100.00
31,index_30,27,20,74.07,26,19,73.08,10,10,100.00,3,3,100.00,1,1,100.00,0,0,
32,index_31,28,28,100.00,28,28,100.00,27,27,100.00,26,26,100.00,14,14,100.00,0,0,
33,index_32,28,21,75.00,26,19,73.08,13,8,61.54,7,5,71.43,0,0,,0,0,
34,index_33,28,11,39.29,28,11,39.29,23,7,30.43,20,5,25.00,5,1,20.00,0,0,
35,index_34,14,14,100.00,13,13,100.00,10,10,100.00,8,8,100.00,4,4,100.00,1,1,100.00
36,index_35,22,9,40.91,19,7,36.84,3,2,66.67,0,0,,0,0,,0,0,
37,index_36,27,9,33.33,27,9,33.33,10,3,30.00,6,1,16.67,2,0,0.00,1,0,0.00
38,index_37,26,26,100.00,26,26,100.00,22,22,100.00,16,16,100.00,6,6,100.00,1,1,100.00
39,index_38,7,7,100.00,5,5,100.00,3,3,100.00,2,2,100.00,0,0,,0,0,
40,index_39,28,28,100.00,28,28,100.00,13,13,100.00,6,6,100.00,2,2,100.00,0,0,
41,index_40,19,19,100.00,19,19,100.00,12,12,100.00,9,9,100.00,2,2,100.00,0,0,
42,index_41,21,21,100.00,19,19,100.00,14,14,100.00,9,9,100.00,2,2,100.00,0,0,
43,index_42,28,11,39.29,28,11,39.29,24,9,37.50,21,8,38.10,7,2,28.57,0,0,
44,index_43,6,6,100.00,5,5,100.00,4,4,100.00,2,2,100.00,1,1,100.00,0,0,
45,index_44,28,28,100.00,28,28,100.00,26,26,100.00,21,21,100.00,10,10,100.00,1,1,100.00
46,index_45,28,11,39.29,28,11,39.29,26,10,38.46,16,8,50.00,5,1,20.00,0,0,
47,index_46,28,28,100.00,28,28,100.00,15,15,100.00,9,9,100.00,1,1,100.00,0,0,
48,index_47,27,14,51.85,25,12,48.00,11,7,63.64,6,4,66.67,0,0,,0,0,
49,index_48,28,5,17.86,28,5,17.86,27,5,18.52,23,4,17.39,10,2,20.00,0,0,
50,index_49,21,21,100.00,19,19,100.00,4,4,100.00,1,1,100.00,0,0,,0,0,
51,index_50,28,21,75.00,28,21,75.00,28,21,75.00,28,21,75.00,25,19,76.00,2,1,50.00
52,index_51,24,24,100.00,23,23,100.00,14,14,100.00,10,10,100.00,6,6,100.00,2,2,100.00
53,index_52,28,15,53.57,28,15,53.57,24,13,54.17,18,9,50.00,3,1,33.33,0,0,
54,index_53,28,13,46.43,28,13,46.43,23,11,47.83,15,7,46.67,2,0,0.00,0,0,
55,index_54,28,28,100.00,28,28,100.00,25,25,100.00,13,13,100.00,3,3,100.00,0,0,
56,index_55,28,16,57.14,28,16,57.14,15,9,60.00,6,3,50.00,0,0,,0,0,
57,index_56,27,11,40.74,27,11,40.74,25,11,44.00,21,8,38.10,9,2,22.22,1,0,0.00
58,index_57,24,11,45.83,24,11,45.83,21,10,47.62,20,10,50.00,10,5,50.00,0,0,
59,index_58,25,25,100.00,24,24,100.00,17,17,100.00,14,14,100.00,1,1,100.00,0,0,
60,index_59,28,28,100.00,28,28,100.00,23,23,100.00,19,19,100.00,12,12,100.00,3,3,100.00
61,index_60,28,21,75.00,28,21,75.00,23,16,69.57,15,10,66.67,0,0,,0,0,
