token,frequency
",",11
 n,6
So,5
 the,5
 ,5
.<newline><newline>,4
 (,4
 for,4
 So,3
 Take,3
 The,2
 Wait,2
Wait,2
),2
Hmm,2
 W,2
.,2
 Let,2
Yes,2
 ≤,2
:,2
 blocks,2
 allow,1
 probably,1
 If,1
 because,1
.<newline>,1
Result,1
as,1
 Options,1
 to,1
 my,1
 Player,1
|,1
 loses,1
Looking,1
 then,1
 at,1
 etc,1
 yes,1
 take,1
5,1
Thus,1
 are,1
 starting,1
 +,1
 numbers,1
2,1
 How,1
 there,1
 wait,1
 terms,1
 losing,1
 check,1
Total,1
 let,1
 that,1
?,1
 two,1
 positions,1
 no,1
ex,1
1,1
Now,1
In,1
=,1
 →,1
's,1
###,1
 By,1
 For,1
 we,1
