iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
9,index_8,8,1,0,0.75,A,A,1,262,9812,10074,"[""A""]",12,0.015586577005946477,0.0329522528581035,65.59704113006592
11,index_10,8,1,0,0.75,A,A,1,399,9012,9411,"[""A""]",14,0.018665389742927502,0.0367630576104012,42.88766598701477
12,index_11,8,1,0,0.75,D,D,1,174,10820,10994,"[""D""]",17,0.016901662625094547,0.024135096764552,81.92974376678467
13,index_12,8,1,0,0.75,A,A,1,340,11722,12062,"[""A""]",8,0.02250457880976131,0.0411716356571769,142.4002468585968
15,index_14,8,1,0,0.75,C,C,1,302,8832,9134,"[""C""]",12,0.01502986221711292,0.0322797579018157,63.988455295562744
17,index_16,8,1,0,0.75,C,C,1,158,6672,6830,"[""C""]",7,0.01041095708807269,0.0268997982515131,40.44522023200989
18,index_17,8,1,0,0.75,B,A,0,245,7958,8203,"[""A""]",7,0.012961877086259392,0.0324292012254352,49.86925506591797
19,index_18,8,1,0,0.75,A,A,1,543,14413,14956,"[""A""]",15,0.025990481213913997,0.0422924605843233,145.02426409721375
26,index_25,8,1,0,0.75,D,A,0,372,13011,13383,"[""A""]",9,0.023393939136998325,0.0412463573189867,142.08150672912598
28,index_27,8,1,0,0.75,A,A,1,327,11573,11900,"[""A""]",9,0.019149914580904683,0.0350444593887767,102.84707140922546
32,index_31,8,1,0,0.75,C,C,1,156,21584,21740,"[""C""]",10,0.04110448553247657,0.0801016214600612,333.99001598358154
34,index_33,8,1,0,0.75,A,C,0,472,12671,13143,"[""C""]",11,0.023886509204211048,0.0413210789807965,143.36147022247314
39,index_38,8,2,0,0.75,B,B,1,243,6824,7067,"[""B"", ""B""]",11,0.01382633856678186,0.0221176118956885,37.344598054885864
41,index_40,8,1,0,0.75,A,A,1,147,5348,5495,"[""A""]",6,0.008581600610895098,0.0197265187177763,38.26858186721802
46,index_45,8,1,0,0.75,C,D,0,98,9732,9830,"[""D""]",5,0.015643615033998307,0.0285436748113278,101.03304743766785
53,index_52,8,1,0,0.75,D,B,0,231,17871,18102,"[""B""]",9,0.03308057233640129,0.0630650825674362,254.62571549415588
57,index_56,8,1,0,0.75,D,B,0,191,20530,20721,"[""B""]",10,0.03914218805251046,0.0757677650750953,316.0181748867035
70,index_69,8,1,0,0.75,D,C,0,165,12666,12831,"[""C""]",9,0.02042682727829703,0.0366136142867817,129.2166109085083
73,index_72,8,2,0,0.75,C,C,1,187,6989,7176,"[""C"", ""C""]",9,0.014017348802399644,0.0274975715459911,31.121821641921997
75,index_74,8,2,0,0.75,B,B,1,639,14906,15545,"[""A"", ""B""]",14,0.026491661199945223,0.0502129567361577,128.16404223442078
76,index_75,8,1,0,0.75,D,B,0,221,7982,8203,"[""B""]",9,0.01309724799351486,0.030336994694762,45.565709829330444
79,index_78,8,1,0,0.75,A,D,0,387,15619,16006,"[""D""]",9,0.028630073466315655,0.0521557199432115,197.76064157485962
83,index_82,8,1,0,0.75,A,A,1,193,19422,19615,"[""A""]",15,0.03265895140756561,0.0608234327131435,243.8049476146698
84,index_83,8,5,0,0.75,D,D,1,128,7657,7785,"[""D"", ""D"", ""D"", ""D"", ""D""]",9,0.018270285881719764,0.0308600463274303,21.84448790550232
86,index_85,8,1,0,0.75,A,D,0,335,10892,11227,"[""D""]",9,0.019124649838911517,0.0334753044907718,110.15743350982666
89,index_88,8,1,0,0.75,B,B,1,257,13323,13580,"[""B""]",14,0.02212280918345407,0.0381080475229769,132.4152090549469
94,index_93,8,1,0,0.75,D,D,1,198,17588,17786,"[""D""]",16,0.027666292956626242,0.0489426884853919,185.9491684436798
102,index_101,8,1,0,0.75,D,D,1,439,14353,14792,"[""D""]",14,0.023304698807514648,0.0496151834416797,114.42717480659485
107,index_106,8,7,0,0.75,A,B,0,280,8814,9094,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",10,0.01989396919819552,0.0364641709631622,31.646353006362915
111,index_110,8,1,0,0.75,D,B,0,344,14870,15214,"[""B""]",11,0.02671671112796061,0.0483449151909138,179.5708396434784
112,index_111,8,1,0,0.75,A,A,1,248,9828,10076,"[""A""]",13,0.015451795382319743,0.0298886647239035,66.70782351493835
116,index_115,8,1,0,0.75,B,A,0,268,15598,15866,"[""A""]",7,0.029169918752014967,0.0550698647537921,213.10113763809204
117,index_116,8,1,0,0.75,D,A,0,226,15135,15361,"[""A""]",11,0.02645502714957538,0.0489426884853919,185.53059911727905
120,index_119,8,1,0,0.75,A,A,1,122,8839,8961,"[""A""]",11,0.012718621464202023,0.0251064783680788,59.60737085342407
