iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,10,1,0,0.5,C,C,1,148,6150,6298,"[""C""]",8,0.009884321554012287,0.0239109317791227,31.818653106689453
5,index_4,10,1,0,0.5,C,C,1,385,8557,8942,"[""C""]",11,0.014898699527359133,0.0336247478143914,61.920501708984375
9,index_8,10,1,0,0.5,A,A,1,262,8847,9109,"[""A""]",12,0.013948423800731543,0.0276470148696107,65.31986451148987
15,index_14,10,1,0,0.5,C,D,0,302,6957,7259,"[""D""]",6,0.011987883595146494,0.030635881342001,50.286805629730225
17,index_16,10,1,0,0.5,C,C,1,158,6164,6322,"[""C""]",6,0.00942318809801904,0.0239109317791227,35.57749009132385
32,index_31,10,1,0,0.5,C,C,1,156,13073,13229,"[""C""]",12,0.019775103172780112,0.0348202944033475,125.33554792404175
34,index_33,10,1,0,0.5,A,C,0,472,13663,14135,"[""C""]",8,0.025355065138299788,0.0449077187476649,170.07043385505676
35,index_34,10,1,0,0.5,C,C,1,318,10523,10841,"[""C""]",10,0.01728033605619701,0.0311589329746693,97.20918321609497
39,index_38,10,1,0,0.5,B,B,1,243,6055,6298,"[""B""]",6,0.01075631047606431,0.0276470148696107,33.60368299484253
41,index_40,10,1,0,0.5,A,B,0,147,8408,8555,"[""B""]",6,0.013162037765059682,0.0239109317791227,79.76373624801636
44,index_43,10,1,0,0.5,A,A,1,313,5157,5470,"[""A""]",9,0.012258881122364602,0.030635881342001,24.200037240982056
52,index_51,10,1,0,0.5,C,C,1,252,9812,10064,"[""C""]",10,0.01541817997545318,0.0322797579018157,84.6034803390503
58,index_57,10,2,0,0.5,A,D,0,87,8752,8839,"[""D"", ""D""]",9,0.011530975436947078,0.0262273032952252,48.47447729110718
62,index_61,10,1,0,0.5,C,C,1,252,14654,14906,"[""C""]",10,0.02550906162175386,0.0471493686019577,186.26017236709595
63,index_62,10,1,0,0.5,D,D,1,247,12261,12508,"[""D""]",9,0.021489288958297045,0.039303594111933,141.6773726940155
66,index_65,10,2,0,0.5,C,C,1,124,9892,10016,"[""C"", ""C""]",8,0.014557666878943087,0.0248075917208399,88.20208358764648
73,index_72,10,3,0,0.5,C,C,1,187,9064,9251,"[""C"", ""C"", ""C""]",11,0.019988600880962357,0.0264514682806545,30.601492404937744
83,index_82,10,1,0,0.5,A,A,1,193,11892,12085,"[""A""]",12,0.017289210407993184,0.0336247478143914,97.21657228469849
84,index_83,10,2,0,0.5,D,D,1,128,7678,7806,"[""D"", ""D""]",9,0.018331967813972463,0.0336247478143914,19.449861764907837
89,index_88,10,1,0,0.5,B,B,1,257,10203,10460,"[""B""]",6,0.017444198182039544,0.0305611596801912,107.57436323165894
101,index_100,10,1,0,0.5,A,A,1,222,6660,6882,"[""A""]",10,0.01220073223845585,0.0322797579018157,33.81935977935791
104,index_103,10,1,0,0.5,A,A,1,220,7687,7907,"[""A""]",10,0.012941158824263551,0.0316072629455279,37.70280480384827
105,index_104,10,1,0,0.5,D,D,1,240,16193,16433,"[""D""]",10,0.02907528999182187,0.0549204214301726,232.42397093772888
110,index_109,10,1,0,0.5,B,B,1,515,9531,10046,"[""B""]",8,0.017515831623968386,0.0430396772024209,85.79438042640686
112,index_111,10,1,0,0.5,A,A,1,248,10401,10649,"[""A""]",13,0.01574543544642252,0.0322797579018157,75.70258021354675
113,index_112,10,1,0,0.5,C,C,1,244,14902,15146,"[""C""]",10,0.02494518058142667,0.045505492042143,178.29870510101318
114,index_113,10,1,0,0.5,C,A,0,188,7002,7190,"[""A""]",8,0.010745612551621854,0.0254053650153179,49.438225984573364
118,index_117,10,1,0,0.5,B,A,0,172,9616,9788,"[""A""]",6,0.01598892672857686,0.0288425614585667,101.83799910545349
120,index_119,10,1,0,0.5,A,A,1,122,8399,8521,"[""A""]",10,0.011633035657260458,0.0304864380183815,46.06636095046997
129,index_128,10,1,0,0.5,A,B,0,278,14947,15225,"[""B""]",9,0.024751048443378016,0.0443846671149966,170.59497618675232
135,index_134,10,1,0,0.5,B,B,1,358,8877,9235,"[""B""]",13,0.016539936665796777,0.0322797579018157,46.63975119590759
140,index_139,10,1,0,0.5,A,A,1,231,13944,14175,"[""A""]",11,0.023191006813176325,0.0420682955988941,157.516441822052
142,index_141,10,2,0,0.5,C,C,1,152,5919,6071,"[""C"", ""C""]",8,0.014496948234913506,0.0251064783680788,16.89997911453247
144,index_143,10,1,0,0.5,B,B,1,175,10476,10651,"[""B""]",10,0.016824168244295296,0.0296644997384741,105.25000858306885
146,index_145,10,1,0,0.5,C,A,0,307,9990,10297,"[""A""]",8,0.017203509210071632,0.030635881342001,101.78082180023193
150,index_149,10,1,0,0.5,B,D,0,253,14786,15039,"[""D""]",9,0.023917700988903393,0.0427407905551819,161.9720184803009
153,index_152,10,1,0,0.5,B,B,1,536,13484,14020,"[""B""]",7,0.024656477701126375,0.048569080176343,157.0818612575531
158,index_157,10,1,0,0.5,D,D,1,210,12016,12226,"[""D""]",14,0.01772760004281435,0.0389299858028842,63.01050877571106
162,index_161,10,1,0,0.5,D,D,1,163,6173,6336,"[""D""]",6,0.009460049656025826,0.0246581483972203,40.510363817214966
172,index_171,10,1,0,0.5,D,D,1,244,7104,7348,"[""D""]",8,0.011609736188836888,0.0286931181349473,43.837422370910645
177,index_176,10,1,0,0.5,D,D,1,226,9600,9826,"[""D""]",7,0.014772774523707434,0.034371964432489,82.8907458782196
179,index_178,10,1,0,0.5,B,B,1,305,10210,10515,"[""B""]",13,0.016372919316568556,0.0381080475229769,62.96608352661133
180,index_179,10,1,0,0.5,B,B,1,178,18815,18993,"[""B""]",6,0.03702502302338609,0.0723305686318463,331.6194043159485
181,index_180,10,1,0,0.5,B,A,0,276,11343,11619,"[""A""]",8,0.01979381011722302,0.0354927893596354,124.37527847290039
188,index_187,10,1,0,0.5,C,A,0,145,15378,15523,"[""A""]",6,0.027743094092293977,0.0534259881939774,222.62549805641174
192,index_191,10,1,0,0.5,B,B,1,326,8177,8503,"[""B""]",7,0.013664702627359963,0.039602480759172,59.99645018577576
193,index_192,10,2,0,0.5,A,C,0,128,6642,6770,"[""C"", ""C""]",8,0.009976903558360813,0.0225659418665471,37.45464611053467
196,index_195,10,1,0,0.5,D,D,1,224,10835,11059,"[""D""]",8,0.016969265248134528,0.0285436748113278,100.65702629089355
197,index_196,10,1,0,0.5,D,C,0,270,16738,17008,"[""C""]",10,0.029938369021775334,0.0561906896809385,238.45295691490173
198,index_197,10,1,0,0.5,D,D,1,198,10458,10656,"[""D""]",9,0.01577997988228477,0.034371964432489,91.53511714935303
