iteration,question_id,num_detected_t0.70,num_same_answer_t0.70,same_answer_perc_t0.70,num_detected_t0.80,num_same_answer_t0.80,same_answer_perc_t0.80,num_detected_t0.90,num_same_answer_t0.90,same_answer_perc_t0.90,num_detected_t0.92,num_same_answer_t0.92,same_answer_perc_t0.92,num_detected_t0.95,num_same_answer_t0.95,same_answer_perc_t0.95,num_detected_t0.98,num_same_answer_t0.98,same_answer_perc_t0.98
1,index_0,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,,0,0,
2,index_1,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
3,index_2,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
4,index_3,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
5,index_4,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,0,0,
6,index_5,1,0,0.00,1,0,0.00,0,0,,0,0,,0,0,,0,0,
7,index_6,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,0,0,,0,0,
8,index_7,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,,0,0,
9,index_8,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
10,index_9,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
11,index_10,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
12,index_11,1,0,0.00,1,0,0.00,0,0,,0,0,,0,0,,0,0,
13,index_12,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
14,index_13,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
15,index_14,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
16,index_15,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
17,index_16,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,,0,0,
18,index_17,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,0,0,,0,0,
19,index_18,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
20,index_19,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,0,0,
21,index_20,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
22,index_21,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
23,index_22,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
24,index_23,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
25,index_24,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
26,index_25,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
27,index_26,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,0,0,
28,index_27,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
29,index_28,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
30,index_29,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
