iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,aqua_rat_test_0,8,8,A,A,1,181,27601,23588,3997,27782,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.0442373163985815,0.0676704842741701,96.36974143981934
2,aqua_rat_test_1,8,8,E,E,1,161,21079,18734,2329,21240,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",0.0319607265049456,0.0512760885995,80.80604338645935
3,aqua_rat_test_2,8,8,A,A,1,103,6667,5346,1305,6770,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.0095717628242278,0.0191267949537817,29.43150520324707
4,aqua_rat_test_3,8,8,B,B,1,149,15939,14142,1781,16088,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",0.0252657616549786,0.0409278530318004,58.32269620895386
5,aqua_rat_test_4,8,8,B,B,1,114,5106,3699,1391,5220,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",0.0109861076265113,0.0181384803209115,15.556580781936646
6,aqua_rat_test_5,8,8,D,D,1,172,11047,9790,1241,11219,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.0215652461853075,0.0356955990930759,34.14378094673157
7,aqua_rat_test_6,8,8,D,D,1,130,10743,9641,1086,10873,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.015734106314367,0.0289518051276088,44.4229679107666
8,aqua_rat_test_7,8,8,C,C,1,145,7601,5854,1731,7746,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.0146892603335096,0.0246497296668798,25.102161169052124
9,aqua_rat_test_8,8,8,E,E,1,136,17477,16255,1206,17613,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",0.0285759326858849,0.0563920702284751,58.407591819763184
10,aqua_rat_test_9,8,8,D,D,1,123,6964,5803,1145,7087,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.0129626434572133,0.0246497296668798,23.0320246219635
11,aqua_rat_test_10,8,8,B,C,0,166,23914,21355,2543,24080,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.0359437527954638,0.0687750712167897,87.23000454902649
12,aqua_rat_test_11,8,8,A,A,1,154,11485,9519,1950,11639,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.0209743153950422,0.0354049183187024,37.437005043029785
13,aqua_rat_test_12,8,8,C,C,1,126,12144,9819,2309,12270,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.02096950829796,0.0390674960758095,39.97528004646301
14,aqua_rat_test_13,8,8,D,D,1,89,2251,1738,497,2340,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.0056525716561519,0.0085460147665833,7.203956127166748
15,aqua_rat_test_14,8,8,C,C,1,107,3543,3105,422,3650,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.0080048605220286,0.0134875879309342,11.354476690292358
16,aqua_rat_test_15,8,8,A,A,1,117,3563,2578,969,3680,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.008651676675443,0.0130224986919365,10.898382425308228
17,aqua_rat_test_16,8,8,A,A,1,151,43264,40670,2578,43415,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.0653871249702833,0.1117958258240799,154.08836126327515
18,aqua_rat_test_17,8,8,D,D,1,159,9416,8087,1313,9575,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.0161740883788025,0.031160979012848,33.749704360961914
19,aqua_rat_test_18,8,8,D,D,1,191,4813,3831,966,5004,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.0112704258717427,0.019068658798907,16.290606021881104
20,aqua_rat_test_19,8,8,C,C,1,114,7744,5737,1991,7858,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.0131982354769309,0.0283704435788616,27.0511474609375
21,aqua_rat_test_20,8,8,C,E,0,130,92794,91038,1740,92924,"[""E"", ""A"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",0.1222057940071608,0.2404511365618278,478.5540647506714
22,aqua_rat_test_21,8,8,A,A,1,149,29193,26601,2576,29342,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.0496034610382005,0.0793558514039881,92.8057782649994
23,aqua_rat_test_22,8,8,E,E,1,150,23715,22113,1586,23865,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",0.041819285442364,0.0744142782396372,71.9294970035553
24,aqua_rat_test_23,8,8,A,A,1,152,11897,10457,1424,12049,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.0227076633578639,0.0378466368234404,36.478662729263306
25,aqua_rat_test_24,8,8,D,D,1,145,12321,11188,1117,12466,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.0209842767290172,0.0366257775710714,41.7459921836853
26,aqua_rat_test_25,8,8,D,D,1,131,4764,3818,930,4895,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.0116414756683275,0.0172083018429161,13.51886248588562
27,aqua_rat_test_26,8,8,C,C,1,117,5426,4142,1268,5543,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.0108300126644558,0.0193593395732806,17.586921453475952
28,aqua_rat_test_27,8,8,A,A,1,144,7601,5507,2078,7745,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.0141068077437357,0.0272077204813673,25.772659063339237
29,aqua_rat_test_28,8,8,B,B,1,135,10990,9509,1465,11125,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",0.0150935167634235,0.0281960351142375,50.536011695861816
30,aqua_rat_test_29,8,8,A,A,1,120,7292,6639,637,7412,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.0115923492820184,0.0207546072902737,29.327310800552368
