iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,10,4,0,0.74,33,33,1,189,19515,19704,"[""33"", ""33"", ""33"", ""33""]",18,0.03654191462148012,0.0603751027422849,59.67348504066467
2,index_1,10,1,0,0.74,23,23,1,221,22299,22520,"[""23""]",35,0.03348872244239373,0.0524546065904505,111.47393441200256
3,index_2,10,1,0,0.74,116,116,1,167,13594,13761,"[""116""]",17,0.02348720666503613,0.0504371217215871,45.80878448486328
4,index_3,10,1,0,0.74,809,809,1,140,9971,10111,"[""809""]",12,0.01371310711402135,0.0321303145781962,60.67285418510437
5,index_4,10,1,0,0.74,197,35,0,136,27690,27826,"[""35""]",17,0.04861209493134761,0.0938504072330568,453.6399278640747
6,index_5,10,1,0,0.74,385,16,0,123,29453,29576,"[""16""]",30,0.03851000790934565,0.0621684226257192,274.36520314216614
7,index_6,10,1,0,0.74,371,21,0,118,20129,20247,"[""21""]",15,0.03172892062443959,0.0590301128297093,254.11858296394348
8,index_7,10,1,0,0.74,601,601,1,114,26241,26355,"[""601""]",36,0.03417407081126524,0.0618695359784802,139.5543487071991
9,index_8,10,1,0,0.74,25,25,1,92,20920,21012,"[""25""]",22,0.02757583873815851,0.0451318837330941,176.82887053489685
10,index_9,10,1,0,0.74,55,55,1,103,8376,8479,"[""55""]",11,0.011749180730350826,0.0298886647239035,47.15791296958923
11,index_10,10,5,0,0.74,540,540,1,91,22192,22283,"[""540"", ""540"", ""540"", ""540"", ""540""]",22,0.03399572205046987,0.0673242172905925,73.33581614494324
12,index_11,10,1,0,0.74,45,81,0,181,32435,32616,"[""81""]",27,0.048188203664054984,0.0871254576701785,411.6222949028015
13,index_12,10,1,0,0.74,204,204,1,176,11835,12011,"[""204""]",16,0.021207355354695576,0.0362400059777329,43.72418785095215
14,index_13,10,1,0,0.74,699,629,0,113,45386,45499,"[""629""]",38,0.054911548012648595,0.1040872749009937,378.65696954727173
15,index_14,10,1,0,0.74,294,294,1,96,12201,12297,"[""294""]",9,0.016905766807898757,0.0304864380183815,103.92513847351074
16,index_15,10,1,0,0.74,110,155,0,107,27206,27313,"[""155""]",46,0.04070310370611372,0.0614212060076215,142.67632246017456
17,index_16,10,1,0,0.74,721,721,1,140,34756,34896,"[""721""]",44,0.04599550553845655,0.0669506089815437,283.122118473053
18,index_17,10,1,0,0.74,315,216,0,95,21819,21914,"[""216""]",11,0.03713727746974963,0.071807516999178,326.1473605632782
19,index_18,10,1,0,0.74,468,468,1,95,14113,14208,"[""468""]",18,0.018710277117466388,0.0298886647239035,94.49249005317688
20,index_19,10,1,0,0.74,902,14506,0,142,22655,22797,"[""14506""]",9,0.041632726476067354,0.0811477247253978,379.7383635044098
21,index_20,10,1,0,0.74,211,105,0,165,32701,32866,"[""105""]",20,0.05364436650299886,0.1023686766793693,502.71560549736023
22,index_21,10,1,0,0.74,80,80,1,104,17886,17990,"[""80""]",9,0.02917530982857722,0.0555181947246506,234.058744430542
23,index_22,10,1,0,0.74,480,480,1,126,12906,13032,"[""480""]",10,0.021340207939557862,0.0399013674064111,145.79852867126465
24,index_23,10,1,0,0.74,236,236,1,113,15864,15977,"[""236""]",11,0.02185400469601704,0.0381080475229769,134.21760392189026
25,index_24,10,0,0,0.74,73,,0,154,19010,19164,[],12,0.033134988011242233,0.0635134125382949,280.06860065460205
26,index_25,10,1,0,0.74,113,243,0,397,23075,23472,"[""243""]",20,0.03721601752325944,0.0653814540835387,286.8475224971771
27,index_26,10,1,0,0.74,127,7,0,203,28528,28731,"[""7""]",12,0.05110350503003571,0.0989314802361204,483.23566460609436
28,index_27,10,1,0,0.74,104,104,1,194,21531,21725,"[""104""]",20,0.029085058158360065,0.0464768736456698,184.40482926368713
29,index_28,10,1,0,0.74,104,104,1,119,19466,19585,"[""104""]",15,0.03042979828987811,0.0567137413136068,241.47103071212769
30,index_29,10,1,0,0.74,321,321,1,104,13672,13776,"[""321""]",12,0.017272664190380017,0.0410221923335575,73.67754364013672
