iteration,question_id,n_chains_max,window_size,n_chains_generated,stopped_early,correct_answer,final_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,total_reasoning_tokens,total_non_reasoning_tokens,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec,individual_answers_str
1,index_0,16,2,2,True,C,C,1,153,9247,9400,,,0.017026992667118778,0.0330736968244458,100.59722805023193,"[""C"", ""C""]"
2,index_1,16,2,2,True,D,D,1,160,28425,28585,,,0.05020333475612875,0.0982624325943678,325.4890697002411,"[""D"", ""D""]"
3,index_2,16,2,2,True,C,C,1,184,5913,6097,,,0.010912846443158849,0.020611144397843,66.14051914215088,"[""C"", ""C""]"
4,index_3,16,2,2,True,B,D,0,158,12800,12958,,,0.02104012503533944,0.0363091671659676,163.69225144386292,"[""D"", ""D""]"
5,index_4,16,2,2,True,C,C,1,390,8209,8599,,,0.015544880523909836,0.0288196524865188,93.07149052619934,"[""C"", ""C""]"
6,index_5,16,2,2,True,C,C,1,204,3201,3405,,,0.005876232352786952,0.0089275014979028,41.986093521118164,"[""C"", ""C""]"
7,index_6,16,2,2,True,C,C,1,196,5586,5782,,,0.011172694504627422,0.0215098861593768,57.47788429260254,"[""C"", ""C""]"
8,index_7,16,2,2,True,D,D,1,476,9987,10463,,,0.018477383610996503,0.0334331935290592,116.95711255073547,"[""D"", ""D""]"
9,index_8,16,2,2,True,A,B,0,267,14293,14560,,,0.02648563801486156,0.0514679448771719,157.17673635482788,"[""B"", ""B""]"
10,index_9,16,2,2,True,C,C,1,153,11241,11394,,,0.018812388677231236,0.0337926902336728,138.37864708900452,"[""C"", ""C""]"
11,index_10,16,2,2,True,A,A,1,404,6612,7016,,,0.013105016006544018,0.0242061114439784,72.75135207176208,"[""A"", ""A""]"
12,index_11,16,2,2,True,D,D,1,179,10505,10684,,,0.018377904562227237,0.0346315158777711,121.93422746658325,"[""D"", ""D""]"
13,index_12,16,2,8,True,A,A,1,345,80201,80546,,,0.03713872657046617,0.0869982025164769,903.3939225673676,"[""B"", ""A"", ""A"", ""D"", ""B"", ""A"", ""A"", ""A""]"
