token,frequency
 the,6
Wait,5
 I,5
So,5
The,4
 let,4
 K,4
 approximately,4
 So,3
 another,3
:<newline><newline>,3
Hmm,3
 ,3
Multiply,3
But,3
 in,2
 ),2
In,2
 wait,2
 how,2
 but,2
For,2
",<newline><newline>",2
 perhaps,2
 M,2
Combine,2
 *,2
3,2
 We,1
 idea,1
 The,1
 like,1
 up,1
 amplitude,1
 something,1
 radial,1
 ratio,1
 question,1
 that,1
 two,1
 But,1
 masses,1
 P,1
 no,1
1,1
 because,1
Ah,1
 edge,1
We,1
 then,1
 to,1
 maybe,1
 values,1
 take,1
Take,1
Now,1
 try,1
 factor,1
 it,1
Then,1
I,1
:,1
Putting,1
≈,1
 about,1
 is,1
 using,1
 without,1
Each,1
 both,1
 consider,1
Mass,1
Sub,1
Again,1
S,1
9,1
Similarly,1
 system,1
 according,1
 re,1
",",1
 earlier,1
 Hmm,1
 binaries,1
=,1
 for,1
 from,1
Total,1
f,1
<newline><newline>,1
 eclips,1
 Using,1
