iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,1,0,0.1,fixed,33,33,1,194,10287,10481,"[""33""]",15,0.012291355557832033,0.0276728097203651,69.76917719841003
2,index_1,8,1,0,0.1,fixed,23,23,1,226,24301,24527,"[""23""]",16,0.03447325389131297,0.0662170804023022,480.78558683395386
3,index_2,8,1,0,0.1,fixed,116,116,1,172,11660,11832,"[""116""]",14,0.01301314533476106,0.026858903552119,99.88416934013367
4,index_3,8,1,0,0.1,fixed,809,809,1,145,11618,11763,"[""809""]",9,0.015246212352260136,0.0281378989593628,150.6011905670166
5,index_4,8,1,0,0.1,fixed,197,197,1,141,27400,27541,"[""197""]",9,0.04335725760528437,0.0856345561304575,645.0914120674133
6,index_5,8,1,0,0.1,fixed,385,96,0,128,35337,35465,"[""96""]",19,0.051320506118402734,0.1004011394686354,773.6603491306305
7,index_6,8,1,0,0.1,fixed,371,503,0,123,27747,27870,"[""503""]",7,0.04467822315227689,0.0884832277193186,664.1680762767792
8,index_7,8,1,0,0.1,fixed,601,601,1,119,26670,26789,"[""601""]",20,0.03703039535742561,0.0716237428056508,521.0465490818024
9,index_8,8,1,0,0.1,fixed,25,25,1,97,10639,10736,"[""25""]",13,0.011803978379647483,0.0191849311086564,102.7435884475708
10,index_9,8,1,0,0.1,fixed,55,55,1,108,10147,10255,"[""55""]",12,0.012017033059287068,0.020696471135399,110.57292771339417
11,index_10,8,1,0,0.1,fixed,540,540,1,96,15316,15412,"[""540""]",17,0.016252398648770903,0.0310447067030986,136.50431966781616
12,index_11,8,1,0,0.1,fixed,45,45,1,186,14031,14217,"[""45""]",17,0.016166018795285557,0.0255799081448753,136.76062941551208
13,index_12,8,1,0,0.1,fixed,204,204,1,181,7845,8026,"[""204""]",14,0.009959249886709669,0.0181384803209115,54.37002491950989
14,index_13,8,1,0,0.1,fixed,699,699,1,118,39097,39215,"[""699""]",25,0.04980024068903931,0.0950526132201615,726.4416720867157
15,index_14,8,1,0,0.1,fixed,294,294,1,101,11269,11370,"[""294""]",10,0.013013355279043383,0.0226149642462647,121.62977504730225
16,index_15,8,1,0,0.1,fixed,110,110,1,112,15128,15240,"[""110""]",12,0.018540134029862897,0.0340677867565839,197.6404104232788
17,index_16,8,1,0,0.1,fixed,721,721,1,145,15949,16094,"[""721""]",13,0.02107771316338497,0.0396488576245567,245.94303631782532
18,index_17,8,1,0,0.1,fixed,315,12,0,100,33597,33697,"[""12""]",8,0.05340885119234878,0.1059240741817336,822.0589191913605
19,index_18,8,1,0,0.1,fixed,468,468,1,100,18649,18749,"[""468""]",7,0.02845035321840585,0.0559269809894773,384.08011078834534
20,index_19,8,1,0,0.1,fixed,902,7262,0,147,32530,32677,"[""7262""]",9,0.05267415533652024,0.1042962618452415,805.7040433883667
21,index_20,8,1,0,0.1,fixed,211,211,1,170,28945,29115,"[""211""]",15,0.04156372511895701,0.0809255275856054,599.0379486083984
22,index_21,8,1,0,0.1,fixed,80,80,1,109,21157,21266,"[""80""]",11,0.030976719699759007,0.0605778733794546,425.48384404182434
23,index_22,8,1,0,0.1,fixed,480,480,1,131,14612,14743,"[""480""]",10,0.020915203904438556,0.0402883553281786,250.95181798934937
24,index_23,8,1,0,0.1,fixed,236,236,1,118,14716,14834,"[""236""]",14,0.019243499744862627,0.036102552177199,214.95293521881104
25,index_24,8,1,0,0.1,fixed,73,73,1,159,10287,10446,"[""73""]",9,0.013774370687260624,0.0252310912156269,134.9984655380249
26,index_25,8,1,0,0.1,fixed,113,3268,0,402,24614,25016,"[""3268""]",7,0.04056141238649457,0.0788907621649903,577.4844214916229
27,index_26,8,1,0,0.1,fixed,127,4,0,208,30628,30836,"[""4""]",12,0.047399058415753335,0.093134120109296,706.0254151821136
28,index_27,8,1,0,0.1,fixed,104,104,1,199,14843,15042,"[""104""]",11,0.019962045180485437,0.0371490029649439,222.49554324150085
29,index_28,8,1,0,0.1,fixed,104,104,1,124,15996,16120,"[""104""]",9,0.02307303721747481,0.0447067030986571,289.48809838294983
30,index_29,8,1,0,0.1,fixed,321,321,1,109,13979,14088,"[""321""]",11,0.018384963586625194,0.0347654206150804,203.9493899345398
