iteration,question_id,num_detected_t0.70,num_same_answer_t0.70,same_answer_perc_t0.70,num_detected_t0.80,num_same_answer_t0.80,same_answer_perc_t0.80,num_detected_t0.90,num_same_answer_t0.90,same_answer_perc_t0.90,num_detected_t0.92,num_same_answer_t0.92,same_answer_perc_t0.92,num_detected_t0.95,num_same_answer_t0.95,same_answer_perc_t0.95,num_detected_t0.98,num_same_answer_t0.98,same_answer_perc_t0.98
1,index_0,18,18,100.00,17,17,100.00,10,10,100.00,9,9,100.00,4,4,100.00,0,0,
2,index_1,24,24,100.00,23,23,100.00,10,10,100.00,7,7,100.00,2,2,100.00,0,0,
3,index_2,26,26,100.00,25,25,100.00,13,13,100.00,9,9,100.00,5,5,100.00,3,3,100.00
4,index_3,28,28,100.00,28,28,100.00,26,26,100.00,23,23,100.00,12,12,100.00,0,0,
5,index_4,15,0,0.00,15,0,0.00,15,0,0.00,13,0,0.00,7,0,0.00,0,0,
6,index_5,28,28,100.00,28,28,100.00,26,26,100.00,17,17,100.00,3,3,100.00,1,1,100.00
7,index_6,1,0,0.00,1,0,0.00,1,0,0.00,0,0,,0,0,,0,0,
8,index_7,28,28,100.00,28,28,100.00,23,23,100.00,16,16,100.00,4,4,100.00,0,0,
9,index_8,26,26,100.00,24,24,100.00,17,17,100.00,11,11,100.00,2,2,100.00,0,0,
10,index_9,24,24,100.00,24,24,100.00,15,15,100.00,9,9,100.00,2,2,100.00,0,0,
11,index_10,23,23,100.00,23,23,100.00,16,16,100.00,14,14,100.00,8,8,100.00,0,0,
12,index_11,27,27,100.00,23,23,100.00,13,13,100.00,10,10,100.00,2,2,100.00,0,0,
13,index_12,22,22,100.00,20,20,100.00,13,13,100.00,9,9,100.00,3,3,100.00,0,0,
14,index_13,28,28,100.00,27,27,100.00,23,23,100.00,14,14,100.00,2,2,100.00,0,0,
15,index_14,28,28,100.00,28,28,100.00,25,25,100.00,18,18,100.00,5,5,100.00,0,0,
16,index_15,28,5,17.86,27,5,18.52,9,3,33.33,5,2,40.00,1,0,0.00,0,0,
17,index_16,25,25,100.00,23,23,100.00,11,11,100.00,6,6,100.00,2,2,100.00,0,0,
18,index_17,15,6,40.00,15,6,40.00,12,4,33.33,10,3,30.00,2,1,50.00,0,0,
19,index_18,28,28,100.00,28,28,100.00,22,22,100.00,15,15,100.00,8,8,100.00,1,1,100.00
20,index_19,28,2,7.14,28,2,7.14,26,2,7.69,21,1,4.76,5,0,0.00,0,0,
21,index_20,28,21,75.00,26,19,73.08,11,9,81.82,6,6,100.00,0,0,,0,0,
22,index_21,28,21,75.00,28,21,75.00,28,21,75.00,27,20,74.07,17,11,64.71,3,3,100.00
23,index_22,28,21,75.00,28,21,75.00,18,14,77.78,12,10,83.33,5,4,80.00,0,0,
24,index_23,28,28,100.00,28,28,100.00,28,28,100.00,17,17,100.00,5,5,100.00,0,0,
25,index_24,28,28,100.00,26,26,100.00,18,18,100.00,14,14,100.00,7,7,100.00,1,1,100.00
26,index_25,27,27,100.00,26,26,100.00,23,23,100.00,19,19,100.00,14,14,100.00,5,5,100.00
27,index_26,10,1,10.00,10,1,10.00,10,1,10.00,7,1,14.29,2,0,0.00,0,0,
28,index_27,27,27,100.00,26,26,100.00,17,17,100.00,15,15,100.00,7,7,100.00,0,0,
29,index_28,28,28,100.00,28,28,100.00,20,20,100.00,7,7,100.00,3,3,100.00,1,1,100.00
30,index_29,28,28,100.00,28,28,100.00,21,21,100.00,18,18,100.00,9,9,100.00,0,0,
