iteration,question_id,correct_answer,final_answer,score,num_chains_generated,total_tokens_generated,window_size,individual_answers_str,correct_answer_in_chains,time_taken,max_kv_cache_usage
1,aqua_rat_test_0,A,A,1,2,6652,2,"['A', 'A']",True,45.4888115614418,2.071143259076471
2,aqua_rat_test_1,E,E,1,2,5179,2,"['E', 'E']",True,45.4888115614418,2.071143259076471
3,aqua_rat_test_2,A,A,1,2,3071,2,"['A', 'A']",True,45.4888115614418,2.071143259076471
4,aqua_rat_test_3,B,B,1,2,3295,2,"['B', 'B']",True,45.4888115614418,2.071143259076471
5,aqua_rat_test_4,B,B,1,2,1199,2,"['B', 'B']",True,45.4888115614418,2.071143259076471
6,aqua_rat_test_5,D,D,1,2,2194,2,"['D', 'D']",True,45.4888115614418,2.071143259076471
7,aqua_rat_test_6,D,D,1,2,3770,2,"['D', 'D']",True,45.4888115614418,2.071143259076471
8,aqua_rat_test_7,C,C,1,2,1681,2,"['C', 'C']",True,45.4888115614418,2.071143259076471
9,aqua_rat_test_8,E,E,1,2,2920,2,"['E', 'E']",True,45.4888115614418,2.071143259076471
10,aqua_rat_test_9,D,D,1,2,1750,2,"['D', 'D']",True,45.4888115614418,2.071143259076471
11,aqua_rat_test_10,B,C,0,2,7344,2,"['C', 'C']",False,45.4888115614418,2.071143259076471
12,aqua_rat_test_11,A,A,1,2,2496,2,"['A', 'A']",True,45.4888115614418,2.071143259076471
13,aqua_rat_test_12,C,C,1,2,2797,2,"['C', 'C']",True,45.4888115614418,2.071143259076471
14,aqua_rat_test_13,D,D,1,2,1040,2,"['D', 'D']",True,45.4888115614418,2.071143259076471
15,aqua_rat_test_14,C,C,1,2,1396,2,"['C', 'C']",True,45.4888115614418,2.071143259076471
16,aqua_rat_test_15,A,A,1,2,1271,2,"['A', 'A']",True,45.4888115614418,2.071143259076471
17,aqua_rat_test_16,A,A,1,2,10286,2,"['A', 'A']",True,45.4888115614418,2.071143259076471
18,aqua_rat_test_17,D,D,1,2,1857,2,"['D', 'D']",True,45.4888115614418,2.071143259076471
