iteration,question_id,correct_answer,final_answer,score,num_chains_generated,total_tokens_generated,window_size,individual_answers_str,correct_answer_in_chains
1,aqua_rat_test_0,A,A,1,1,3476,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
2,aqua_rat_test_1,E,E,1,1,2371,1,"['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']",True
3,aqua_rat_test_2,A,A,1,1,949,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
4,aqua_rat_test_3,B,B,1,1,1318,1,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True
5,aqua_rat_test_4,B,B,1,1,811,1,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True
6,aqua_rat_test_5,D,D,1,1,1709,1,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True
7,aqua_rat_test_6,D,D,1,1,1627,1,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True
8,aqua_rat_test_7,C,C,1,1,952,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True
9,aqua_rat_test_8,E,E,1,1,3016,1,"['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']",True
10,aqua_rat_test_9,D,D,1,1,1321,1,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True
11,aqua_rat_test_10,B,C,0,1,4273,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",False
12,aqua_rat_test_11,A,A,1,1,1229,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
13,aqua_rat_test_12,C,C,1,1,3675,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True
14,aqua_rat_test_13,D,D,1,1,275,1,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True
15,aqua_rat_test_14,C,C,1,1,471,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True
16,aqua_rat_test_15,A,A,1,1,642,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
17,aqua_rat_test_16,A,A,1,1,5066,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
18,aqua_rat_test_17,D,D,1,1,1482,1,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True
19,aqua_rat_test_18,D,D,1,1,585,1,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True
20,aqua_rat_test_19,C,C,1,1,1002,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True
21,aqua_rat_test_20,C,E,0,1,14501,1,"['E', 'E', 'E', 'E', 'E', 'E', 'E', 'A']",False
22,aqua_rat_test_21,A,A,1,1,4073,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
23,aqua_rat_test_22,E,E,1,1,2862,1,"['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']",True
24,aqua_rat_test_23,A,A,1,1,1603,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
25,aqua_rat_test_24,D,D,1,1,1597,1,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True
26,aqua_rat_test_25,D,D,1,1,804,1,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True
27,aqua_rat_test_26,C,C,1,1,827,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True
28,aqua_rat_test_27,A,A,1,1,1019,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
29,aqua_rat_test_28,B,B,1,1,770,1,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True
30,aqua_rat_test_29,A,A,1,1,1055,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
31,aqua_rat_test_30,B,B,1,1,1573,1,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True
32,aqua_rat_test_31,A,A,1,1,640,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
33,aqua_rat_test_32,B,B,1,1,14695,1,"['B', 'C', 'B', 'C', 'C', 'C', 'B', 'C']",True
34,aqua_rat_test_33,B,B,1,1,628,1,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True
35,aqua_rat_test_34,B,B,1,1,1100,1,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True
36,aqua_rat_test_35,A,A,1,1,622,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
37,aqua_rat_test_36,D,D,1,1,1349,1,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True
38,aqua_rat_test_37,A,A,1,1,1875,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
39,aqua_rat_test_38,D,D,1,1,1204,1,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True
40,aqua_rat_test_39,A,A,1,1,1857,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
41,aqua_rat_test_40,A,A,1,1,1952,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
42,aqua_rat_test_41,A,A,1,1,7133,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
43,aqua_rat_test_42,C,C,1,1,988,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True
44,aqua_rat_test_43,A,A,1,1,1996,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
45,aqua_rat_test_44,B,B,1,1,975,1,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True
46,aqua_rat_test_45,B,B,1,1,2303,1,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True
47,aqua_rat_test_46,E,E,1,1,1692,1,"['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']",True
48,aqua_rat_test_47,A,A,1,1,1039,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
49,aqua_rat_test_48,D,D,1,1,1515,1,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True
50,aqua_rat_test_49,B,B,1,1,875,1,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True
51,aqua_rat_test_50,C,C,1,1,960,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True
52,aqua_rat_test_51,C,C,1,1,1532,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True
53,aqua_rat_test_52,B,B,1,1,865,1,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True
54,aqua_rat_test_53,A,A,1,1,535,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
55,aqua_rat_test_54,D,D,1,1,7160,1,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True
56,aqua_rat_test_55,A,A,1,1,511,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
57,aqua_rat_test_56,A,A,1,1,4714,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
58,aqua_rat_test_57,D,D,1,1,2074,1,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True
59,aqua_rat_test_58,D,D,1,1,2725,1,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True
60,aqua_rat_test_59,C,A,0,1,11509,1,"['A', 'A', 'A', 'C', 'A', 'A', 'A', 'A']",False
61,aqua_rat_test_60,E,E,1,1,2161,1,"['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']",True
62,aqua_rat_test_61,D,D,1,1,1459,1,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True
63,aqua_rat_test_62,B,B,1,1,833,1,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True
64,aqua_rat_test_63,C,C,1,1,765,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True
65,aqua_rat_test_64,D,B,0,1,910,1,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",False
66,aqua_rat_test_65,C,C,1,1,885,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True
67,aqua_rat_test_66,C,C,1,1,934,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True
68,aqua_rat_test_67,B,B,1,1,2551,1,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True
69,aqua_rat_test_68,A,A,1,1,3174,1,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True
70,aqua_rat_test_69,C,C,1,1,16686,1,"['C', 'C', 'C', 'C', 'C', 'C', 'C']",True
