iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,8,0,0.95,fixed,103,103,1,79,39296,39375,"[""103"", ""103"", ""103"", ""103"", ""103"", ""103"", ""103"", ""103""]",38,0.0673015311830901,0.1399536725696779,128.20352482795715
2,index_1,8,8,0,0.95,fixed,3375,3375,1,148,16238,16386,"[""3375"", ""3375"", ""3375"", ""3375"", ""3375"", ""3375"", ""3375"", ""3375""]",16,0.037042756921233856,0.0591795561533288,42.707337379455566
3,index_2,8,1,0,0.95,fixed,\frac{1}{576},1024,0,167,92946,93113,"[""1024""]",96,0.13087968826917515,0.3407307778524994,533.2438595294952
4,index_3,8,8,0,0.95,fixed,-984,-984,1,118,96925,97043,"[""3063"", ""45"", ""-984"", ""-983"", ""4049"", ""-983"", ""-984"", ""-984""]",100,0.16966831910305802,0.2905178211163416,421.7508132457733
5,index_4,8,8,0,0.95,fixed,890,890,1,138,48366,48504,"[""890"", ""890"", ""890"", ""9000"", ""890"", ""890"", ""890"", ""890""]",41,0.09942496559955058,0.1830680714339086,137.10531997680664
6,index_5,8,2,0,0.95,fixed,\frac{1311}{2017},\dfrac{1311}{2017},1,11209,41349,52558,"[""\\dfrac{1311}{2017}"", ""0""]",40,0.06873035931610737,0.1506388702084734,134.3016586303711
7,index_6,8,8,0,0.95,fixed,\frac{9 \sqrt{23}}{23},2,0,138,154262,154400,"[""2"", ""1.88"", ""2"", ""2"", ""\\dfrac{9\\sqrt{23}}{23}"", ""\\dfrac{15}{8}"", ""\\sqrt{2}"", ""\\dfrac{2\\sqrt{22}}{5}""]",100,0.3099765406535591,0.5642979899872973,577.8543348312378
8,index_7,8,1,0,0.95,fixed,1-\frac{2}{\pi},\dfrac{4}{11},0,151,53843,53994,"[""\\dfrac{4}{11}""]",40,0.0690401505482346,0.1942763207053724,370.8717784881592
9,index_8,8,2,0,0.95,fixed,1037,45,0,33967,87045,121012,"[""45"", ""1020""]",62,0.1100644795741909,0.2902936561309124,694.0000810623169
10,index_9,8,1,0,0.95,fixed,"\frac{-1+\sqrt{17}}{2}, \frac{-1-\sqrt{17}}{2}",\dfrac{1 - \sqrt{73}}{2},0,141,69238,69379,"[""\\dfrac{1 - \\sqrt{73}}{2}""]",61,0.091921394287682,0.2456848240304864,436.4391505718231
11,index_10,8,8,0,0.95,fixed,56,8,0,111,100485,100596,"[""8"", ""8"", ""12"", ""4"", ""8"", ""8"", ""56"", ""12""]",100,0.16722177992045292,0.3813793618770081,437.1468274593353
12,index_11,8,2,0,0.95,fixed,29,29,1,142,60935,61077,"[""29"", ""29""]",50,0.1115949189677092,0.2707913023985653,209.90133213996887
13,index_12,8,1,0,0.95,fixed,105,1,0,149,49230,49379,"[""1""]",29,0.06326429695878279,0.1512366435029515,468.13560009002686
14,index_13,8,1,0,0.95,fixed,2304,2301,0,183,39237,39420,"[""2301""]",30,0.0570060734291081,0.1572143764477321,180.50328540802002
15,index_14,8,1,0,0.95,fixed,200,202,0,144,33894,34038,"[""202""]",34,0.05954870717337408,0.1392811776133901,111.52419352531433
16,index_15,8,1,0,0.95,fixed,6300,8100,0,114,46690,46804,"[""8100""]",36,0.06222459144850667,0.1751475752820742,264.9897429943085
17,index_16,8,1,0,0.95,fixed,2^{25} \cdot 26!,2 \times 26!,0,142,34551,34693,"[""2 \\times 26!""]",29,0.06683287173441545,0.1506388702084734,101.62236952781677
18,index_17,8,5,0,0.95,fixed,\frac{2025}{101},1825,0,217,68664,68881,"[""1825"", ""1825"", ""\\dfrac{675}{67}"", ""1825"", ""1825""]",68,0.14363318109671666,0.2353732347007398,219.20708560943604
19,index_18,8,1,0,0.95,fixed,\frac{4}{9},\dfrac{1}{2},0,90,37605,37695,"[""\\dfrac{1}{2}""]",27,0.05106959561919302,0.1464544571471269,187.05144572257996
20,index_19,8,1,0,0.95,fixed,\frac{448}{3},225,0,166,47417,47583,"[""225""]",30,0.06055918337465876,0.1512366435029515,419.75635147094727
21,index_20,8,8,0,0.95,fixed,26,26,1,134,21269,21403,"[""26"", ""26"", ""26"", ""26"", ""26"", ""26"", ""26"", ""26""]",16,0.047832061663447216,0.087274900993798,54.46483540534973
22,index_21,8,4,0,0.95,fixed,63,63,1,135,104889,105024,"[""63"", ""105"", ""63"", ""63""]",100,0.1635130365823724,0.3564223268325487,534.2265818119049
23,index_22,8,8,0,0.95,fixed,8\sqrt{10},8\sqrt{10},1,130,57105,57235,"[""8\\sqrt{10}"", ""8\\sqrt{10}"", ""8\\sqrt{10}"", ""8\\sqrt{10}"", ""8\\sqrt{10}"", ""8\\sqrt{10}"", ""8\\sqrt{10}"", ""8\\sqrt{10}""]",48,0.09862665310127808,0.2289471717851005,210.16966485977173
24,index_23,8,8,0,0.95,fixed,20,100,0,677,77109,77786,"[""100"", ""25"", ""25"", ""50"", ""100"", ""64"", ""100"", ""100""]",80,0.15161506293143293,0.3036688335948592,307.67560720443726
25,index_24,8,1,0,0.95,fixed,\sqrt{23}-2 \sqrt{3},3,0,146,59241,59387,"[""3""]",44,0.07527893144164614,0.2086228797728461,429.26368594169617
26,index_25,8,8,0,0.95,fixed,9\sqrt{15},9\sqrt{15},1,139,70352,70491,"[""9\\sqrt{15}"", ""9\\sqrt{15}"", ""9\\sqrt{15}"", ""9\\sqrt{15}"", ""9\\sqrt{15}"", ""9\\sqrt{15}"", ""9\\sqrt{15}"", ""9\\sqrt{15}""]",58,0.10859845232247578,0.2749757154599118,328.58366346359253
27,index_26,8,1,0,0.95,fixed,\frac{7}{18},\dfrac{7}{18},1,151,69482,69633,"[""\\dfrac{7}{18}""]",63,0.11893904980637723,0.2947022341776881,277.3690309524536
28,index_27,8,2,0,0.95,fixed,\sqrt{6},\sqrt{6},1,27853,76708,104561,"[""\\sqrt{6}"", ""\\sqrt{22}""]",59,0.09750042525918834,0.2479264738847791,520.1466581821442
29,index_28,8,8,0,0.95,fixed,14+4\sqrt{37},10,0,186952,186471,373423,"[""34"", ""2\\sqrt{197}"", ""13"", ""65"", ""5 + \\sqrt{601}"", ""25"", ""30 - 4\\sqrt{14}"", ""10""]",100,0.3775760638854575,0.6056190689680938,744.2744572162628
30,index_29,8,1,0,0.95,fixed,\sqrt{\frac{95}{24}},42,0,115,45619,45734,"[""42""]",27,0.057398340856932455,0.1572143764477321,356.21648955345154
