token,frequency
.,7
",",6
 So,4
 the,4
’.,3
 so,3
:,3
 perhaps,3
 it,3
.<newline><newline>,2
...,2
 after,2
?,2
 is,2
...<newline><newline>,2
 T,2
So,2
Wait,2
 area,1
 would,1
 rest,1
 Let,1
 C,1
 first,1
Let,1
Mut,1
 in,1
 AT,1
 Compar,1
 …,1
T,1
 count,1
GT,1
 Then,1
 (,1
)<newline>,1
Positions,1
 then,1
 unless,1
 fifth,1
 ,1
<newline>,1
""",",1
),1
 third,1
 won,1
 protein,1
 The,1
 Ala,1
 a,1
 mutant,1
 sequence,1
 which,1
 very,1
 sequences,1
 through,1
 This,1
 disruption,1
