token,frequency
So,13
.<newline><newline>,11
 =,10
Wait,9
",",8
)<newline><newline>,8
 So,7
 ),7
=,7
.,6
 (,6
But,6
),6
 the,5
2,5
 ,5
Similarly,4
S,4
 /,4
).<newline><newline>,4
 amplitude,3
a,3
 in,3
Hmm,3
<newline><newline>,3
 *,3
 of,2
 has,2
 But,2
K,2
1,2
 a,2
 take,2
Now,2
",<newline><newline>",2
M,2
:<newline><newline>,2
 M,2
 but,2
 �,2
 system,2
 total,2
Combine,2
/,2
 solar,2
≈,2
 Using,2
 figure,1
 The,1
 spectro,1
 System,1
 We,1
 remember,1
 to,1
 K,1
 Each,1
 masses,1
 twice,1
 something,1
 radial,1
 fact,1
 is,1
 found,1
4,1
/(,1
In,1
_system,1
 velocity,1
 smaller,1
 velocities,1
 star,1
 and,1
 P,1
 I,1
^(,1
 circular,1
 when,1
 own,1
 again,1
System,1
 equations,1
Take,1
P,1
)),1
 as,1
Then,1
I,1
N,1
)],1
Multiply,1
 remains,1
 approximately,1
 very,1
 wait,1
 Maybe,1
π,1
 this,1
 ratio,1
 let,1
 getting,1
 )<newline><newline>,1
 ]<newline><newline>,1
Sub,1
 cube,1
 ],1
9,1
 now,1
 so,1
The,1
" ),",1
 re,1
 less,1
 times,1
 made,1
 for,1
 Wait,1
)/,1
For,1
.<newline>,1
 Parameters,1
 In,1
 For,1
 more,1
~,1
