token,frequency
So,12
",",11
Wait,9
.<newline><newline>,8
 the,8
.,7
But,6
 =,6
=,5
),4
 but,4
 M,4
",<newline><newline>",4
 and,3
M,3
 ),3
 So,3
Similarly,3
Hmm,3
<newline><newline>,3
2,3
 /,3
 ,3
Multiply,3
 �,3
)<newline><newline>,3
S,3
 *,3
 of,2
a,2
 K,2
 velocity,2
K,2
 I,2
We,2
:<newline><newline>,2
3,2
 (,2
;,2
 cube,2
 )<newline><newline>,2
The,2
Combine,2
1,2
 Using,2
 figure,1
 The,1
 spectro,1
 System,1
 We,1
 remember,1
 one,1
)),1
 star,1
 then,1
 probably,1
 -,1
 fact,1
4,1
 V,1
_system,1
 in,1
 But,1
 more,1
 Since,1
/M,1
Ah,1
 which,1
 amplitude,1
^(,1
 circular,1
 when,1
 ratio,1
 each,1
System,1
 to,1
 take,1
Take,1
Now,1
P,1
Let,1
 <newline><newline>,1
Then,1
I,1
N,1
 +,1
 remains,1
Compute,1
 approximately,1
).<newline><newline>,1
 another,1
 relation,1
 determined,1
 perhaps,1
 consider,1
Mass,1
 getting,1
)^,1
 π,1
9,1
 let,1
 so,1
 wait,1
 make,1
 than,1
/,1
 is,1
 system,1
 by,1
 can,1
 solar,1
 Wait,1
 f,1
In,1
.<newline>,1
 Parameters,1
 In,1
 total,1
 For,1
