token,frequency
 the,8
",",5
.,5
 so,4
 So,3
Let,2
 …,2
...<newline><newline>,2
 perhaps,2
:,2
 but,2
).,2
Alright,1
 would,1
 of,1
 write,1
 first,1
 Not,1
 AT,1
’.,1
 in,1
 That,1
 Compar,1
 G,1
…<newline><newline>,1
So,1
 Then,1
 Wait,1
 (,1
Positions,1
 then,1
 is,1
 unless,1
 let,1
 mutant,1
 ,1
<newline>,1
Wait,1
""",",1
 which,1
 confused,1
),1
...,1
 question,1
 If,1
 has,1
 truncated,1
 function,1
 two,1
 Possibly,1
 Gly,1
 best,1
 mRNA,1
.<newline><newline>,1
 sequences,1
 This,1
 disruption,1
