iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
9,index_8,32,1,0,0.7,A,C,0,262,22842,23104,"[""C""]",15,0.024329786655623634,0.0896659941717104,79.40079593658447
11,index_10,32,2,0,0.7,A,A,1,399,28739,29138,"[""A"", ""A""]",19,0.03877731364754752,0.1290443099454532,69.8986439704895
12,index_11,32,2,0,0.7,D,D,1,174,36453,36627,"[""D"", ""D""]",27,0.04130544791599184,0.1004259134723156,92.33858251571655
13,index_12,32,1,0,0.7,A,A,1,340,22896,23236,"[""A""]",13,0.02700111413499515,0.1049839348427108,152.31188917160034
15,index_14,32,1,0,0.7,C,B,0,302,29765,30067,"[""B""]",12,0.03596019708039101,0.106179481431667,264.8283007144928
17,index_16,32,3,0,0.7,C,C,1,158,24079,24237,"[""C"", ""C"", ""C""]",16,0.034577969710910435,0.0910109840842859,41.30859684944153
18,index_17,32,1,0,0.7,B,A,0,245,25832,26077,"[""A""]",11,0.025015184579174815,0.1099902861839647,105.56888818740845
19,index_18,32,1,0,0.7,A,B,0,543,28652,29195,"[""B""]",14,0.03461036658245231,0.1443622506164537,201.9379460811615
26,index_25,32,1,0,0.7,D,A,0,372,27160,27532,"[""A""]",21,0.029458417476245842,0.1204513188373309,127.11096620559692
28,index_27,32,1,0,0.7,A,A,1,327,32354,32681,"[""A""]",13,0.03370125946979723,0.1412986624822536,203.13499855995178
32,index_31,32,1,0,0.7,C,C,1,156,31801,31957,"[""C""]",20,0.03223421174069108,0.0878726742882761,214.4388337135315
34,index_33,32,1,0,0.7,A,C,0,472,24763,25235,"[""C""]",11,0.028381130568976027,0.1371889710827168,114.46883511543274
39,index_38,32,3,0,0.7,B,B,1,243,22480,22723,"[""B"", ""B"", ""B""]",20,0.030708061620181352,0.0948217888365837,53.0472686290741
41,index_40,32,1,0,0.7,A,A,1,147,16952,17099,"[""A""]",11,0.020438638797751055,0.0741238885152806,39.120360136032104
46,index_45,32,1,0,0.7,C,D,0,98,22710,22808,"[""D""]",11,0.02232802442802397,0.0789060748711051,127.36991953849792
53,index_52,32,1,0,0.7,D,D,1,231,32932,33163,"[""D""]",14,0.036673775433635245,0.1075991930060524,272.02270674705505
57,index_56,32,1,0,0.7,D,D,1,191,37412,37603,"[""D""]",21,0.0473300915130101,0.0920570873496227,403.5061557292938
70,index_69,32,1,0,0.7,D,C,0,165,27938,28103,"[""C""]",12,0.02659705820456476,0.095344840469252,143.72639203071594
73,index_72,32,8,0,0.7,C,C,1,187,26647,26834,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",14,0.04268531492495657,0.095344840469252,45.09689664840698
75,index_74,32,1,0,0.7,B,B,1,639,25646,26285,"[""B""]",19,0.03740082714709281,0.155719943211537,81.39215683937073
76,index_75,32,1,0,0.7,D,B,0,221,27537,27758,"[""B""]",15,0.028157832836407486,0.121049092131809,73.31257557868958
79,index_78,32,1,0,0.7,A,D,0,387,30162,30549,"[""D""]",17,0.03315409818804579,0.1315101247851752,184.5693073272705
83,index_82,32,1,0,0.7,A,A,1,193,37861,38054,"[""A""]",25,0.03413361801311664,0.1069266980497646,159.8730251789093
84,index_83,32,16,0,0.7,D,D,1,128,29992,30120,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",15,0.06695309030465287,0.1235896286333407,26.10459041595459
86,index_85,32,1,0,0.7,A,D,0,335,23253,23588,"[""D""]",10,0.02565175879881307,0.1226929686916237,121.69207286834717
89,index_88,32,1,0,0.7,B,A,0,257,23178,23435,"[""A""]",9,0.024161339934533677,0.1171635657177015,116.53935408592224
94,index_93,32,1,0,0.7,D,B,0,198,33960,34158,"[""B""]",25,0.0324381309845904,0.1028170066502278,171.23060512542725
102,index_101,32,1,0,0.7,D,D,1,439,30799,31238,"[""D""]",18,0.03508673150261749,0.1339012179630875,97.28445100784302
107,index_106,32,25,0,0.7,A,B,0,280,31390,31670,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",22,0.07144410008498157,0.1506388702084734,31.93849539756775
111,index_110,32,1,0,0.7,D,C,0,344,28825,29169,"[""C""]",19,0.03161459635066035,0.1243368452514384,180.62399911880493
112,index_111,32,2,0,0.7,A,A,1,248,29364,29612,"[""A"", ""A""]",26,0.03814424055352678,0.1099902861839647,75.32358360290527
116,index_115,32,1,0,0.7,B,B,1,268,27479,27747,"[""B""]",12,0.030188228985029732,0.1147724725397892,192.97510862350464
117,index_116,32,1,0,0.7,D,A,0,226,30891,31117,"[""A""]",18,0.03391479383170401,0.1099902861839647,232.92598509788513
120,index_119,32,1,0,0.7,A,A,1,122,20352,20474,"[""A""]",14,0.026199145718854115,0.0777105282821489,36.35381460189819
133,index_132,32,1,0,0.7,A,D,0,250,29056,29306,"[""D""]",14,0.031367970940954656,0.1042367182246133,209.12690138816833
134,index_133,32,1,0,0.7,A,A,1,141,26845,26986,"[""A""]",17,0.02397626924478683,0.0876485093028468,88.14455080032349
141,index_140,32,1,0,0.7,D,B,0,100,20929,21029,"[""B""]",13,0.019874345170286224,0.0717327953373683,102.78907299041748
146,index_145,32,1,0,0.7,C,B,0,307,23281,23588,"[""B""]",13,0.02483558683826281,0.1195546588956137,94.58406805992126
150,index_149,32,1,0,0.7,B,D,0,253,30337,30590,"[""D""]",16,0.030377494261857204,0.1123813793618769,175.1885712146759
152,index_151,32,10,0,0.7,B,B,1,195,36445,36640,"[""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B""]",24,0.06724226564911287,0.1464544571471269,40.152278423309326
155,index_154,32,5,0,0.7,B,B,1,430,32567,32997,"[""B"", ""B"", ""B"", ""B"", ""B""]",18,0.06202926866201011,0.1339012179630875,51.105074882507324
161,index_160,32,1,0,0.7,C,C,1,299,19720,20019,"[""C""]",9,0.028618366440315242,0.1171635657177015,44.2629828453064
168,index_167,32,6,0,0.7,A,B,0,134,33987,34121,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",24,0.053386731640624255,0.1251587835313456,41.996010065078735
172,index_171,32,2,0,0.7,D,D,1,244,24925,25169,"[""D"", ""D""]",17,0.025800082635445334,0.101845625046701,87.42097616195679
178,index_177,32,3,0,0.7,C,C,1,237,32159,32396,"[""C"", ""A"", ""C""]",16,0.0362089901430856,0.1344989912575656,71.1621105670929
179,index_178,32,1,0,0.7,B,A,0,305,33802,34107,"[""A""]",23,0.04223593022336204,0.1288948666218337,71.13195276260376
184,index_183,32,1,0,0.7,C,D,0,439,26975,27414,"[""D""]",9,0.032512258286930246,0.1353209295374728,204.19632530212402
189,index_188,32,3,0,0.7,B,A,0,87,27958,28045,"[""B"", ""A"", ""A""]",19,0.023271381368974515,0.0968392737054472,95.55179476737976
196,index_195,32,1,0,0.7,D,D,1,224,21717,21941,"[""D""]",22,0.022516223291477115,0.0812971680490174,71.93687033653259
197,index_196,32,1,0,0.7,D,C,0,270,29565,29835,"[""C""]",18,0.030284551112544723,0.104012553239184,167.7271134853363
