iteration,question_id,num_detected_t0.65,num_same_answer_t0.65,same_answer_perc_t0.65,num_detected_t0.70,num_same_answer_t0.70,same_answer_perc_t0.70,num_detected_t0.75,num_same_answer_t0.75,same_answer_perc_t0.75,num_detected_t0.80,num_same_answer_t0.80,same_answer_perc_t0.80,num_detected_t0.85,num_same_answer_t0.85,same_answer_perc_t0.85,num_detected_t0.90,num_same_answer_t0.90,same_answer_perc_t0.90,num_detected_t0.95,num_same_answer_t0.95,same_answer_perc_t0.95
1,index_0,79,77,97.47,79,77,97.47,79,77,97.47,77,75,97.40,73,71,97.26,59,57,96.61,16,15,93.75
2,index_1,490,351,71.63,473,338,71.46,431,309,71.69,378,273,72.22,301,225,74.75,149,121,81.21,25,23,92.00
3,index_2,220,220,100.00,218,218,100.00,212,212,100.00,189,189,100.00,161,161,100.00,97,97,100.00,32,32,100.00
4,index_3,626,599,95.69,623,596,95.67,615,588,95.61,605,580,95.87,567,547,96.47,440,425,96.59,153,148,96.73
5,index_4,1440,136,9.44,1437,136,9.46,1427,133,9.32,1385,131,9.46,1267,120,9.47,927,95,10.25,290,36,12.41
6,index_5,1134,322,28.40,1119,320,28.60,1085,306,28.20,1028,287,27.92,900,244,27.11,546,153,28.02,81,22,27.16
7,index_6,1326,43,3.24,1315,43,3.27,1268,42,3.31,1171,38,3.25,948,30,3.16,563,23,4.09,98,4,4.08
8,index_7,943,515,54.61,936,510,54.49,912,504,55.26,866,481,55.54,754,428,56.76,501,308,61.48,94,60,63.83
9,index_8,484,456,94.21,465,437,93.98,441,414,93.88,398,373,93.72,307,289,94.14,184,174,94.57,29,28,96.55
10,index_9,429,429,100.00,428,428,100.00,422,422,100.00,408,408,100.00,373,373,100.00,277,277,100.00,62,62,100.00
11,index_10,244,240,98.36,240,236,98.33,222,218,98.20,202,198,98.02,164,161,98.17,109,108,99.08,24,24,100.00
12,index_11,667,449,67.32,662,448,67.67,636,435,68.40,598,412,68.90,477,334,70.02,260,192,73.85,33,26,78.79
13,index_12,166,162,97.59,166,162,97.59,165,161,97.58,164,160,97.56,157,153,97.45,135,131,97.04,55,53,96.36
14,index_13,797,540,67.75,788,536,68.02,770,522,67.79,747,507,67.87,652,449,68.87,412,284,68.93,55,47,85.45
15,index_14,598,598,100.00,593,593,100.00,583,583,100.00,556,556,100.00,504,504,100.00,366,366,100.00,48,48,100.00
16,index_15,678,317,46.76,671,314,46.80,659,311,47.19,624,298,47.76,503,246,48.91,235,133,56.60,25,17,68.00
17,index_16,818,754,92.18,799,739,92.49,774,719,92.89,696,646,92.82,558,520,93.19,352,326,92.61,79,74,93.67
18,index_17,1530,73,4.77,1524,73,4.79,1502,71,4.73,1468,71,4.84,1374,70,5.09,1042,52,4.99,316,21,6.65
19,index_18,792,598,75.51,784,593,75.64,759,576,75.89,717,548,76.43,603,465,77.11,375,280,74.67,67,47,70.15
20,index_19,1376,126,9.16,1373,126,9.18,1363,123,9.02,1341,121,9.02,1239,115,9.28,882,86,9.75,94,11,11.70
21,index_20,1176,643,54.68,1169,640,54.75,1150,628,54.61,1087,590,54.28,918,478,52.07,530,282,53.21,98,48,48.98
22,index_21,1421,1273,89.58,1411,1265,89.65,1395,1251,89.68,1359,1217,89.55,1287,1152,89.51,1046,933,89.20,283,252,89.05
23,index_22,834,498,59.71,817,489,59.85,788,474,60.15,717,440,61.37,599,380,63.44,361,246,68.14,116,91,78.45
24,index_23,1162,539,46.39,1156,537,46.45,1144,531,46.42,1106,514,46.47,1005,471,46.87,734,334,45.50,156,68,43.59
25,index_24,599,584,97.50,594,579,97.47,578,563,97.40,548,534,97.45,487,475,97.54,301,296,98.34,22,21,95.45
26,index_25,867,761,87.77,856,752,87.85,827,726,87.79,785,691,88.03,696,614,88.22,485,435,89.69,148,133,89.86
27,index_26,1720,490,28.49,1719,489,28.45,1714,488,28.47,1707,486,28.47,1677,478,28.50,1537,451,29.34,678,200,29.50
28,index_27,796,359,45.10,784,351,44.77,757,341,45.05,716,321,44.83,629,283,44.99,403,198,49.13,110,57,51.82
29,index_28,980,392,40.00,978,390,39.88,961,384,39.96,930,376,40.43,803,343,42.71,466,201,43.13,92,30,32.61
30,index_29,520,505,97.12,513,498,97.08,499,484,96.99,464,450,96.98,405,392,96.79,287,279,97.21,79,78,98.73
