iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
<<<<<<< HEAD
1,index_0,10,1,0,0.78,C,C,1,148,8859,9007,"[""C""]",11,0.0124118528892347,0.030635881342001,62.142672061920166
2,index_1,10,1,0,0.78,D,D,1,155,14552,14707,"[""D""]",15,0.0219364113996053,0.0381827691847866,142.26099395751953
3,index_2,10,2,0,0.78,C,C,1,179,13342,13521,"[""C"", ""C""]",14,0.02384545812860757,0.0379586041993573,64.84482502937317
4,index_3,10,2,0,0.78,B,B,1,153,10263,10416,"[""B"", ""B""]",16,0.0186078143187908,0.0358663976686841,44.52003216743469
5,index_4,10,1,0,0.78,C,C,1,385,13139,13524,"[""C""]",25,0.0237191395296844,0.0410969139953673,86.7996175289154
6,index_5,10,1,0,0.78,C,C,1,199,20254,20453,"[""C""]",13,0.0341974373195778,0.0641859074945826,310.4643394947052
7,index_6,10,2,0,0.78,C,C,1,191,12452,12643,"[""C"", ""C""]",16,0.0210216941891453,0.0334753044907718,58.38532972335816
8,index_7,10,1,0,0.78,D,D,1,471,16319,16790,"[""D""]",16,0.0251125231029036,0.0564895763281775,134.55608534812927
9,index_8,10,1,0,0.78,A,C,0,262,9827,10089,"[""C""]",14,0.0169783765340979,0.0364641709631622,44.187641859054565
10,index_9,10,1,0,0.78,C,D,0,148,10374,10522,"[""D""]",8,0.0156092845216309,0.0282447881640888,96.55029892921448
11,index_10,10,1,0,0.78,A,A,1,399,9282,9681,"[""A""]",13,0.0235751318636992,0.0504371217215871,32.47567105293274
12,index_11,10,2,0,0.78,D,D,1,174,17298,17472,"[""D"", ""D""]",22,0.0272916790324557,0.039602480759172,77.98878049850464
13,index_12,10,1,0,0.78,A,A,1,340,14733,15073,"[""A""]",16,0.0248465940498073,0.0432638421878502,193.01195740699768
14,index_13,10,1,0,0.78,D,A,0,148,8806,8954,"[""A""]",14,0.0125356637340103,0.030635881342001,60.79793095588684
15,index_14,10,1,0,0.78,C,C,1,302,8452,8754,"[""C""]",15,0.0144837976974246,0.0316072629455279,59.56499814987183
16,index_15,10,1,0,0.78,B,B,1,221,14060,14281,"[""B""]",8,0.0237412199591577,0.0437121721587088,170.96110200881958
17,index_16,10,2,0,0.78,C,C,1,158,8113,8271,"[""C"", ""C""]",11,0.0172567657044775,0.0298886647239035,26.447499990463257
18,index_17,10,1,0,0.78,B,B,1,245,14225,14470,"[""B""]",17,0.0225778758030954,0.0387805424792647,159.76882457733154
19,index_18,10,1,0,0.78,A,A,1,543,16644,17187,"[""A""]",14,0.0288527456211143,0.0487185234999626,203.6696376800537
20,index_19,10,3,0,0.78,A,A,1,198,9977,10175,"[""A"", ""A"", ""A""]",15,0.0227228378722114,0.0381080475229769,34.900519609451294
21,index_20,10,1,0,0.78,B,C,0,277,19210,19487,"[""C""]",20,0.031300743440362,0.056041246357319,239.8672456741333
22,index_21,10,2,0,0.78,D,D,1,137,7309,7446,"[""C"", ""D""]",9,0.0119606740238234,0.030635881342001,31.006386041641235
23,index_22,10,1,0,0.78,C,D,0,275,13029,13304,"[""D""]",10,0.0212750654496929,0.0373608309048792,145.10306215286255
24,index_23,10,1,0,0.78,B,D,0,225,19223,19448,"[""D""]",19,0.0282651708986318,0.0475229769110064,210.78321027755737
25,index_24,10,1,0,0.78,B,C,0,363,20343,20706,"[""C""]",25,0.030740839695383,0.0486438018381528,213.835999250412
26,index_25,10,1,0,0.78,D,A,0,372,15632,16004,"[""A""]",17,0.024956838784125,0.0423671822461331,163.50916504859924
27,index_26,10,1,0,0.78,A,A,1,164,11809,11973,"[""A""]",11,0.0163901281749871,0.0313830979600986,93.46869277954102
28,index_27,10,1,0,0.78,A,A,1,327,12393,12720,"[""A""]",16,0.0190293351211449,0.04333856384966,82.05657362937927
29,index_28,10,1,0,0.78,A,C,0,403,15811,16214,"[""C""]",10,0.0266130832460405,0.0500635134125383,183.2561526298523
30,index_29,10,1,0,0.78,A,C,0,101,13735,13836,"[""C""]",13,0.0223204193495739,0.0416199656280356,164.02425122261047
31,index_30,10,1,0,0.78,C,A,0,135,9572,9707,"[""A""]",11,0.0133236924164802,0.030635881342001,69.39343523979187
32,index_31,10,1,0,0.78,C,C,1,156,16876,17032,"[""C""]",14,0.0256896074110415,0.0463274303220503,184.52357053756717
33,index_32,10,1,0,0.78,C,A,0,322,10854,11176,"[""A""]",9,0.017234660686241,0.039602480759172,92.83866310119627
34,index_33,10,1,0,0.78,A,C,0,472,14486,14958,"[""C""]",13,0.024966464987309,0.0448329970858552,152.8160424232483
35,index_34,10,1,0,0.78,C,C,1,318,12349,12667,"[""C""]",14,0.0190718024956218,0.0354927893596354,103.39152026176453
36,index_35,10,1,0,0.78,B,D,0,154,18502,18656,"[""D""]",19,0.0265320962801187,0.0437868938205185,176.86220717430115
37,index_36,10,1,0,0.78,D,B,0,162,15767,15929,"[""B""]",19,0.0226984998608855,0.03713666591945,140.98394107818604
38,index_37,10,1,0,0.78,C,C,1,303,11590,11893,"[""C""]",16,0.018322483208146,0.0342972427706792,99.90565872192384
39,index_38,10,2,0,0.78,B,B,1,243,9113,9356,"[""B"", ""B""]",14,0.0171926745769205,0.0268997982515131,46.65774345397949
40,index_39,10,4,0,0.78,A,B,0,173,10431,10604,"[""A"", ""B"", ""B"", ""B""]",12,0.0161534933695344,0.0349697377269671,46.82866787910461
41,index_40,10,1,0,0.78,A,B,0,147,9915,10062,"[""B""]",8,0.0144758496832718,0.026302024957035,88.61997103691101
42,index_41,10,1,0,0.78,D,D,1,234,11147,11381,"[""D""]",18,0.0191222707125558,0.0351191810505865,53.01800417900085
43,index_42,10,1,0,0.78,A,A,1,270,17549,17819,"[""A""]",9,0.0310774401015006,0.0583576178734215,241.81148838996887
44,index_43,10,1,0,0.78,A,B,0,313,8045,8358,"[""B""]",11,0.0149824309012333,0.0388552641410745,40.53068065643311
45,index_44,10,1,0,0.78,D,D,1,180,14652,14832,"[""D""]",13,0.0222761978301616,0.0386310991556452,139.49371600151062
46,index_45,10,1,0,0.78,C,A,0,98,12923,13021,"[""A""]",7,0.0204467004559987,0.0381080475229769,137.99285578727722
47,index_46,10,1,0,0.78,D,D,1,217,15138,15355,"[""D""]",19,0.0214832744817402,0.0425913472315624,91.3267936706543
48,index_47,10,1,0,0.78,A,C,0,154,21070,21224,"[""C""]",10,0.0369325286021748,0.0710603003810804,324.3840730190277
49,index_48,10,1,0,0.78,B,D,0,427,15663,16090,"[""D""]",7,0.029148612730636,0.0532765448703579,215.2394094467163
50,index_49,10,2,0,0.78,D,D,1,201,8236,8437,"[""D"", ""D""]",12,0.0159083340482627,0.0336247478143914,29.9105703830719
51,index_50,10,1,0,0.78,D,D,1,168,11447,11615,"[""D""]",14,0.016569317084002,0.0321303145781962,90.3258605003357
