iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
9,index_8,32,1,0,0.8,A,C,0,262,27034,27296,"[""C""]",18,0.028074907519656137,0.0971381603526863,87.66017293930054
11,index_10,32,2,0,0.8,A,A,1,399,27232,27631,"[""A"", ""A""]",17,0.06349086651141071,0.147650003736083,34.947712898254395
12,index_11,32,5,0,0.8,D,D,1,174,45814,45988,"[""D"", ""D"", ""D"", ""D"", ""D""]",32,0.054606200731319596,0.1010236867667937,103.88718032836914
13,index_12,32,1,0,0.8,A,B,0,340,25160,25500,"[""B""]",16,0.027743706564354365,0.1267279384293507,128.4936010837555
15,index_14,32,2,0,0.8,C,D,0,302,23723,24025,"[""C"", ""D""]",17,0.030350169303554744,0.1143241425689307,65.26594471931458
17,index_16,32,4,0,0.8,C,C,1,158,23919,24077,"[""C"", ""C"", ""C"", ""C""]",16,0.038548274280990405,0.0963909437345886,37.17455577850342
18,index_17,32,1,0,0.8,B,A,0,245,32230,32475,"[""A""]",23,0.03136157821083728,0.1191063289247552,113.18213963508606
19,index_18,32,1,0,0.8,A,A,1,543,35924,36467,"[""A""]",25,0.04111734882795202,0.1472763954270343,201.97241806983948
26,index_25,32,1,0,0.8,D,A,0,372,25975,26347,"[""A""]",13,0.02820288614327517,0.125084061869536,110.95767402648926
28,index_27,32,1,0,0.8,A,A,1,327,36889,37216,"[""A""]",20,0.036266791986651704,0.1434655906747366,181.61884140968323
32,index_31,32,1,0,0.8,C,C,1,156,30556,30712,"[""C""]",23,0.029122270954483456,0.0835388179033101,141.78215193748474
34,index_33,32,1,0,0.8,A,C,0,472,32335,32807,"[""C""]",18,0.03588430929777796,0.1504147052230441,191.0094289779663
39,index_38,32,2,0,0.8,B,B,1,243,22660,22903,"[""B"", ""B""]",17,0.0371351471864864,0.1075991930060524,39.20270562171936
41,index_40,32,1,0,0.8,A,A,1,147,16259,16406,"[""A""]",9,0.017730715025747572,0.0765149816931928,46.74744129180908
46,index_45,32,1,0,0.8,C,D,0,98,22441,22539,"[""D""]",16,0.021768052696285796,0.071807516999178,113.06360983848572
53,index_52,32,1,0,0.8,D,D,1,231,38243,38474,"[""D""]",19,0.03988481756375906,0.123514906971531,274.49335622787476
57,index_56,32,1,0,0.8,D,C,0,191,33102,33293,"[""C""]",16,0.035535409287014846,0.097511768661735,245.76530170440674
70,index_69,32,1,0,0.8,D,C,0,165,35693,35858,"[""C""]",30,0.03515620080291521,0.1075991930060524,124.78937578201294
73,index_72,32,6,0,0.8,C,C,1,187,26999,27186,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",14,0.0444768747922938,0.1019203467085108,42.1659951210022
75,index_74,32,3,0,0.8,B,B,1,639,37271,37910,"[""B"", ""B"", ""B""]",26,0.05823311413846315,0.1817230815213329,82.87171387672424
76,index_75,32,2,0,0.8,D,B,0,221,30574,30795,"[""C"", ""B""]",17,0.048913566513763905,0.1291190316072629,43.46259832382202
79,index_78,32,1,0,0.8,A,D,0,387,38637,39024,"[""D""]",26,0.03998925003047113,0.1339012179630875,198.14721298217773
83,index_82,32,2,0,0.8,A,A,1,193,49525,49718,"[""A"", ""A""]",38,0.04890641093744411,0.114847194201599,194.6640603542328
