iteration,question_id,correct_answer,final_answer,score,num_chains_generated,total_tokens_generated,window_size,individual_answers_str,correct_answer_in_chains
1,index_0,33,33,1,1,7190,1,"['33', '33', '33', '33']",False
2,index_1,23,23,1,1,10818,1,"['23', '23', '23', '23']",False
3,index_2,116,116,1,1,4508,1,"['116', '116', '116', '116']",False
4,index_3,809,809,1,1,7384,1,"['809', '809', '809', '809']",False
5,index_4,197,8603,0,1,24449,1,"['8603', '8603', '2297', '541']",False
6,index_5,385,24,0,1,17762,1,"['24', '24', '24', '24']",False
7,index_6,371,363,0,1,22367,1,"['363', '617', '503', '349']",False
8,index_7,601,601,1,1,16328,1,"['601', '601', '601', '601']",False
9,index_8,25,25,1,1,13235,1,"['25', '25', '25', '25']",False
10,index_9,55,55,1,1,4677,1,"['55', '55', '55', '55']",False
11,index_10,540,540,1,1,3569,1,"['540', '540', '540', '540']",False
12,index_11,45,45,1,1,15006,1,"['45', '45', '45', '45']",False
13,index_12,204,204,1,1,3171,1,"['204', '204', '204', '204']",False
14,index_13,699,699,1,1,12462,1,"['699', '699', '699', '699']",False
15,index_14,294,294,1,1,6564,1,"['294', '294', '294', '294']",False
16,index_15,110,110,1,1,11549,1,"['110', '179', '110', '155']",False
17,index_16,721,721,1,1,8001,1,"['721', '721', '721', '721']",False
18,index_17,315,24,0,1,35991,1,"['24', '15', '15', '6']",False
19,index_18,468,468,1,1,9334,1,"['468', '468', '468', '468']",False
20,index_19,902,58564,0,1,18722,1,"['58564', '1022', '2', '1024']",False
21,index_20,211,211,1,1,21922,1,"['211', '211', '211', '211']",False
22,index_21,80,80,1,1,15487,1,"['80', '160', '80', '80']",False
23,index_22,480,480,1,1,10902,1,"['480', '480', '480', '480']",False
24,index_23,236,236,1,1,8483,1,"['236', '236', '236', '236']",False
25,index_24,73,73,1,1,5162,1,"['73', '73', '73', '73']",False
26,index_25,113,113,1,1,12913,1,"['113', '113', '113', '113']",False
27,index_26,127,163,0,1,38526,1,"['163', '127', '127', '13']",False
28,index_27,104,104,1,1,11820,1,"['104', '104', '104', '104']",False
29,index_28,104,104,1,1,11990,1,"['104', '104', '104', '104']",False
30,index_29,321,321,1,1,8414,1,"['321', '321', '321', '321']",False
