token,frequency
.<newline><newline>,5
 ,5
 -,4
<newline><newline>,4
.,3
Now,3
<newline>,3
So,3
Adding,3
2,3
 and,2
Starting,2
(x,2
 a,2
 (,2
Let,2
",",2
 given,1
 gives,1
 The,1
And,1
|.,1
 That,1
Sub,1
Third,1
I,1
Hmm,1
 try,1
 simpl,1
 is,1
 between,1
 note,1
 find,1
 me,1
 denominator,1
 becomes,1
 →,1
But,1
 with,1
 the,1
 factors,1
We,1
)<newline>,1
 (-,1
Which,1
Then,1
 no,1
=,1
d,1
 Rew,1
},1
 \,1
Con,1
 +,1
S,1
Combine,1
|,1
Thus,1
\,1
