iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,1,1,103,103,1,84,5598,4991.0,605.0,5682,"[""103""]",0.0105008351853717,0.020696471135399,107.79524898529051
2,index_1,1,1,3375,3375,1,153,2513,1975.0,536.0,2666,"[""3375""]",0.0051468657383095,0.0097087378640776,48.79833579063416
3,index_2,1,1,\frac{1}{576},2^{\sqrt{11 + 10 \log_2 3}},0,172,29335,28625.0,708.0,29507,"[""2^{\\sqrt{11 + 10 \\log_2 3}}""]",0.0539448997870722,0.1072612057438521,778.6666719913483
4,index_3,1,1,-984,-984,1,123,16240,15404.0,834.0,16363,"[""-984""]",0.0299764548572756,0.059473286436835,397.8811702728272
5,index_4,1,1,890,9000,0,143,5387,4842.0,543.0,5530,"[""9000""]",0.0103318965778201,0.0201151095866519,105.0610330104828
6,index_5,1,1,\frac{1311}{2017},\dfrac{1311}{2017},1,113,21514,20652.0,860.0,21627,"[""\\dfrac{1311}{2017}""]",0.0395216898524824,0.0786000813906168,547.1637074947357
7,index_6,1,1,\frac{9 \sqrt{23}}{23},,0,143,32768,,,32911,[],0.0600764490436602,0.1195860705772919,876.0017762184143
8,index_7,1,1,1-\frac{2}{\pi},1 - \dfrac{2}{\pi},1,156,9314,8522.0,790.0,9470,"[""1 - \\dfrac{2}{\\pi}""]",0.0175135135351067,0.0344166036858322,195.20363521575928
9,index_8,1,1,1037,1037,1,243,11676,11105.0,569.0,11919,"[""1037""]",0.0221208069298296,0.0433114353816638,264.2673101425171
10,index_9,1,1,"\frac{-1+\sqrt{17}}{2}, \frac{-1-\sqrt{17}}{2}","-6, 9",0,146,10990,10405.0,583.0,11136,"[""-6, 9""]",0.0205220626707749,0.0404627637928027,243.00506067276
11,index_10,1,1,56,56,1,116,15779,15284.0,493.0,15895,"[""56""]",0.0291134987262419,0.0577873379454683,380.6217198371887
12,index_11,1,1,29,29,1,147,17881,17528.0,351.0,18028,"[""29""]",0.0330449565250251,0.0655194465438055,442.4067049026489
13,index_12,1,1,105,262,0,154,24293,23731.0,560.0,24447,"[""262""]",0.0447194177650567,0.0888320446485669,628.3828382492065
14,index_13,1,1,2304,70,0,188,15108,14942.0,164.0,15296,"[""70""]",0.0281560616977138,0.055578164060229,363.7978196144104
15,index_14,1,1,200,120,0,149,4958,4490.0,466.0,5107,"[""120""]",0.0095742906773504,0.0186035695599092,96.73855662345886
16,index_15,1,1,6300,6300,1,119,14558,14063.0,493.0,14677,"[""6300""]",0.0269061376804236,0.0533689901749898,346.1282579898834
17,index_16,1,1,2^{25} \cdot 26!,26!,0,147,17986,17558.0,426.0,18133,"[""26!""]",0.0332357150601272,0.0659263996279285,445.4781844615936
18,index_17,1,1,\frac{2025}{101},2025 \left(1 - \frac{1}{e}\right),0,222,12130,11851.0,277.0,12352,"[""2025 \\left(1 - \\frac{1}{e}\\right)""]",0.022869306329273,0.0448811115632812,276.33474493026733
19,index_18,1,1,\frac{4}{9},\dfrac{2}{3},0,95,23029,22754.0,273.0,23124,"[""\\dfrac{2}{3}""]",0.0422086660616726,0.0840648799488401,590.2723801136017
20,index_19,1,1,\frac{448}{3},588,0,171,19674,19368.0,304.0,19845,"[""588""]",0.0363895983337776,0.0721469681995232,491.89501762390137
21,index_20,1,1,26,26,1,139,2192,1582.0,608.0,2331,"[""26""]",0.0045128190221498,0.0084878786117086,42.92459750175476
22,index_21,1,1,63,63,1,140,19041,18604.0,435.0,19181,"[""63""]",0.0351269541603181,0.0697052496947852,477.4133982658386
23,index_22,1,1,8\sqrt{10},8\sqrt{10},1,135,8994,8478.0,514.0,9129,"[""8\\sqrt{10}""]",0.0168558522119733,0.0331957444334631,185.43744373321533
24,index_23,1,1,20,20,1,682,13905,13188.0,715.0,14587,"[""20""]",0.0277654638252322,0.0530201732457414,332.4647421836853
25,index_24,1,1,\sqrt{23}-2 \sqrt{3},\sqrt{23},0,151,23717,23297.0,418.0,23868,"[""\\sqrt{23}""]",0.043662068682745,0.0867391430730771,613.4788708686829
26,index_25,1,1,9\sqrt{15},9\sqrt{15},1,144,10798,9882.0,914.0,10942,"[""9\\sqrt{15}""]",0.020165982760148,0.0397651299343061,237.0693550109864
27,index_26,1,1,\frac{7}{18},\dfrac{7}{18},1,156,15129,14576.0,551.0,15285,"[""\\dfrac{7}{18}""]",0.0280779452090583,0.055578164060229,365.7770698070526
28,index_27,1,1,\sqrt{6},\sqrt{6},1,165,12674,11980.0,692.0,12839,"[""\\sqrt{6}""]",0.0236505162251108,0.0466833323643973,291.7011110782624
29,index_28,1,1,14+4\sqrt{37},,0,139,32768,,,32907,[],0.0600619150049415,0.1195860705772919,875.6834034919739
30,index_29,1,1,\sqrt{\frac{95}{24}},33,0,120,25783,25315.0,466.0,25903,"[""33""]",0.0473028432985661,0.0941224347421662,670.9444315433502
