iteration,question_id,correct_answer,final_answer,score,num_chains_generated,total_tokens_generated,window_size,individual_answers_str,correct_answer_in_chains,time_taken,max_kv_cache_usage
1,index_0,33,33,1,2,6946,2,"['33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '41', '33', '33', '33']",False,242.1934922218323,7.931953473311906
2,index_1,23,23,1,2,9033,2,"['23', '23', '823', '23', '23', '23', '23', '23', '23', '23', '4', '23', '23', '23', '23', '23']",False,242.1934922218323,7.931953473311906
3,index_2,116,116,1,2,4182,2,"['116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116']",False,242.1934922218323,7.931953473311906
4,index_3,809,809,1,2,7922,2,"['809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809']",False,242.1934922218323,7.931953473311906
5,index_4,197,254,0,16,232341,2,"['287', '254', '2075', '2026', '254', '287', '273', '35', '835', '35', '35', '254', '2503', '197', '118', '477']",False,1937.5479377746583,7.931953473311906
6,index_5,385,16,0,2,26078,2,"['16', '16', '12', '24', '24', '16', '24', '64', '16', '24', '16', '16', '16', '72', '36', '16']",False,242.1934922218323,7.931953473311906
7,index_6,371,139,0,16,242838,2,"['137', '17', '135', '139', '33', '35', '17', '139', '67', '163', '341', '139', '135', '131', '171', '3']",False,1937.5479377746583,7.931953473311906
8,index_7,601,601,1,2,29802,2,"['601', '601', '601', '601', '401', '601', '201', '601', '601', '201', '601', '601', '401', '601', '601', '601']",False,242.1934922218323,7.931953473311906
9,index_8,25,25,1,2,14189,2,"['25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25']",False,242.1934922218323,7.931953473311906
10,index_9,55,55,1,2,5709,2,"['55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55']",False,242.1934922218323,7.931953473311906
11,index_10,540,540,1,2,8563,2,"['540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540']",False,242.1934922218323,7.931953473311906
12,index_11,45,45,1,2,16840,2,"['45', '45', '45', '45', '45', '45', '45', '45', '45', '37', '45', '45', '45', '45', '45', '45']",False,242.1934922218323,7.931953473311906
13,index_12,204,204,1,2,5340,2,"['204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204']",False,242.1934922218323,7.931953473311906
14,index_13,699,699,1,2,17313,2,"['699', '699', '699', '699', '699', '699', '699', '699', '699', '629', '699', '699', '699', '699', '699', '699']",False,242.1934922218323,7.931953473311906
15,index_14,294,294,1,2,6976,2,"['294', '294', '294', '294', '294', '294', '294', '294', '294', '294', '294', '294', '294', '294', '294', '294']",False,242.1934922218323,7.931953473311906
16,index_15,110,110,1,4,32838,2,"['110', '134', '110', '110', '110', '110', '110', '155', '110', '110', '110', '110', '155', '155', '110', '110']",False,484.3869844436646,7.931953473311906
17,index_16,721,721,1,2,12997,2,"['721', '721', '721', '721', '721', '721', '721', '721', '721', '721', '55', '721', '721', '721', '721', '721']",False,242.1934922218323,7.931953473311906
18,index_17,315,1194,0,16,237259,2,"['105', '90', '128', '1194', '58', '1194', '12', '9', '117', '3', '216', '1194', '36', '540', '36', '15']",False,1937.5479377746583,7.931953473311906
19,index_18,468,468,1,2,13074,2,"['468', '468', '468', '468', '468', '468', '468', '429', '429', '468', '468', '468', '468', '468', '468', '468']",False,242.1934922218323,7.931953473311906
20,index_19,902,1922,0,16,226302,2,"['1021', '4653', '2', '1024', '190', '31424', '14528', '1922', '59048', '1024', '2', '1022', '52', '1922', '1922', '126']",False,1937.5479377746583,7.931953473311906
21,index_20,211,121,0,8,128109,2,"['61', '211', '61', '211', '211', '121', '121', '121', '122', '121', '109', '101', '211', '101', '211', '211']",False,968.7739688873291,7.931953473311906
22,index_21,80,80,1,2,18573,2,"['80', '80', '80', '80', '80', '80', '80', '80', '80', '80', '80', '80', '80', '80', '80', '80']",False,242.1934922218323,7.931953473311906
23,index_22,480,480,1,4,32767,2,"['480', '80', '480', '480', '480', '480', '480', '480', '480', '80', '480', '80', '480', '480', '480']",False,484.3869844436646,7.931953473311906
24,index_23,236,236,1,2,13917,2,"['236', '236', '236', '222', '236', '246', '236', '236', '236', '236', '236', '236', '201', '236', '246', '145']",False,242.1934922218323,7.931953473311906
25,index_24,73,73,1,2,10878,2,"['73', '73', '73', '73', '73', '73', '73', '73', '73', '73', '73', '134', '73', '73', '73', '73']",False,242.1934922218323,7.931953473311906
26,index_25,113,113,1,4,45944,2,"['113', '301', '113', '113', '113', '3268', '113', '113', '113', '113', '113', '113', '191', '113', '113', '3268']",False,484.3869844436646,7.931953473311906
27,index_26,127,7,0,2,31084,2,"['7', '7', '4', '7', '22', '8', '7', '47', '4', '13', '1', '7', '11', '7', '7']",False,242.1934922218323,7.931953473311906
28,index_27,104,104,1,2,10169,2,"['104', '104', '94', '104', '104', '944', '104', '104', '104', '47', '104', '104', '1022', '104', '104', '47']",False,242.1934922218323,7.931953473311906
29,index_28,104,107,0,10,144940,2,"['104', '25', '92', '107', '107', '104', '107', '104', '107', '107', '107', '104', '77', '291', '104', '107']",False,1210.9674611091614,7.931953473311906
30,index_29,321,321,1,2,9241,2,"['321', '321', '321', '321', '321', '321', '321', '321', '321', '321', '321', '321', '321', '321', '321', '321']",False,242.1934922218323,7.931953473311906
