iteration,question_id,correct_answer,final_answer,score,num_chains_generated,total_tokens_generated,window_size,individual_answers_str,correct_answer_in_chains
1,index_0,33,33,1,4,14273,4,"['33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33']",False
2,index_1,23,23,1,4,20681,4,"['23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '19', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '19', '23', '23', '23']",False
3,index_2,116,116,1,4,11826,4,"['116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116']",False
4,index_3,809,809,1,8,33476,4,"['810', '809', '404', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '808', '809', '809', '404', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809']",False
5,index_4,197,254,0,32,418864,4,"['197', '41287', '15625', '2025', '254', '139', '287', '254', '197', '287', '144', '287', '15625', '17', '4261', '287', '254', '273', '542', '287', '35', '254', '11', '254', '254', '290', '197', '197', '117', '35', '2026', '197']",False
6,index_5,385,16,0,32,384382,4,"['72', '24', '24', '36', '16', '16', '24', '64', '16', '24', '16', '24', '36', '16', '16', '16', '24', '24', '16', '12', '24', '24', '16', '24', '24', '36', '64', '16', '16', '16', '24', '16']",False
7,index_6,371,139,0,31,419939,4,"['139', '139', '9', '35', '355', '139', '145', '163', '17', '131', '69', '23', '263', '69', '139', '139', '17', '69', '131', '133', '35', '137', '385', '71', '139', '35', '471', '46', '363', '9', '37']",False
8,index_7,601,601,1,12,141659,4,"['601', '601', '7', '13', '601', '601', '12', '601', '601', '601', '601', '601', '601', '601', '1', '601', '6', '601', '601', '7', '601', '601', '601', '601', '601', '601', '601', '601', '601', '401', '601', '601']",False
9,index_8,25,25,1,4,26208,4,"['25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '24', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25']",False
10,index_9,55,55,1,4,14937,4,"['55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55']",False
