iteration,question_id,correct_answer,final_answer,score,num_chains_generated,total_tokens_generated,window_size,individual_answers_str,correct_answer_in_chains
1,index_0,33,33,1,1,3745,1,"['33', '33']",False
2,index_1,23,23,1,1,4019,1,"['23', '23']",False
3,index_2,116,116,1,1,2443,1,"['116', '116']",False
4,index_3,809,809,1,1,4756,1,"['809', '809']",False
5,index_4,197,205,0,1,18791,1,"['205', '1029']",False
6,index_5,385,24,0,1,13340,1,"['24', '16']",False
7,index_6,371,39,0,1,12546,1,"['39', '38']",False
8,index_7,601,601,1,1,9366,1,"['601', '401']",False
9,index_8,25,25,1,1,1522,1,"['25', '25']",False
10,index_9,55,55,1,1,3033,1,"['55', '55']",False
11,index_10,540,540,1,1,2777,1,"['540', '540']",False
12,index_11,45,45,1,1,8314,1,"['45', '45']",False
13,index_12,204,204,1,1,2017,1,"['204', '204']",False
14,index_13,699,629,0,1,12507,1,"['629', '699']",False
15,index_14,294,294,1,1,3955,1,"['294', '294']",False
16,index_15,110,134,0,1,12965,1,"['134', '134']",False
17,index_16,721,721,1,1,19029,1,"['721', '721']",False
18,index_17,315,28,0,1,14354,1,"['28', '144']",False
19,index_18,468,468,1,1,11017,1,"['468', '156']",False
20,index_19,902,1024,0,1,11601,1,"['1024', '25']",False
21,index_20,211,121,0,1,21771,1,"['121', '2311']",False
22,index_21,80,80,1,1,10540,1,"['80', '80']",False
23,index_22,480,960,0,1,12857,1,"['960', '480']",False
24,index_23,236,236,1,1,5508,1,"['236', '236']",False
25,index_24,73,73,1,1,5887,1,"['73', '73']",False
26,index_25,113,113,1,1,9326,1,"['113', '33']",False
27,index_26,127,11,0,1,17351,1,"['11', '26']",False
28,index_27,104,47,0,1,10799,1,"['47', '104']",False
29,index_28,104,104,1,1,11937,1,"['104', '104']",False
30,index_29,321,321,1,1,3518,1,"['321', '321']",False
