iteration,question_id,num_detected_t0.65,num_same_answer_t0.65,same_answer_perc_t0.65,num_detected_t0.70,num_same_answer_t0.70,same_answer_perc_t0.70,num_detected_t0.75,num_same_answer_t0.75,same_answer_perc_t0.75,num_detected_t0.80,num_same_answer_t0.80,same_answer_perc_t0.80,num_detected_t0.85,num_same_answer_t0.85,same_answer_perc_t0.85,num_detected_t0.90,num_same_answer_t0.90,same_answer_perc_t0.90,num_detected_t0.95,num_same_answer_t0.95,same_answer_perc_t0.95
1,index_0,17,15,88.24,16,14,87.50,16,14,87.50,16,14,87.50,16,14,87.50,14,12,85.71,3,3,100.00
2,index_1,61,45,73.77,57,43,75.44,52,38,73.08,46,34,73.91,37,28,75.68,22,18,81.82,3,3,100.00
3,index_2,44,44,100.00,43,43,100.00,40,40,100.00,35,35,100.00,27,27,100.00,10,10,100.00,5,5,100.00
4,index_3,96,96,100.00,94,94,100.00,91,91,100.00,87,87,100.00,80,80,100.00,64,64,100.00,17,17,100.00
5,index_4,117,7,5.98,117,7,5.98,117,7,5.98,116,7,6.03,111,7,6.31,90,6,6.67,20,1,5.00
6,index_5,111,30,27.03,110,30,27.27,109,30,27.52,106,29,27.36,91,24,26.37,60,16,26.67,14,3,21.43
7,index_6,110,5,4.55,110,5,4.55,105,5,4.76,96,5,5.21,75,4,5.33,40,2,5.00,9,0,0.00
8,index_7,105,59,56.19,105,59,56.19,103,58,56.31,97,52,53.61,85,43,50.59,50,20,40.00,9,6,66.67
9,index_8,59,59,100.00,58,58,100.00,48,48,100.00,41,41,100.00,31,31,100.00,17,17,100.00,3,3,100.00
10,index_9,71,71,100.00,71,71,100.00,71,71,100.00,68,68,100.00,60,60,100.00,33,33,100.00,5,5,100.00
11,index_10,38,38,100.00,38,38,100.00,36,36,100.00,29,29,100.00,22,22,100.00,18,18,100.00,3,3,100.00
12,index_11,76,66,86.84,74,64,86.49,67,59,88.06,63,56,88.89,54,47,87.04,26,25,96.15,4,4,100.00
13,index_12,51,51,100.00,49,49,100.00,47,47,100.00,45,45,100.00,43,43,100.00,37,37,100.00,11,11,100.00
14,index_13,99,88,88.89,99,88,88.89,98,87,88.78,95,84,88.42,86,75,87.21,49,44,89.80,5,5,100.00
15,index_14,72,72,100.00,72,72,100.00,70,70,100.00,69,69,100.00,59,59,100.00,32,32,100.00,6,6,100.00
16,index_15,90,53,58.89,88,51,57.95,85,49,57.65,82,48,58.54,59,36,61.02,26,17,65.38,4,3,75.00
17,index_16,98,86,87.76,95,84,88.42,88,77,87.50,79,68,86.08,57,49,85.96,36,31,86.11,3,2,66.67
18,index_17,118,4,3.39,118,4,3.39,116,3,2.59,116,3,2.59,110,3,2.73,91,2,2.20,28,2,7.14
19,index_18,101,79,78.22,101,79,78.22,97,77,79.38,88,70,79.55,75,59,78.67,45,33,73.33,7,5,71.43
20,index_19,114,5,4.39,114,5,4.39,114,5,4.39,114,5,4.39,109,4,3.67,87,3,3.45,7,0,0.00
21,index_20,108,23,21.30,106,23,21.70,101,23,22.77,91,22,24.18,66,17,25.76,28,6,21.43,6,2,33.33
22,index_21,119,119,100.00,118,118,100.00,118,118,100.00,118,118,100.00,116,116,100.00,101,101,100.00,19,19,100.00
23,index_22,102,57,55.88,99,56,56.57,97,55,56.70,94,53,56.38,78,45,57.69,59,37,62.71,14,11,78.57
24,index_23,113,52,46.02,112,51,45.54,111,51,45.95,108,51,47.22,100,46,46.00,72,33,45.83,13,6,46.15
25,index_24,92,78,84.78,91,77,84.62,87,73,83.91,86,73,84.88,71,62,87.32,35,31,88.57,0,0,
26,index_25,92,47,51.09,90,46,51.11,88,45,51.14,79,38,48.10,72,32,44.44,55,24,43.64,9,4,44.44
27,index_26,114,20,17.54,114,20,17.54,114,20,17.54,114,20,17.54,113,20,17.70,103,16,15.53,25,6,24.00
28,index_27,97,45,46.39,96,44,45.83,95,43,45.26,89,41,46.07,77,34,44.16,52,24,46.15,12,3,25.00
29,index_28,104,28,26.92,103,28,27.18,99,26,26.26,97,26,26.80,90,25,27.78,53,18,33.96,11,4,36.36
30,index_29,66,66,100.00,65,65,100.00,63,63,100.00,57,57,100.00,53,53,100.00,36,36,100.00,14,14,100.00
