iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,10,4,0,0.7,33,33,1,189,22356,22545,"[""33"", ""33"", ""33"", ""33""]",22,0.04553576935980583,0.0639617425091534,64.24838209152222
2,index_1,10,1,0,0.7,23,23,1,221,24641,24862,"[""23""]",29,0.03333207628512562,0.0582828962116117,191.0570788383484
3,index_2,10,2,0,0.7,116,116,1,167,14111,14278,"[""116"", ""116""]",16,0.027293635775265015,0.0514085033251139,41.22716522216797
4,index_3,10,1,0,0.7,809,809,1,140,10764,10904,"[""809""]",7,0.015487294024626203,0.0321303145781962,90.34697818756104
5,index_4,10,1,0,0.7,197,255,0,136,24044,24180,"[""255""]",9,0.045221443316694844,0.088545169244564,408.0748369693756
6,index_5,10,1,0,0.7,385,16,0,123,26280,26403,"[""16""]",21,0.036038557809178945,0.0629903609056264,270.2341470718384
7,index_6,10,1,0,0.7,371,131,0,118,24464,24582,"[""131""]",11,0.04457580410071813,0.0870507360083688,399.56740951538086
8,index_7,10,1,0,0.7,601,601,1,114,32602,32716,"[""601""]",20,0.046490298383757504,0.0848838078158857,389.03390645980835
9,index_8,10,2,0,0.7,25,25,1,92,19079,19171,"[""25"", ""25""]",17,0.02364577343621631,0.0470746469401479,118.97877764701843
10,index_9,10,1,0,0.7,55,55,1,103,10274,10377,"[""55""]",16,0.015194530112938585,0.0292161697676156,46.761908769607544
11,index_10,10,1,0,0.7,540,540,1,91,22318,22409,"[""540""]",25,0.030554907402799203,0.060972876036763,93.34231686592102
12,index_11,10,1,0,0.7,45,45,1,181,18714,18895,"[""45""]",24,0.02543354227289112,0.0448329970858552,113.70821022987366
13,index_12,10,3,0,0.7,204,204,1,176,15880,16056,"[""204"", ""204"", ""204""]",19,0.027156550998843072,0.0470746469401479,57.52081274986267
14,index_13,10,1,0,0.7,699,699,1,113,29083,29196,"[""699""]",25,0.03516536596365699,0.0820443846671149,163.08434343338013
15,index_14,10,1,0,0.7,294,294,1,96,8341,8437,"[""294""]",9,0.011492855076783966,0.0298886647239035,40.06776452064514
16,index_15,10,1,0,0.7,110,110,1,107,23808,23915,"[""110""]",33,0.03263671714122884,0.0454307703803332,172.07551336288452
17,index_16,10,1,0,0.7,721,721,1,140,23419,23559,"[""721""]",17,0.03542023660020599,0.0652320107599192,282.7147731781006
18,index_17,10,1,0,0.7,315,90,0,95,19451,19546,"[""90""]",9,0.03242324494638653,0.0622431442875289,266.24964427948
19,index_18,10,1,0,0.7,468,468,1,95,12971,13066,"[""468""]",9,0.01803679694962743,0.0311589329746693,111.26741337776184
20,index_19,10,1,0,0.7,902,1922,0,142,17522,17664,"[""1922""]",8,0.030693289521059135,0.0589553911678996,258.7904841899872
21,index_20,10,1,0,0.7,211,211,1,165,31676,31841,"[""211""]",21,0.04926318886790287,0.0925054173204812,454.3985149860382
22,index_21,10,1,0,0.7,80,40,0,104,22356,22460,"[""40""]",8,0.04051242632684427,0.0791302398565344,376.1961405277252
23,index_22,10,1,0,0.7,480,80,0,126,14945,15071,"[""80""]",14,0.02315658244827134,0.0422177389225136,167.95589017868042
24,index_23,10,1,0,0.7,236,236,1,113,15347,15460,"[""236""]",12,0.021062201626787437,0.0373608309048792,139.19291758537292
25,index_24,10,1,0,0.7,73,73,1,154,12353,12507,"[""73""]",13,0.017502894759769183,0.0316819846073376,105.49731135368347
26,index_25,10,1,0,0.7,113,113,1,397,21020,21417,"[""113""]",12,0.052177153515586695,0.1200777105282822,876.0145401954651
27,index_26,10,1,0,0.7,127,775,0,203,25431,25634,"[""775""]",8,0.04488016480335205,0.0865276843757004,396.9845199584961
28,index_27,10,1,0,0.7,104,104,1,194,21180,21374,"[""104""]",15,0.03318604737218773,0.0611223193603825,262.10986733436584
29,index_28,10,1,0,0.7,104,104,1,119,12397,12516,"[""104""]",9,0.017042445594021988,0.0304864380183815,100.96820068359375
30,index_29,10,1,0,0.7,321,321,1,104,13475,13579,"[""321""]",12,0.017718893661139348,0.0373608309048792,100.23411059379578
