iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,8,"\left( 3, \frac{\pi}{2} \right)","(3, \frac{\pi}{2})",1,145,7383,5727.0,1640.0,7528,"[""(3, \\frac{\\pi}{2})"", ""(3, \\frac{\\pi}{2})"", ""(3, \\frac{\\pi}{2})"", ""(3, \\frac{\\pi}{2})"", ""(3, \\frac{\\pi}{2})"", ""(3, \\frac{\\pi}{2})"", ""(3, \\frac{\\pi}{2})"", ""(3, \\frac{\\pi}{2})""]",0.015679144799544725,0.0279053543398639,22.651520013809204
2,index_1,8,8,p - q,p - q,1,208,38657,35040.0,3601.0,38865,"[""p - q"", ""p - q"", ""p - q"", ""p - q"", ""p - q"", ""p - q"", ""p - q"", ""p - q""]",0.05802731838346582,0.0970292424859019,142.52127885818481
3,index_2,8,8,\frac{14}{3},\dfrac{14}{3},1,144,14103,10887.0,3200.0,14247,"[""\\dfrac{14}{3}"", ""\\dfrac{14}{3}"", ""\\dfrac{14}{3}"", ""\\dfrac{14}{3}"", ""\\dfrac{14}{3}"", ""\\dfrac{14}{3}"", ""\\dfrac{14}{3}"", ""\\dfrac{14}{3}""]",0.02334873679562937,0.0437183884657869,48.58432984352112
4,index_3,8,8,9,9,1,111,7690,5544.0,2130.0,7801,"[""9"", ""9"", ""9"", ""9"", ""9"", ""9"", ""9"", ""9""]",0.012058150718921723,0.0244171850473809,29.74154043197632
5,index_4,8,8,\text{Evelyn},Evelyn,1,436,31749,29182.0,2551.0,32185,"[""Evelyn"", ""Evelyn"", ""Evelyn"", ""Evelyn"", ""Evelyn"", ""Evelyn"", ""Evelyn"", ""Evelyn""]",0.04601917898220942,0.0948200686006627,136.2432987689972
6,index_5,8,8,42,42,1,138,8536,7068.0,1452.0,8674,"[""42"", ""42"", ""42"", ""42"", ""42"", ""42"", ""42"", ""42""]",0.015319097173961791,0.026858903552119,29.96959686279297
7,index_6,8,8,27,27,1,116,21493,18122.0,3355.0,21609,"[""27"", ""27"", ""27"", ""27"", ""27"", ""27"", ""27"", ""27""]",0.03827324620243283,0.073019010522644,63.74725532531738
8,index_7,8,8,90^\circ,90,1,163,21660,18171.0,3473.0,21823,"[""90"", ""90"", ""90"", ""90"", ""90"", ""90"", ""90"", ""90""]",0.033149141867434694,0.0675542119644206,77.71693086624146
9,index_8,8,8,3\sqrt{13},3\sqrt{13},1,131,8773,6733.0,2024.0,8904,"[""3\\sqrt{13}"", ""3\\sqrt{13}"", ""3\\sqrt{13}"", ""3\\sqrt{13}"", ""3\\sqrt{13}"", ""3\\sqrt{13}"", ""3\\sqrt{13}"", ""3\\sqrt{13}""]",0.016168917094373545,0.0293006220568571,28.456865549087524
10,index_9,8,8,4,4,1,246,123089,120234.0,2839.0,123335,"[""4"", ""4"", ""9"", ""4"", ""4"", ""4"", ""4"", ""4""]",0.13719631445940567,0.3250392419045405,850.012106180191
11,index_10,8,8,2220,2220,1,122,34911,31994.0,2901.0,35033,"[""2220"", ""2220"", ""2220"", ""2220"", ""2220"", ""2220"", ""2220"", ""2220""]",0.05812482935289998,0.1139468635544445,109.23329758644104
12,index_11,8,8,\frac{3}{56},\dfrac{3}{56},1,156,60326,52362.0,7948.0,60482,"[""\\dfrac{1}{9}"", ""\\dfrac{3}{56}"", ""\\dfrac{3}{56}"", ""\\dfrac{3}{56}"", ""\\dfrac{3}{56}"", ""\\dfrac{3}{56}"", ""\\dfrac{3}{56}"", ""\\dfrac{3}{56}""]",0.0851367434544437,0.1342945177605953,281.96782636642456
13,index_12,8,8,284,284,1,168,19467,16935.0,2516.0,19635,"[""284"", ""284"", ""284"", ""284"", ""284"", ""284"", ""284"", ""284""]",0.03163000283032243,0.0655775826986803,66.46633005142212
14,index_13,8,8,5,5,1,272,5823,4372.0,1435.0,6095,"[""5"", ""5"", ""5"", ""5"", ""5"", ""5"", ""5"", ""5""]",0.011427687583471758,0.0241846404278821,25.65742063522339
15,index_14,8,8,\sqrt{51},\sqrt{51},1,210,14849,12218.0,2615.0,15059,"[""\\sqrt{51}"", ""\\sqrt{51}"", ""\\sqrt{51}"", ""\\sqrt{51}"", ""\\sqrt{51}"", ""\\sqrt{51}"", ""\\sqrt{51}"", ""\\sqrt{51}""]",0.028613541406621323,0.0511598162897506,45.81612205505371
16,index_15,8,8,6 - 5i,6 - 5i,1,276,31487,27501.0,3970.0,31763,"[""6 - 5i"", ""6 - 5i"", ""6 - 5i"", ""6-5i"", ""6 - 5i"", ""6 - 5i"", ""6-5i"", ""6 - 5i""]",0.05811285618297776,0.1023196325795011,96.38340711593628
17,index_16,8,8,-50,-50,1,121,15986,12998.0,2972.0,16107,"[""-50"", ""-50"", ""-50"", ""-50"", ""-50"", ""-50"", ""-50"", ""-50""]",0.028339316925974373,0.0488925062496367,49.22236609458923
18,index_17,8,8,\pi,\pi,1,308,39592,35974.0,3601.0,39900,"[""\\pi"", ""\\pi"", ""\\pi"", ""\\pi"", ""\\pi"", ""\\pi"", ""\\pi"", ""\\pi""]",0.05157870323887992,0.1159816289750595,184.33665013313293
19,index_18,8,8,28,56,0,247,89735,86639.0,3080.0,89982,"[""56"", ""56"", ""68"", ""68"", ""56"", ""56"", ""68"", ""56""]",0.1402215118466104,0.2548689029707575,375.2667281627655
20,index_19,8,8,3,3,1,145,30157,26444.0,3697.0,30302,"[""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3""]",0.05090746618468087,0.0930178477995465,95.89374256134033
21,index_20,8,8,6+9i,6 + 9i,1,110,5303,4201.0,1086.0,5413,"[""6 + 9i"", ""6 + 9i"", ""6 + 9i"", ""6 + 9i"", ""6 + 9i"", ""6 + 9i"", ""6 + 9i"", ""6 + 9i""]",0.009669874763817853,0.0181384803209115,19.019979238510132
22,index_21,8,8,13535,13535,1,126,43279,39395.0,3868.0,43405,"[""13535"", ""13535"", ""13535"", ""13535"", ""13535"", ""13535"", ""13535"", ""13535""]",0.05721917840253387,0.1305156676937388,174.14927792549133
23,index_22,8,8,5,5,1,225,13013,9881.0,3116.0,13238,"[""5"", ""5"", ""5"", ""5"", ""5"", ""5"", ""5"", ""5""]",0.027190336943272244,0.0502296378117551,38.516335010528564
24,index_23,8,8,x=5,5,1,126,15932,12568.0,3348.0,16058,"[""5"", ""5"", ""5"", ""5"", ""5"", ""5"", ""5"", ""5""]",0.027494130419765787,0.0492994593337596,50.89967107772827
25,index_24,8,8,10,10,1,200,20697,15972.0,4709.0,20897,"[""10"", ""10"", ""10"", ""10"", ""10"", ""10"", ""10"", ""10""]",0.03894448534702122,0.0610429626184524,62.71375107765198
26,index_25,8,8,"1,-2","-2, 1",0,176,31570,27295.0,4259.0,31746,"[""-2, 1"", ""-2, 1"", ""-2, 1"", ""-2, 1"", ""-2, 1"", ""-2, 1"", ""-2, 1"", ""-2, 1""]",0.04419189892694603,0.0911574908435556,124.2607011795044
27,index_26,8,8,144,144,1,149,98150,95103.0,3031.0,98299,"[""144"", ""144"", ""144"", ""144"", ""144"", ""144"", ""144"", ""144""]",0.1391337211158439,0.2820184872972502,461.5299320220947
28,index_27,8,8,78,78,1,178,6516,4814.0,1686.0,6694,"[""78"", ""78"", ""78"", ""78"", ""78"", ""78"", ""78"", ""78""]",0.013908489119078287,0.0265100866228708,21.30557656288147
29,index_28,8,8,-2 + 7i,-2 + 7i,1,132,9413,7168.0,2229.0,9545,"[""-2 + 7i"", ""-2 + 7i"", ""-2 + 7i"", ""-2 + 7i"", ""-2 + 7i"", ""-2 + 7i"", ""-2 + 7i"", ""-2 + 7i""]",0.01634303957393985,0.030347072844602,32.58796525001526
30,index_29,8,8,225,225,1,175,8814,6606.0,2192.0,8989,"[""225"", ""225"", ""225"", ""225"", ""225"", ""225"", ""225"", ""225""]",0.018856524171826414,0.031160979012848,26.679508209228516
31,index_30,8,8,52_8,52_8,1,121,22816,20502.0,2298.0,22937,"[""52_8"", ""52_8"", ""52"", ""52_8"", ""52_8"", ""52_8"", ""52_8"", ""52_8""]",0.026738255059282855,0.0581361548747165,112.86090040206909
32,index_31,8,8,11\sqrt2,11\sqrt{2},1,107,6318,4284.0,2018.0,6425,"[""11\\sqrt{2}"", ""11\\sqrt{2}"", ""11\\sqrt{2}"", ""11\\sqrt{2}"", ""11\\sqrt{2}"", ""11\\sqrt{2}"", ""11\\sqrt{2}"", ""11\\sqrt{2}""]",0.01266793065919518,0.0232544619498866,19.454768896102905
33,index_32,8,8,720,720,1,148,81955,79958.0,1981.0,82103,"[""720"", ""720"", ""720"", ""720"", ""720"", ""720"", ""720"", ""480""]",0.09141376388797512,0.1858031509795942,594.7989039421082
34,index_33,8,8,\frac{243}{625},\dfrac{243}{625},1,145,22629,18906.0,3707.0,22774,"[""\\dfrac{243}{625}"", ""\\dfrac{243}{625}"", ""\\dfrac{243}{625}"", ""\\dfrac{243}{625}"", ""\\dfrac{243}{625}"", ""\\dfrac{243}{625}"", ""\\dfrac{243}{625}"", ""\\dfrac{243}{625}""]",0.03758320580053019,0.074879367478635,73.58279633522034
35,index_34,8,8,-125,-125,1,131,16583,13324.0,3243.0,16714,"[""-125"", ""-125"", ""-125"", ""-125"", ""-125"", ""-125"", ""-125"", ""-125""]",0.025898330237964985,0.0439509330852857,60.53722429275513
36,index_35,8,8,3,3,1,138,17469,15112.0,2341.0,17607,"[""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3""]",0.024452655899550382,0.0545317132724841,69.75947690010071
37,index_36,8,8,"3, 5, 7","3, 5, 7",1,127,23466,19724.0,3726.0,23593,"[""3, 5, 7"", ""3, 5, 7"", ""3, 5, 7"", ""3, 5, 7"", ""3, 5, 7"", ""3, 5, 7"", ""3, 5, 7"", ""3, 5, 7""]",0.04162601540079589,0.0767397244346258,70.39472794532776
38,index_37,8,8,72,72,1,131,7356,5993.0,1347.0,7487,"[""72"", ""72"", ""72"", ""72"", ""72"", ""72"", ""72"", ""72""]",0.014054589949146268,0.0227893727108888,24.271523237228394
