iteration,question_id,n_chains_max,window_size,n_chains_generated,stopped_early,correct_answer,final_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,total_reasoning_tokens,total_non_reasoning_tokens,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec,individual_answers_str
1,index_0,8,2,2,True,33,33,1,194,9916,10110,,,0.018626638999522178,0.0363212063188128,106.69899702072144,"[""33"", ""33""]"
2,index_1,8,2,2,True,23,23,1,226,19563,19789,,,0.03374810794541641,0.0642053614169458,232.32840085029602,"[""23"", ""23""]"
3,index_2,8,2,2,True,116,116,1,172,11654,11826,,,0.020926284283303256,0.040390138822403,130.7385630607605,"[""116"", ""116""]"
4,index_3,8,2,2,True,809,809,1,145,12853,12998,,,0.023284353702246196,0.0455361416945907,141.43233633041382,"[""809"", ""809""]"
5,index_4,8,2,8,False,197,8603,0,141,200861,201002,,,0.09051099273968963,0.2064983245572044,2333.545761346817,"[""4427"", ""8603"", ""2033"", ""541"", ""8603"", ""197"", ""541"", ""22859""]"
6,index_5,8,2,4,True,385,24,0,128,75946,76074,,,0.06624098970959505,0.1315222594542843,897.6415009498596,"[""16"", ""24"", ""24"", ""24""]"
7,index_6,8,2,8,True,371,419,0,123,198304,198427,,,0.08724784118623989,0.1939923408329343,2338.500020980835,"[""381"", ""403"", ""209"", ""371"", ""419"", ""411"", ""419"", ""419""]"
8,index_7,8,2,4,True,601,601,1,119,73103,73222,,,0.05893602419046561,0.1024413595021541,983.0462825298309,"[""601"", ""61"", ""601"", ""601""]"
9,index_8,8,2,2,True,25,25,1,97,13684,13781,,,0.022273208676450877,0.0393130684538056,173.6483175754547,"[""25"", ""25""]"
10,index_9,8,2,2,True,55,55,1,108,10032,10140,,,0.01770507568385477,0.0341670655816179,112.8878014087677,"[""55"", ""55""]"
11,index_10,8,2,2,True,540,540,1,96,12765,12861,,,0.022587612871826996,0.0439803733843944,143.44096112251282,"[""540"", ""540""]"
12,index_11,8,2,2,True,45,45,1,186,13384,13570,,,0.023669973879756733,0.0454763044518908,153.41304540634155,"[""45"", ""45""]"
13,index_12,8,2,2,True,204,204,1,181,7295,7476,,,0.013361563407821114,0.0254906653901387,81.4318790435791,"[""204"", ""204""]"
14,index_13,8,2,2,True,699,699,1,118,30570,30688,,,0.04794295913654931,0.0794040210627093,445.8505563735962,"[""699"", ""699""]"
15,index_14,8,2,2,True,294,294,1,101,13186,13287,,,0.023270460080136796,0.0452967927237912,148.81792187690735,"[""294"", ""294""]"
16,index_15,8,2,6,True,110,110,1,112,71660,71772,,,0.039057396292197406,0.0784466251795117,956.4680864810944,"[""134"", ""110"", ""134"", ""110"", ""110"", ""110""]"
17,index_16,8,2,2,True,721,721,1,145,14767,14912,,,0.026818911330529764,0.0526567735758736,162.79174995422363,"[""721"", ""721""]"
18,index_17,8,2,2,True,315,15,0,100,57855,57955,,,0.09766967493022105,0.1881881282910483,718.9460413455963,"[""15""]"
19,index_18,8,2,2,True,468,468,1,100,13812,13912,,,0.023770854005615533,0.0455361416945907,160.30383586883545,"[""468"", ""468""]"
20,index_19,8,2,8,False,902,1024,0,147,165522,165669,,,0.07027834030121367,0.1371469602680708,2042.282746553421,"[""1022"", ""14526"", ""1024"", ""968"", ""2"", ""14528"", ""1024"", ""1922""]"
21,index_20,8,2,4,True,211,211,1,170,111371,111541,,,0.10371778410154231,0.2458712302537099,1287.5945582389832,"[""211"", ""211""]"
22,index_21,8,2,4,True,80,80,1,109,84443,84552,,,0.07633189450656383,0.1682024892292962,984.193690776825,"[""80"", ""96"", ""80"", ""80""]"
23,index_22,8,2,2,True,480,480,1,131,22217,22348,,,0.03600237367409793,0.0636069889899473,289.4399561882019,"[""480"", ""480""]"
24,index_23,8,2,4,True,236,236,1,118,55352,55470,,,0.04902314301965549,0.0922690282431785,748.9265460968018,"[""236"", ""232"", ""236"", ""236""]"
25,index_24,8,2,2,True,73,73,1,159,9184,9343,,,0.015213839021562979,0.0257300143609382,117.88046455383301,"[""73"", ""73""]"
26,index_25,8,2,2,True,113,113,1,402,24375,24777,,,0.047166452636283135,0.0927477261847774,260.6027717590332,"[""113"", ""113""]"
27,index_26,8,2,2,True,127,27,0,208,61283,61491,,,0.108601801671275,0.2142771661081857,726.8722786903381,"[""27""]"
28,index_27,8,2,2,True,104,104,1,199,19194,19393,,,0.03126616199470933,0.0540330301579703,252.65821480751038,"[""104"", ""104""]"
29,index_28,8,2,2,True,104,104,1,124,21208,21332,,,0.0374411038301498,0.0732407850646241,242.58228063583374,"[""104"", ""104""]"
30,index_29,8,2,2,True,321,321,1,109,18044,18153,,,0.033296452023762746,0.0658808042125418,195.11844968795776,"[""321"", ""321""]"
