iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,64,64,0,0.98,fixed,33,33,1,189,210368,210557,"[""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""89"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""53"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""53"", ""33"", ""33"", ""33"", ""33"", ""37"", ""33"", ""33"", ""33"", ""33"", ""33""]",59,0.3209471288955367,0.7582754240454308,141.316477060318
2,index_1,64,33,0,0.98,fixed,23,23,1,221,367166,367387,"[""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""19"", ""23"", ""23"", ""23"", ""23""]",100,0.2915402699292175,0.9999252783381902,609.5791137218475
3,index_2,64,64,0,0.98,fixed,116,116,1,167,166457,166624,"[""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116""]",68,0.3134319311540707,0.631248598968841,94.5406129360199
4,index_3,64,37,0,0.98,fixed,809,809,1,140,260751,260891,"[""809"", ""809"", ""809"", ""809"", ""809"", ""404"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809""]",83,0.5118580743389286,0.9999252783381902,153.57758474349976
5,index_4,64,1,0,0.98,fixed,197,273,0,136,225685,225821,"[""273""]",58,0.137354449495516,0.923858626615856,475.8376889228821
6,index_5,64,23,0,0.98,fixed,385,16,0,123,587678,587801,"[""48"", ""24"", ""24"", ""16"", ""16"", ""16"", ""12"", ""16"", ""24"", ""72"", ""16"", ""12"", ""12"", ""24"", ""16"", ""16"", ""12"", ""24"", ""16"", ""16"", ""24"", ""16"", ""16""]",100,0.6201584712947656,0.9998505566763805,739.261479139328
7,index_6,64,1,0,0.98,fixed,371,39,0,118,258069,258187,"[""39""]",71,0.2240455360528952,0.9998505566763805,315.38610005378723
8,index_7,64,64,0,0.98,fixed,601,601,1,114,826469,826583,"[""601"", ""7"", ""601"", ""601"", ""401"", ""3"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""205"", ""13"", ""601"", ""7"", ""7"", ""601"", ""13"", ""601"", ""601"", ""601"", ""301"", ""403"", ""601"", ""13"", ""601"", ""19"", ""603"", ""7"", ""7"", ""601"", ""601"", ""601"", ""601"", ""607"", ""601"", ""401"", ""601"", ""7"", ""601"", ""401"", ""601"", ""601"", ""601"", ""403"", ""7"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""25"", ""7"", ""84"", ""13"", ""13"", ""84"", ""601"", ""13"", ""401"", ""601"", ""13""]",100,0.6986867507081863,1.0,1300.4747171401978
9,index_8,64,57,0,0.98,fixed,25,25,1,92,407640,407732,"[""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25""]",100,0.5586669543476909,0.9999252783381902,388.3323502540589
10,index_9,64,36,0,0.98,fixed,55,55,1,103,209718,209821,"[""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55""]",79,0.3587904357551477,0.7497571545991183,126.36394166946413
