iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
9,index_8,8,1,0,0.75,A,C,0,262,11509,11771,"[""C""]",12,0.017974555973030267,0.0329522528581035,94.07305812835693
11,index_10,8,2,0,0.75,A,A,1,399,9588,9987,"[""A"", ""A""]",11,0.017925886835749274,0.0421430172607039,54.48554849624634
12,index_11,8,2,0,0.75,D,D,1,174,14910,15084,"[""D"", ""D""]",20,0.0234802845695789,0.035567511021445,108.04529142379761
13,index_12,8,1,0,0.75,A,A,1,340,10133,10473,"[""A""]",6,0.019208756263228308,0.0342972427706792,117.48766255378723
15,index_14,8,1,0,0.75,C,C,1,302,8776,9078,"[""C""]",6,0.015814699824650925,0.0268997982515131,91.40005278587341
17,index_16,8,2,0,0.75,C,C,1,158,6849,7007,"[""C"", ""C""]",10,0.01268241702832374,0.0230142718374056,32.44994807243347
18,index_17,8,1,0,0.75,B,A,0,245,11490,11735,"[""A""]",9,0.01890252960466886,0.032503922887245,112.4903917312622
19,index_18,8,1,0,0.75,A,B,0,543,16288,16831,"[""B""]",10,0.03201597706793319,0.0584323395352313,231.95947289466858
26,index_25,8,1,0,0.75,D,A,0,372,9101,9473,"[""A""]",6,0.01679644394150501,0.030336994694762,93.8227436542511
28,index_27,8,1,0,0.75,A,A,1,327,13981,14308,"[""A""]",9,0.024222965932838545,0.0429649555406111,157.39074802398682
32,index_31,8,1,0,0.75,C,C,1,156,14873,15029,"[""C""]",10,0.026451016790250834,0.0502129567361577,197.81244778633118
34,index_33,8,1,0,0.75,A,C,0,472,12966,13438,"[""C""]",9,0.023777172570394113,0.0407233056863184,145.68927550315857
39,index_38,8,1,0,0.75,B,B,1,243,5793,6036,"[""B""]",7,0.010170835994642273,0.0227153851901665,41.384366512298584
41,index_40,8,1,0,0.75,A,A,1,147,5580,5727,"[""A""]",7,0.00903293339427283,0.0197265187177763,46.27228760719299
46,index_45,8,1,0,0.75,C,D,0,98,10564,10662,"[""D""]",7,0.017306609710628515,0.0319808712545767,114.98488020896912
53,index_52,8,1,0,0.75,D,B,0,231,14190,14421,"[""B""]",11,0.02502719012449287,0.0461779869984309,178.59217762947083
57,index_56,8,1,0,0.75,D,C,0,191,19885,20076,"[""C""]",14,0.03532391734631381,0.066875887319734,286.9524164199829
70,index_69,8,1,0,0.75,D,D,1,165,12221,12386,"[""D""]",9,0.019657446221244292,0.0350444593887767,125.69503974914551
73,index_72,8,3,0,0.75,C,C,1,187,8205,8392,"[""C"", ""C"", ""C""]",11,0.016757300880184175,0.0255548083389374,36.36074876785278
75,index_74,8,1,0,0.75,B,B,1,639,9469,10108,"[""B""]",13,0.020665749081172004,0.0430396772024209,58.67228412628174
76,index_75,8,1,0,0.75,D,C,0,221,10894,11115,"[""C""]",8,0.016745302646723473,0.035268624374206,92.19207501411438
79,index_78,8,1,0,0.75,A,A,1,387,20733,21120,"[""A""]",16,0.03665639889632317,0.0669506089815437,283.3977108001709
83,index_82,8,1,0,0.75,A,A,1,193,12173,12366,"[""A""]",14,0.018297934100741337,0.0298139430620937,102.60325026512146
84,index_83,8,6,0,0.75,D,D,1,128,8215,8343,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",7,0.014173796438600358,0.0310842113128595,33.29960894584656
86,index_85,8,1,0,0.75,A,D,0,335,10868,11203,"[""D""]",10,0.019249045834343906,0.0325786445490547,113.25885581970215
89,index_88,8,1,0,0.75,B,A,0,257,14314,14571,"[""A""]",12,0.025449895563926732,0.0467010386310992,180.41446805000305
94,index_93,8,1,0,0.75,D,B,0,198,15999,16197,"[""B""]",15,0.025536761523631053,0.0454307703803332,173.46446323394775
102,index_101,8,1,0,0.75,D,D,1,439,9187,9626,"[""D""]",12,0.01748869428271163,0.0372113875812598,55.28351354598999
