iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,2,0,0.1,fixed,33,33,1,189,15475,15664,"[""33"", ""33""]",21,0.025834125937150062,0.0439363371441381,69.15953779220581
2,index_1,8,1,0,0.1,fixed,23,23,1,221,14130,14351,"[""23""]",14,0.021605888094969935,0.0359411193304939,128.4590301513672
3,index_2,8,1,0,0.1,fixed,116,116,1,167,9562,9729,"[""116""]",14,0.015548044355670605,0.0316819846073376,46.78589844703674
4,index_3,8,1,0,0.1,fixed,809,809,1,140,7573,7713,"[""809""]",9,0.011459196827916735,0.0251064783680788,59.57105302810669
5,index_4,8,1,0,0.1,fixed,197,545,0,136,19341,19477,"[""545""]",7,0.03687162704418469,0.0719569603227975,318.40736293792725
6,index_5,8,1,0,0.1,fixed,385,16,0,123,20984,21107,"[""16""]",21,0.029540780025220533,0.0481954718672943,191.1151099205017
7,index_6,8,1,0,0.1,fixed,371,133,0,118,24814,24932,"[""133""]",7,0.04934573806727348,0.0972876036763057,448.3715310096741
8,index_7,8,1,0,0.1,fixed,601,601,1,114,23238,23352,"[""601""]",20,0.034769080046686475,0.0624673092729581,267.1028537750244
9,index_8,8,1,0,0.1,fixed,25,25,1,92,13204,13296,"[""25""]",12,0.01861779947133909,0.031233654636479,113.05621218681335
10,index_9,8,1,0,0.1,fixed,55,55,1,103,6327,6430,"[""55""]",8,0.009282915680574528,0.0203990136740641,46.695388317108154
11,index_10,8,2,0,0.1,fixed,540,540,1,91,16033,16124,"[""540"", ""540""]",21,0.023411033337437718,0.0413210789807965,75.80307030677795
12,index_11,8,1,0,0.1,fixed,45,45,1,181,27422,27603,"[""45""]",16,0.04734387489543543,0.090413210789808,412.6984791755676
13,index_12,8,1,0,0.1,fixed,204,204,1,176,9403,9579,"[""204""]",17,0.014973497339768408,0.0225659418665471,65.16015577316284
14,index_13,8,1,0,0.1,fixed,699,699,1,113,19502,19615,"[""699""]",24,0.02724467822540667,0.0528282148994994,103.0099847316742
15,index_14,8,1,0,0.1,fixed,294,294,1,96,9586,9682,"[""294""]",7,0.014047206817919784,0.0261525816334154,84.3282527923584
16,index_15,8,1,0,0.1,fixed,110,155,0,107,24256,24363,"[""155""]",21,0.03947683384120405,0.0741238885152806,327.5503635406494
17,index_16,8,1,0,0.1,fixed,721,721,1,140,16554,16694,"[""721""]",13,0.02793198475904646,0.0524546065904505,221.10200095176697
18,index_17,8,1,0,0.1,fixed,315,12,0,95,15664,15759,"[""12""]",9,0.02762692626622748,0.0532018232085481,226.77177667617798
19,index_18,8,1,0,0.1,fixed,468,468,1,95,9786,9881,"[""468""]",10,0.014950389416682247,0.026302024957035,94.85084366798401
20,index_19,8,1,0,0.1,fixed,902,1023,0,142,14871,15013,"[""1023""]",9,0.026654504497239648,0.0509601733542554,210.62587642669678
21,index_20,8,1,0,0.1,fixed,211,211,1,165,31655,31820,"[""211""]",13,0.05873203211246763,0.1146977508779795,583.3235590457916
22,index_21,8,1,0,0.1,fixed,80,80,1,104,13774,13878,"[""80""]",7,0.024263545738521682,0.0464768736456698,185.45419239997864
23,index_22,8,1,0,0.1,fixed,480,480,1,126,23718,23844,"[""480""]",11,0.04682222858943568,0.0920570873496227,422.0795965194702
24,index_23,8,1,0,0.1,fixed,236,220,0,113,11941,12054,"[""220""]",12,0.018062154322504395,0.0316072629455279,113.57052087783813
25,index_24,8,1,0,0.1,fixed,73,73,1,154,8156,8310,"[""73""]",8,0.013327717202381385,0.0230142718374056,80.74459457397461
26,index_25,8,1,0,0.1,fixed,113,113,1,397,13220,13617,"[""113""]",11,0.02356213231386331,0.0408727490099379,147.14822554588318
27,index_26,8,1,0,0.1,fixed,127,2,0,203,24920,25123,"[""2""]",9,0.04949739481213164,0.0969139953672569,438.8906786441803
28,index_27,8,1,0,0.1,fixed,104,104,1,194,12053,12247,"[""104""]",11,0.018999959278671034,0.0327280878726743,115.86231541633606
29,index_28,8,1,0,0.1,fixed,104,104,1,119,15311,15430,"[""104""]",11,0.025237665873653337,0.0472240902637675,182.97638320922852
30,index_29,8,1,0,0.1,fixed,321,321,1,104,11142,11246,"[""321""]",11,0.016583521722681134,0.0285436748113278,102.3196063041687
