iteration,question_id,n_chains_max,window_size,n_chains_generated,stopped_early,correct_answer,final_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,total_reasoning_tokens,total_non_reasoning_tokens,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec,individual_answers_str
1,aqua_rat_test_0,64,8,8,True,A,A,1,173,20173,20346,,,0.0384198141725051,0.0757229832572298,59.675209522247314,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]"
2,aqua_rat_test_1,64,8,8,True,E,E,1,153,18623,18776,,,0.0289570732842842,0.0641552511415525,70.39530849456787,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]"
3,aqua_rat_test_2,64,8,8,True,A,A,1,95,18527,18622,,,0.0397502484530985,0.0617199391171994,49.038493394851685,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]"
4,aqua_rat_test_3,64,8,8,True,B,B,1,141,12186,12327,,,0.0241459517498393,0.0493911719939117,34.356958627700806,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]"
5,aqua_rat_test_4,64,8,8,True,B,B,1,106,5045,5151,,,0.0113753848473548,0.0194063926940639,12.98898196220398,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]"
6,aqua_rat_test_5,64,8,8,True,D,D,1,164,12233,12397,,,0.0278295209404173,0.0483257229832572,30.013927698135376,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]"
7,aqua_rat_test_6,64,8,8,True,D,D,1,122,15215,15337,,,0.0248661920002811,0.0368340943683409,61.77023673057556,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]"
8,aqua_rat_test_7,64,8,8,True,C,C,1,137,7293,7430,,,0.0114994329454625,0.0256468797564688,28.47011089324951,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]"
9,aqua_rat_test_8,64,8,8,True,E,E,1,128,13472,13600,,,0.0232612349704407,0.0487062404870624,44.719383239746094,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]"
10,aqua_rat_test_9,64,8,8,True,D,D,1,115,6513,6628,,,0.0111278470964195,0.0216133942161339,22.83058452606201,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]"
11,aqua_rat_test_10,64,8,8,True,B,C,0,158,30435,30593,,,0.0449670059253249,0.0969558599695585,123.21677041053772,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]"
12,aqua_rat_test_11,64,8,8,True,A,A,1,146,10056,10202,,,0.0169463994842509,0.0397260273972602,34.17677712440491,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]"
13,aqua_rat_test_12,64,8,8,True,C,C,1,118,13047,13165,,,0.0187613786448543,0.0360730593607305,59.46543049812317,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]"
14,aqua_rat_test_13,64,8,8,True,D,D,1,81,3415,3496,,,0.0077486226338242,0.0144596651445966,8.540916681289673,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]"
15,aqua_rat_test_14,64,8,8,True,C,C,1,99,4650,4749,,,0.0079931834262067,0.0170471841704717,16.059799194335938,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]"
16,aqua_rat_test_15,64,8,8,True,A,A,1,109,5967,6076,,,0.0132721793398486,0.0224505327245053,15.647176742553713,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]"
17,aqua_rat_test_16,64,8,8,True,A,A,1,143,33738,33881,,,0.0664014849160118,0.117351598173516,98.40211892127992,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]"
18,aqua_rat_test_17,64,8,8,True,D,D,1,151,7924,8075,,,0.0182181983272408,0.0354642313546422,19.39876651763916,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]"
19,aqua_rat_test_18,64,8,8,True,D,D,1,183,6208,6391,,,0.0133611107216356,0.0247336377473363,16.98559546470642,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]"
20,aqua_rat_test_19,64,8,8,True,C,C,1,106,7838,7944,,,0.0159404896174384,0.0331811263318112,21.73587703704834,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]"
21,aqua_rat_test_20,64,8,8,True,C,E,0,122,68754,68876,,,0.1379706628638404,0.2745814307458143,200.05832648277283,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]"
