iteration,question_id,num_detected_t0.70,num_same_answer_t0.70,same_answer_perc_t0.70,num_detected_t0.80,num_same_answer_t0.80,same_answer_perc_t0.80,num_detected_t0.90,num_same_answer_t0.90,same_answer_perc_t0.90,num_detected_t0.92,num_same_answer_t0.92,same_answer_perc_t0.92,num_detected_t0.95,num_same_answer_t0.95,same_answer_perc_t0.95,num_detected_t0.98,num_same_answer_t0.98,same_answer_perc_t0.98
1,index_0,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
2,index_1,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
3,index_2,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
4,index_3,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
5,index_4,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
6,index_5,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
7,index_6,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,,0,0,
8,index_7,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
9,index_8,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
10,index_9,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
11,index_10,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
12,index_11,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
13,index_12,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
14,index_13,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,0,0,,0,0,
15,index_14,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
16,index_15,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
17,index_16,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
18,index_17,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
19,index_18,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
20,index_19,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
21,index_20,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
22,index_21,1,0,0.00,1,0,0.00,1,0,0.00,0,0,,0,0,,0,0,
23,index_22,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,0,0,,0,0,
24,index_23,1,0,0.00,1,0,0.00,1,0,0.00,0,0,,0,0,,0,0,
25,index_24,1,0,0.00,1,0,0.00,0,0,,0,0,,0,0,,0,0,
26,index_25,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
27,index_26,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
28,index_27,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,0,0,,0,0,
29,index_28,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,0,0,,0,0,
30,index_29,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
31,index_30,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
32,index_31,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
33,index_32,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,,0,0,
34,index_33,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
35,index_34,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
36,index_35,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
37,index_36,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,,0,0,
38,index_37,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
39,index_38,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
40,index_39,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,,0,0,
41,index_40,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
42,index_41,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
43,index_42,1,0,0.00,1,0,0.00,1,0,0.00,0,0,,0,0,,0,0,
44,index_43,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
45,index_44,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
46,index_45,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
47,index_46,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
48,index_47,1,0,0.00,1,0,0.00,1,0,0.00,0,0,,0,0,,0,0,
49,index_48,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
50,index_49,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,,0,0,
51,index_50,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
52,index_51,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,,0,0,
53,index_52,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
54,index_53,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,0,0,,0,0,
55,index_54,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
56,index_55,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
57,index_56,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
58,index_57,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
59,index_58,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
60,index_59,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
61,index_60,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
62,index_61,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
63,index_62,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,,0,0,
64,index_63,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
65,index_64,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
66,index_65,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
67,index_66,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,,0,0,
68,index_67,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
69,index_68,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
70,index_69,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,0,0,
71,index_70,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
72,index_71,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,,0,0,
73,index_72,1,1,100.00,0,0,,0,0,,0,0,,0,0,,0,0,
74,index_73,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
75,index_74,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
76,index_75,1,0,0.00,1,0,0.00,0,0,,0,0,,0,0,,0,0,
77,index_76,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
78,index_77,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
79,index_78,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
80,index_79,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,,0,0,
81,index_80,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,
82,index_81,1,0,0.00,1,0,0.00,1,0,0.00,0,0,,0,0,,0,0,
83,index_82,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
84,index_83,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
85,index_84,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
86,index_85,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,0,0,,0,0,
87,index_86,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,,0,0,
88,index_87,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
89,index_88,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,0,0,,0,0,
90,index_89,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
91,index_90,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
