iteration,question_id,n_chains_max,window_size,n_chains_generated,stopped_early,correct_answer,final_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,total_reasoning_tokens,total_non_reasoning_tokens,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec,individual_answers_str
1,index_0,8,2,2,True,33,33,1,194,8278,8472,,,0.01485509597361608,0.0280636668262326,93.92838335037231,"[""33"", ""33""]"
2,index_1,8,2,2,True,23,23,1,226,17198,17424,,,0.03128180732418302,0.0610938247965533,190.71719789505005,"[""23"", ""23""]"
3,index_2,8,2,2,True,116,116,1,172,9816,9988,,,0.017006438445249607,0.0316539013882239,114.56386542320251,"[""116"", ""116""]"
4,index_3,8,2,2,True,809,809,1,145,11694,11839,,,0.021986135004315902,0.0433221637146959,123.61140608787537,"[""809"", ""809""]"
5,index_4,8,2,4,True,197,273,0,141,107276,107417,,,0.09316171132353905,0.1988391574916227,1296.3119254112244,"[""541"", ""270"", ""273""]"
6,index_5,8,2,6,True,385,24,0,128,121134,121262,,,0.07207063959847752,0.1534226902824318,1384.3799977302551,"[""24"", ""12"", ""12"", ""24"", ""24"", ""24""]"
7,index_6,8,2,8,False,371,455,0,123,202664,202787,,,0.09340572595573586,0.1913595021541407,2270.193879365921,"[""371"", ""455"", ""383"", ""411"", ""419"", ""151"", ""511"", ""289""]"
8,index_7,8,2,2,True,601,601,1,119,48373,48492,,,0.08505237744581998,0.1675442795595979,565.5933451652527,"[""601"", ""601""]"
9,index_8,8,2,2,True,25,25,1,97,16571,16668,,,0.02644144048589171,0.0438606988989946,220.4825143814087,"[""25"", ""25""]"
10,index_9,8,2,2,True,55,55,1,108,9541,9649,,,0.017222678865317934,0.0335686931546194,104.66296410560608,"[""55"", ""55""]"
11,index_10,8,2,2,True,540,540,1,96,12146,12242,,,0.022853042056457797,0.0451172809956916,127.40403771400452,"[""540"", ""540""]"
12,index_11,8,2,2,True,45,45,1,186,21018,21204,,,0.03344188135014423,0.0542723791287697,296.5947389602661,"[""45"", ""45""]"
13,index_12,8,2,2,True,204,204,1,181,6671,6852,,,0.013100093433121688,0.0253709909047391,68.8184666633606,"[""204"", ""204""]"
14,index_13,8,2,2,True,699,699,1,118,44687,44805,,,0.07310789975940761,0.134992819530876,573.6799955368042,"[""699"", ""699""]"
15,index_14,8,2,2,True,294,294,1,101,14399,14500,,,0.024957742742431125,0.0481689803733843,165.49285626411438,"[""294"", ""294""]"
16,index_15,8,2,2,True,110,110,1,112,29309,29421,,,0.04970349558782565,0.0953207276208711,350.56041979789734,"[""110"", ""110""]"
17,index_16,8,2,2,True,721,721,1,145,19406,19551,,,0.030695521686590815,0.0515797032072762,281.2250256538391,"[""721"", ""721""]"
18,index_17,8,2,2,True,315,15,0,100,56569,56669,,,0.09407777095917653,0.1784944949736716,712.5460669994354,"[""15""]"
19,index_18,8,2,6,True,468,468,1,100,104337,104437,,,0.05962639953369204,0.1253590234561991,1491.768107175827,"[""520"", ""468"", ""312"", ""468"", ""468"", ""468""]"
20,index_19,8,2,6,True,902,1022,0,147,138087,138234,,,0.07608251039808561,0.149593106749641,1760.497077703476,"[""1023"", ""1922"", ""2"", ""1023"", ""1022"", ""1022""]"
21,index_20,8,2,2,True,211,211,1,170,54841,55011,,,0.08983210088590156,0.1659286740067017,710.9106981754303,"[""211""]"
22,index_21,8,2,2,True,80,80,1,109,39443,39552,,,0.06262781217059465,0.1064504547630444,538.0663552284241,"[""80"", ""80""]"
23,index_22,8,2,2,True,480,480,1,131,16734,16865,,,0.027607557236683195,0.0500837721397797,208.52809405326843,"[""480"", ""480""]"
24,index_23,8,2,2,True,236,236,1,118,22108,22226,,,0.0371988301434879,0.0703685974150311,268.25549507141113,"[""236"", ""236""]"
25,index_24,8,2,2,True,73,73,1,159,11427,11586,,,0.021917607197346728,0.0430828147438966,119.60278749465942,"[""73"", ""73""]"
26,index_25,8,2,4,True,113,113,1,402,69401,69803,,,0.05687420288717339,0.100406893250359,917.3357274532318,"[""3268"", ""113"", ""113"", ""113""]"
27,index_26,8,2,8,False,127,7,0,208,219670,219878,,,0.0963627397927958,0.2269626615605553,2757.246195077896,"[""43"", ""23"", ""7"", ""127"", ""7"", ""47"", ""38"", ""9""]"
