iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,16,1,0,0.7,C,C,1,153,11865,12018,"[""C""]",16,0.0117645888419656,0.0340096506017092,63.19382166862488
2,index_1,16,1,0,0.7,D,B,0,160,15261,15421,"[""B""]",10,0.01850231217740662,0.0345328759955816,195.528089761734
3,index_2,16,2,0,0.7,C,C,1,184,19069,19253,"[""C"", ""C""]",21,0.01911657223541689,0.0427300738329167,78.45412254333496
4,index_3,16,1,0,0.7,B,D,0,158,14121,14279,"[""D""]",10,0.012801119572218595,0.0447067030986571,81.91563725471497
5,index_4,16,1,0,0.7,C,C,1,390,19700,20090,"[""C""]",25,0.02849349651369918,0.052903900935992,61.67105221748352
6,index_5,16,1,0,0.7,C,C,1,204,13722,13926,"[""C""]",14,0.014239805837083027,0.0381373175978141,68.07623481750488
7,index_6,16,1,0,0.7,C,C,1,196,12736,12932,"[""C""]",13,0.01279756659192496,0.0333701528980873,99.3543484210968
8,index_7,16,1,0,0.7,D,D,1,476,20020,20496,"[""D""]",15,0.021501350557624744,0.0688332073716644,106.82062673568726
9,index_8,16,1,0,0.7,A,A,1,267,10005,10272,"[""A""]",14,0.011805180190064891,0.0334864252078367,54.32668209075928
10,index_9,16,1,0,0.7,C,C,1,153,12021,12174,"[""C""]",12,0.011507775687310194,0.0317423405615953,85.55674743652344
11,index_10,16,1,0,0.7,A,A,1,404,12841,13245,"[""A""]",13,0.018834998084284675,0.0495901401081332,47.4799165725708
12,index_11,16,1,0,0.7,D,D,1,179,27567,27746,"[""D""]",32,0.026975307391630603,0.0601127841404569,106.54144525527954
13,index_12,16,1,0,0.7,A,B,0,345,17575,17920,"[""B""]",11,0.020902569551002073,0.0465089238997732,208.99810433387756
14,index_13,16,1,0,0.7,D,A,0,153,14359,14512,"[""A""]",11,0.014576266707538095,0.0362769606418231,129.68547654151917
15,index_14,16,1,0,0.7,C,D,0,307,14253,14560,"[""D""]",20,0.018509105901779496,0.0355211906284518,57.539512395858765
16,index_15,16,1,0,0.7,B,B,1,226,17852,18078,"[""B""]",11,0.021740578809332178,0.0400558107086796,239.76881003379822
17,index_16,16,2,0,0.7,C,C,1,163,12161,12324,"[""C"", ""C""]",15,0.013509058669950433,0.0340096506017092,49.10209321975708
18,index_17,16,1,0,0.7,B,A,0,250,15413,15663,"[""A""]",14,0.015711195840862942,0.0462182431253996,72.06001806259155
19,index_18,16,1,0,0.7,A,B,0,548,17892,18440,"[""B""]",16,0.02082176723541178,0.0577873379454683,159.208966255188
20,index_19,16,13,0,0.7,A,A,1,203,15439,15642,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",14,0.032051649304883446,0.0539503517237369,26.00718069076538
21,index_20,16,1,0,0.7,B,B,1,282,17667,17949,"[""B""]",15,0.019321373791315755,0.0427882099877914,177.48832440376282
22,index_21,16,1,0,0.7,D,C,0,142,10543,10685,"[""C""]",10,0.011910922039112364,0.0341840590663333,38.25526714324951
23,index_22,16,1,0,0.7,C,D,0,280,17961,18241,"[""D""]",9,0.020918776624248517,0.0427882099877914,217.4818193912506
24,index_23,16,1,0,0.7,B,A,0,230,26749,26979,"[""A""]",21,0.028206109125254453,0.0499970931922563,319.6155524253845
25,index_24,16,1,0,0.7,B,B,1,368,17877,18245,"[""B""]",13,0.020669875803309198,0.0474391023777687,196.81064772605896
26,index_25,16,1,0,0.7,D,D,1,377,18507,18884,"[""D""]",9,0.022481244481168255,0.0483692808557641,233.6720094680786
27,index_26,16,1,0,0.7,A,A,1,169,12570,12739,"[""A""]",16,0.013272939428399655,0.0362769606418231,55.07251834869385
28,index_27,16,1,0,0.7,A,A,1,332,19303,19635,"[""A""]",17,0.019729638888078434,0.0506365908958781,157.1888244152069
29,index_28,16,1,0,0.7,A,B,0,408,15319,15727,"[""B""]",11,0.017078594932801207,0.0492994593337596,128.53926515579224
30,index_29,16,1,0,0.7,A,C,0,106,13778,13884,"[""C""]",10,0.01427020442050974,0.0252310912156269,134.18570184707642
31,index_30,16,1,0,0.7,C,A,0,140,15014,15154,"[""A""]",10,0.015033595599498626,0.0362769606418231,135.05744004249573
32,index_31,16,1,0,0.7,C,C,1,161,24413,24574,"[""C""]",14,0.0277080914989247,0.0517993139933724,334.17110204696655
33,index_32,16,1,0,0.7,C,B,0,327,13209,13536,"[""B""]",9,0.014585338937722743,0.0455787454217777,111.90858817100525
34,index_33,16,1,0,0.7,A,A,1,477,22154,22631,"[""A""]",13,0.02658425380350293,0.0580780187198418,285.4297499656677
35,index_34,16,2,0,0.7,C,C,1,323,17084,17407,"[""C"", ""C""]",17,0.017923604162930935,0.0497064124178826,91.64672493934631
36,index_35,16,1,0,0.7,B,B,1,159,22003,22162,"[""B""]",18,0.020909224458780306,0.0446485669437823,196.85469937324524
37,index_36,16,1,0,0.7,D,A,0,167,23410,23577,"[""A""]",14,0.029855932768400602,0.0570315679320969,374.6893320083618
38,index_37,16,1,0,0.7,C,A,0,308,22148,22456,"[""A""]",15,0.024419505831738332,0.0455787454217777,260.1217143535614
39,index_38,16,6,0,0.7,B,B,1,248,19400,19648,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",24,0.029825351397060076,0.0465670600546479,48.67529654502869
40,index_39,16,3,0,0.7,A,A,1,178,10944,11122,"[""A"", ""A"", ""A""]",11,0.014723300551183984,0.0370327306551944,32.2897310256958
41,index_40,16,2,0,0.7,A,A,1,152,11719,11871,"[""A"", ""A""]",15,0.011885431411690675,0.0272077204813673,62.86544966697693
42,index_41,16,1,0,0.7,D,D,1,239,14839,15078,"[""D""]",17,0.014672329963693134,0.0374978198941922,96.67462372779846
43,index_42,16,1,0,0.7,A,D,0,275,12466,12741,"[""D""]",10,0.013025296065394461,0.0401139468635544,88.57486534118652
44,index_43,16,7,0,0.7,A,A,1,318,12260,12578,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",12,0.026525728232191598,0.0437183884657869,26.718796014785767
45,index_44,16,1,0,0.7,D,D,1,185,17579,17764,"[""D""]",14,0.016490184405227933,0.0385442706819371,126.96703505516052
46,index_45,16,1,0,0.7,C,A,0,103,15461,15564,"[""A""]",8,0.017327791015470956,0.0321492936457182,177.90012884140015
47,index_46,16,1,0,0.7,D,D,1,222,19378,19600,"[""D""]",15,0.01814499753626558,0.0453462008022789,141.82758498191833
48,index_47,16,1,0,0.7,A,D,0,159,23082,23241,"[""D""]",8,0.03025583660632524,0.0584268356490901,387.4248163700104
49,index_48,16,1,0,0.7,B,C,0,432,20180,20612,"[""C""]",9,0.026430412674829186,0.0520318586128712,300.0902178287506
50,index_49,16,1,0,0.7,D,D,1,206,11431,11637,"[""D""]",11,0.012999560964749517,0.0415092145805476,45.57546353340149
51,index_50,16,1,0,0.7,D,D,1,173,24909,25082,"[""D""]",9,0.03128033416566413,0.0599965118307075,399.64874267578125
52,index_51,16,1,0,0.7,C,C,1,257,18717,18974,"[""C""]",16,0.01768690817005414,0.050462182431254,100.35119295120239
53,index_52,16,1,0,0.7,D,B,0,236,27736,27972,"[""B""]",10,0.034167000598987925,0.0648799488401836,438.0933668613434
54,index_53,16,1,0,0.7,A,A,1,190,21144,21334,"[""A""]",12,0.021467859817244177,0.0455787454217777,220.03513765335083
55,index_54,16,1,0,0.7,B,D,0,208,23005,23213,"[""D""]",13,0.025635022211749688,0.0467414685192721,294.19110012054443
56,index_55,16,1,0,0.7,A,A,1,264,27410,27674,"[""A""]",19,0.026910554228266097,0.0586012441137143,282.7779641151428
57,index_56,16,1,0,0.7,D,B,0,196,29762,29958,"[""B""]",13,0.040794278710602074,0.0794139875588628,554.0019128322601
58,index_57,16,1,0,0.7,A,A,1,92,13764,13856,"[""A""]",13,0.012313587586005975,0.0383698622173129,59.11304998397827
59,index_58,16,1,0,0.7,A,A,1,141,18397,18538,"[""A""]",21,0.017958169368108578,0.0491250508691355,69.20753240585327
60,index_59,16,1,0,0.7,C,C,1,209,17575,17784,"[""C""]",9,0.020558483042722356,0.0399976745538049,220.318838596344
61,index_60,16,1,0,0.7,C,C,1,231,13043,13274,"[""C""]",9,0.014775447886285356,0.0316260682518457,131.77412152290344
62,index_61,16,1,0,0.7,C,A,0,257,22650,22907,"[""A""]",17,0.02584914775165337,0.0467414685192721,293.29067635536194
63,index_62,16,1,0,0.7,D,D,1,252,19565,19817,"[""D""]",19,0.020703177957927636,0.0358118714028253,197.91502285003662
64,index_63,16,1,0,0.7,C,D,0,246,25537,25783,"[""D""]",11,0.03166283108383435,0.0598802395209581,399.1706793308258
65,index_64,16,1,0,0.7,A,B,0,297,18857,19154,"[""B""]",14,0.021718668103429737,0.0381373175978141,222.64310765266418
66,index_65,16,4,0,0.7,C,C,1,129,12995,13124,"[""C"", ""C"", ""C"", ""C""]",12,0.019054767148639965,0.0419161676646706,29.70151686668396
67,index_66,16,1,0,0.7,D,D,1,247,16862,17109,"[""D""]",22,0.020304760951457595,0.0492994593337596,61.557013750076294
68,index_67,16,1,0,0.7,B,B,1,165,22373,22538,"[""B""]",21,0.020966513320700528,0.0418580315097959,191.9541094303131
69,index_68,16,1,0,0.7,A,A,1,207,29840,30047,"[""A""]",20,0.031950908891933305,0.0581942910295912,385.7927293777466
70,index_69,16,1,0,0.7,D,C,0,170,19520,19690,"[""C""]",17,0.020889883850328465,0.0367420498808208,214.28110098838806
71,index_70,16,1,0,0.7,C,C,1,176,14223,14399,"[""C""]",22,0.015448424934353135,0.0348816929248299,64.98812484741211
72,index_71,16,1,0,0.7,B,A,0,204,14775,14979,"[""A""]",9,0.015495039886432083,0.0390674960758095,136.90766096115112
73,index_72,16,1,0,0.7,C,C,1,192,9562,9754,"[""C""]",12,0.011185947835293128,0.0288355328178594,43.428372383117676
74,index_73,16,1,0,0.7,A,A,1,174,13268,13442,"[""A""]",10,0.013061822632694706,0.0317423405615953,107.00914311408997
75,index_74,16,1,0,0.7,B,B,1,644,21032,21676,"[""B""]",24,0.024290584364968528,0.0697633858496599,137.66346096992493
76,index_75,16,1,0,0.7,D,B,0,226,13810,14036,"[""B""]",15,0.021591075823387852,0.0465670600546479,34.84705877304077
77,index_76,16,1,0,0.7,A,C,0,576,17453,18029,"[""C""]",11,0.02180255037000806,0.0586012441137143,199.21564269065857
78,index_77,16,1,0,0.7,C,C,1,520,13548,14068,"[""C""]",9,0.016452501123829143,0.0558107086797279,113.10728430747986
79,index_78,16,1,0,0.7,A,A,1,392,21360,21752,"[""A""]",14,0.026025132164016293,0.0484274170106389,289.1451647281647
80,index_79,16,1,0,0.7,A,B,0,124,30298,30422,"[""B""]",9,0.039842560088777276,0.0777861752223707,542.3560810089111
81,index_80,16,1,0,0.7,D,D,1,253,18967,19220,"[""D""]",12,0.020966637428028165,0.0418580315097959,211.7014446258545
82,index_81,16,1,0,0.7,A,A,1,809,13855,14664,"[""A""]",12,0.019362958304759956,0.0708098366374048,112.29442358016968
83,index_82,16,1,0,0.7,A,A,1,198,19804,20002,"[""A""]",19,0.018577690492273476,0.0465089238997732,91.51240134239197
